replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
6000,22.060108,22.038084,-4.639434,-0.007896154,0.0012839052,-0.0041163466,-0.010617617,-0.005520173,0.0011999629,-0.0014777463,-0.00915576,4.653488,0.5759321,6.702754,3.1301408,-4.6474977,0.55856067,-2.9455187,-6.322049,-0.00059867743,0.00058162183,0.0011635413,-0.0023034413,0.00014986668,0.0010990807,0.0024908911,-0.002062547,0.9997000694274902,-0.0,6000,12,500.0,0.0,500,500,0.00455925052483711,0.008591080804121135,0.2018049551950873,0.0002763006424412309,2.2796252624185547,2.1598284935889946,7.251077560893872,0.6976130709141157,0.0011304085,0.62725884,0.9994004,-0.99987304,10,2.2796252624185547,5000,10,500.0,0.0,500,500,0.004487262172812265,0.0009664866353133349,0.006808810441100372,0.002397836504797443,2.2436310864061326,0.32718630071210747,2.8969766360653963,1.9412380974193986,2.2436310864061326,0.32718630071210747,2.8969766360653963,1.9412380974193986,-0.00063210184,0.0005981468,0.00049530587,-0.0016637834,10,2.2436310864061326,0.03174782916903496,64.59525136603042,66.09513491764665,0.029392093420028687,0.010550149250775576,8.702097926754504,139.46417428227141,743.8622267781757,0
11000,0.052386228,0.054209,-22.34132,17.554413,0.21762218,18.090342,16.654436,17.560791,0.22027273,18.132345,16.719656,17.50735,0.3127099,19.058758,16.514318,-4.792703,0.3172354,-4.0338492,-6.5743446,-0.0015469175,0.005702039,0.008986469,-0.019653307,-0.14240491,0.004563095,-0.12371907,-0.15407664,0.7405493855476379,-3.53855299949646,11000,22,500.0,0.0,500,500,0.0019361022729877874,0.0021685608768648792,0.04731962891033778,0.00038558812799042335,0.9680511364938933,0.2958698759562137,1.4884499410508085,0.7043629958811011,-0.0051774536,0.58301556,0.9987421,-0.99714106,10,0.9680511364938933,10000,20,500.0,0.0,500,500,0.005008298976449602,0.0013266328377654819,0.008560060861836022,0.0018942142601554607,2.5041494882248,0.44377799098618587,3.3710317034386477,1.8550246566703896,2.5041494882248,0.44377799098618587,3.3710317034386477,1.8550246566703896,-0.0019756225,0.004533863,0.005964236,-0.012581477,10,2.5041494882248,0.03108189208433032,68.0655959630385,66.37868750700727,0.02905134204775095,0.008480919990688562,8.73182580806315,143.2447234322317,887.1097985301167,1
16000,0.026651256,0.026200369,-34.528145,29.760445,0.4068215,30.524849,28.036463,29.7678,0.398698,30.47638,28.08634,29.713745,0.41039592,30.635311,28.127571,-4.7823896,0.2874537,-3.9165115,-6.2004204,0.0013646124,0.0074805496,0.021470927,-0.022573207,-0.13259827,0.0068109855,-0.11265633,-0.15153262,0.5486155152320862,-7.070111274719238,16000,32,500.0,0.0,500,500,0.0024490072210901115,0.003805410500134856,0.03664658383682281,1.2774303542780553e-05,1.2245036105450555,1.1855807836093235,4.75813433874172,0.7100067003022121,0.0033659192,0.589975,0.99955654,-0.9997315,10,1.2245036105450555,15000,30,500.0,0.0,500,500,0.0026090488823320916,0.0006470367605293288,0.0066022474086099596,0.0020070426104169606,1.3045244411660455,0.2680248536463336,2.019633241687637,1.0793616673126811,1.3045244411660455,0.2680248536463336,2.019633241687637,1.0793616673126811,-6.733643e-05,0.0055353832,0.010308533,-0.009149146,10,1.3045244411660455,0.030981495045125484,64.35105599183589,66.37579490477219,0.028526303824037313,0.009313281159847975,8.736856158822775,139.53252813545987,1026.6452249763533,2
21000,0.026629318,0.026990471,-43.059753,38.32086,0.4375092,39.084538,36.756783,38.32201,0.43280306,39.077244,36.79962,38.38812,0.4512196,39.532406,36.708405,-4.750798,0.2781653,-4.049465,-5.7809134,0.0025943178,0.0223657,0.062250298,-0.058998987,-0.13577126,0.0075481096,-0.11374639,-0.16091135,0.406423956155777,-10.576406478881836,21000,42,500.0,0.0,500,500,0.003770036435786985,0.010152909922763414,0.12788095417849626,6.135405420089389e-06,1.8850182178934927,2.217362722788857,7.515646039454458,0.7102442227689365,0.0012086083,0.58808565,0.99734116,-0.9963292,10,1.8850182178934927,20000,40,500.0,0.0,500,500,0.003893590769532853,0.000833402511913296,0.0058154823031690075,0.002023311908487066,1.946795384766426,0.3188543211437729,2.453328500510864,1.6211040821419063,1.946795384766426,0.3188543211437729,2.453328500510864,1.6211040821419063,0.002762767,0.017137922,0.03388457,-0.039095756,10,1.946795384766426,0.03101063473150134,64.51303916797042,65.95133069809526,0.029236570931971073,0.008974366821348667,8.708752802107483,139.24234424065799,1165.8904076479375,3
26000,0.010464601,0.011150945,-48.817272,44.06304,0.42809898,44.877323,42.232967,44.046623,0.42347524,44.858566,42.30464,44.073376,0.4187254,44.97854,42.32242,-4.7737393,0.294964,-3.9883842,-5.9605722,-0.0027661151,0.022566058,0.04794253,-0.093168855,-0.13878788,0.008529859,-0.11769873,-0.16396603,0.30110424757003784,-14.128474235534668,26000,52,500.0,0.0,500,500,0.0019630787499315618,0.0018656632822235998,0.034249559409263136,0.00034903442254032935,0.9815393749657806,0.3752297610842191,1.7104802117995555,0.7006740717969625,-0.0023220533,0.5849492,0.99928063,-0.9988616,10,0.9815393749657806,25000,50,500.0,0.0,500,500,0.0022082651480425843,0.0003892093343367808,0.004478195044316513,0.0017514218610543285,1.1041325740212917,0.1148904330015421,1.301818750797181,0.9829758489796339,1.1041325740212917,0.1148904330015421,1.301818750797181,0.9829758489796339,-0.004961449,0.01693027,0.03250342,-0.07093705,10,1.1041325740212917,0.030843752902001143,64.24970666598529,65.93923000292853,0.028536020778119564,0.008055488113313913,8.730946443974972,138.98731837468222,1304.8805770832114,4
31000,0.008012264,0.008550528,-52.285168,47.53488,0.4508505,48.224457,45.24787,47.52421,0.45145956,48.191154,45.301144,47.525734,0.46346137,48.41609,45.148712,-4.7732058,0.29844144,-4.0010896,-5.805901,-0.002422,0.03617296,0.10347465,-0.13604349,-0.13013911,0.007475671,-0.107914925,-0.14719217,0.22306974232196808,-17.659465789794922,31000,62,500.0,0.0,500,500,0.002038820733981676,0.0027425794950983826,0.053975494357603175,1.0946992908563547e-05,1.0194103669908379,0.3789366969382558,1.9357514466874308,0.7145803748007412,-0.0015913249,0.5898268,0.9977126,-0.99850297,10,1.0194103669908379,30000,60,500.0,0.0,500,500,0.002206894813677728,0.0005125224907113111,0.005303883088187711,0.0014825926617500586,1.1034474068388636,0.11344597463511383,1.2878873084450735,0.9640505200375173,1.1034474068388636,0.11344597463511383,1.2878873084450735,0.9640505200375173,-0.0032782194,0.022955619,0.04172174,-0.09677833,10,1.1034474068388636,0.03098590997979045,64.43740155780688,65.58420897880569,0.028852273244410753,0.009305681101977825,8.676655407063663,138.7674098080024,1443.6508451174013,5
36000,0.006186207,0.0057277274,-54.086044,49.340214,0.44008672,49.982483,47.57129,49.32303,0.43820885,49.95218,47.521885,49.329765,0.43809962,49.97561,47.587643,-4.7608852,0.31849977,-4.0777316,-6.8397694,-0.0059126653,0.044387188,0.18206763,-0.19370134,-0.13099977,0.009090282,-0.10249232,-0.16424757,0.16526702046394348,-21.1683349609375,36000,72,500.0,0.0,500,500,0.0016399534287825396,0.0009793862668031352,0.016836226259479756,0.00042297927140798845,0.8199767143912695,0.13491327082081075,1.069296479351535,0.7028922245575897,-0.00049619924,0.5883874,0.99943095,-0.9970303,10,0.8199767143912695,35000,70,500.0,0.0,500,500,0.003376682986732477,0.0017447443760913851,0.009286250077840279,0.0013310391104558363,1.688341493366239,0.1669435220067108,1.9790737845336965,1.3966166111449223,1.688341493366239,0.1669435220067108,1.9790737845336965,1.3966166111449223,-0.007547281,0.0273203,0.05982162,-0.14114931,10,1.688341493366239,0.030930445063859224,64.19994063209742,65.91289489483461,0.02886376390233636,0.007563065271824598,8.706390264909714,138.88658306607977,1582.5403841687366,6
41000,0.006933406,0.006585036,-54.677666,49.91691,0.4327006,50.615112,48.2051,49.919815,0.43431854,50.62476,48.29536,49.9746,0.43728903,50.79391,48.4193,-4.7684007,0.3980622,-3.8213198,-6.630509,-0.0037796933,0.05961566,0.3092754,-0.20022742,-0.12511559,0.009926063,-0.08937006,-0.15108919,0.12244271486997604,-24.711429595947266,41000,82,500.0,0.0,500,500,0.002485599224788014,0.0029218853647628544,0.057303614449401845,0.00039664568955704297,1.242799612394007,0.8206048229850197,3.4522799177975894,0.7285930642777947,0.0019567488,0.5907697,0.9989807,-0.99969316,10,1.242799612394007,40000,80,500.0,0.0,500,500,0.0033424689851206083,0.0015455917578708507,0.008980431442821117,0.0014448456891765927,1.6712344925603042,0.17977287682081816,2.1128131214978665,1.483976802910289,1.6712344925603042,0.17977287682081816,2.1128131214978665,1.483976802910289,-0.0056488295,0.029785441,0.07168851,-0.16918883,10,1.6712344925603042,0.03125686291605234,64.62741242721677,66.55546197202057,0.02933888603001833,0.007555820047855377,8.715599687770009,139.96662565600127,1722.5098550063558,7
46000,0.0050400672,0.003895501,-54.54532,49.750046,0.40230215,50.367626,48.07125,49.773636,0.40430537,50.380733,47.954594,49.788345,0.39950377,50.446125,48.02889,-4.7947164,0.38305634,-3.7256033,-6.4752474,-0.007382717,0.06503282,0.2856838,-0.23531516,-0.13036667,0.008982783,-0.09948526,-0.15676335,0.09072179347276688,-28.30328369140625,46000,92,500.0,0.0,500,500,0.00438501849962858,0.01102697523889139,0.1408318571012987,0.0002534325193343313,2.1925092498142895,2.7259750863288246,10.002883467638652,0.6981675682568911,-0.00040401856,0.5901676,0.99789697,-0.998459,10,2.1925092498142895,45000,90,500.0,0.0,500,500,0.008529530185266504,0.005068495152530897,0.02477709403165604,0.0016311251894537144,4.264765092633251,0.877195044536999,6.1956895623111885,2.8900384712526557,4.264765092633251,0.877195044536999,6.1956895623111885,2.8900384712526557,-0.011833,0.036163,0.08601341,-0.16581288,10,4.264765092633251,0.03129511419683695,64.13906577089801,66.32834951765835,0.03022529697045684,0.009589903987944126,8.70479163620621,139.24331723991781,1861.7560401423834,8
51000,0.0025705637,0.002399271,-53.829594,49.09835,0.32239875,49.860043,47.74982,49.082153,0.3246254,49.951992,47.635067,49.09147,0.32054317,49.778862,47.753677,-4.749455,0.39167964,-3.292467,-6.332452,-0.0033378326,0.09137679,0.46908706,-0.36588407,-0.1288115,0.009318596,-0.09650985,-0.1537728,0.06722336262464523,-31.716888427734375,51000,102,500.0,0.0,500,500,0.002454179121293142,0.004345818317979056,0.08435333515920973,0.00022790970646122252,1.2270895606465708,0.728091755000375,2.8002735335045292,0.7317079124134522,-0.00041981047,0.59389645,0.9979803,-0.9991753,10,1.2270895606465708,50000,100,500.0,0.0,500,500,0.011328992636675498,0.008021889793493761,0.03834361261226129,0.001813646246179483,5.664496318337747,1.4240523513078545,8.00799217268226,4.073526225781217,5.664496318337747,1.4240523513078545,8.00799217268226,4.073526225781217,-0.011115966,0.041394696,0.10513121,-0.20096116,10,5.664496318337747,0.03087424160912633,64.34487532218918,66.80081426631659,0.030231833923608065,0.009426663164049387,8.49101345706731,139.70723578426987,2001.4661019816995,9
