replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
6000,22.042389,22.025448,-4.6393156,-0.007953643,0.0013338734,-0.004403013,-0.011696219,-0.0061457404,0.0012870628,-0.002290683,-0.010285413,4.651472,0.5762625,6.699602,3.13276,-4.6475115,0.5587363,-2.9487274,-6.321973,-0.000586411,0.000585654,0.0014769691,-0.002495876,0.00022017614,0.0011693053,0.002512346,-0.002225364,0.9997000694274902,-0.0,6000,12,500.0,0.0,500,500,0.0021055480903295893,0.004133357355551263,0.049260753875052424,0.000139909834839802,1.0527740451647947,0.6120230376547934,2.028077364868851,0.1334741731566705,0.0011544591,0.62727726,0.9994013,-0.9998736,10,1.0527740451647947,5000,10,500.0,0.0,500,500,0.001921826879554829,0.0015368179759717843,0.011491793902124315,0.0005317523076598163,0.9609134397774142,0.7653474046727984,2.6133112784593964,0.2841462036351928,0.9609134397774142,0.7653474046727984,2.6133112784593964,0.2841462036351928,-0.0005537163,0.00056545465,0.00033338176,-0.001901791,10,0.9609134397774142,0.03180485870689154,86.76628404995427,91.01941231219098,0.02823885576799512,0.013251323718577623,8.879093523137271,186.73808492347598,210.7668857742101,0
11000,0.06501055,0.0679072,-22.00018,17.229168,0.6010403,18.223057,15.323218,17.21845,0.6134407,18.219458,15.276391,17.255291,0.55805767,19.013803,15.760762,-4.7935314,0.31753594,-3.9236574,-6.478598,-0.0027205427,0.005619942,0.008829804,-0.017494366,-0.13987887,0.0060891267,-0.11802271,-0.16251619,0.7405489087104797,-3.538809299468994,11000,22,500.0,0.0,500,500,0.00409403020892247,0.00666944285216791,0.057813296741934896,0.00027486847181483747,2.0470151044612326,1.695541082668586,5.967808381054206,0.20190376187804962,-0.006099802,0.5835643,0.9987657,-0.9972217,10,2.0470151044612326,10000,20,500.0,0.0,500,500,0.0008056320158352804,0.0005706513575798099,0.006402686975966177,0.0002692837978428341,0.40281600791764005,0.24770908671936298,0.9882064481000846,0.1348422273636023,0.40281600791764005,0.24770908671936298,0.9882064481000846,0.1348422273636023,-0.0029570765,0.0050954865,0.0058579887,-0.015455961,10,0.40281600791764005,0.032318796031177044,90.66716394480318,91.63411332899705,0.027778089977800846,0.008194124791771173,8.867589823901653,191.23715810850263,402.00673523545265,1
16000,0.027291084,0.0259284,-34.267937,29.503218,0.8114911,30.973581,25.95786,29.498222,0.7993749,30.957788,26.043081,29.470737,0.7933736,30.904184,25.963758,-4.786287,0.2875313,-3.9808083,-6.2165976,0.0016972048,0.011041337,0.022208434,-0.023624212,-0.13079722,0.0074865352,-0.10819979,-0.15182632,0.5486153364181519,-7.072453498840332,16000,32,500.0,0.0,500,500,0.0027418504304989664,0.005610530213772663,0.05787736446939119,8.950548968229553e-05,1.370925215249486,1.2843070883512837,3.537307899495367,0.1714052989672202,0.0036510627,0.5910316,0.9995962,-0.9996965,10,1.370925215249486,15000,30,500.0,0.0,500,500,0.0015406749190098987,0.0006055761744905967,0.006045567185513923,0.0004515329544232172,0.7703374595049493,0.2819377393021711,1.3034038367178131,0.3353524774770323,0.7703374595049493,0.2819377393021711,1.3034038367178131,0.3353524774770323,0.0014723984,0.00976047,0.019183997,-0.016896617,10,0.7703374595049493,0.031682479195296764,87.3092248449102,90.7661045268178,0.028481395915150642,0.009246000088751316,8.885289253666997,187.0300285005942,589.0394239770249,2
21000,0.029086605,0.026183644,-42.535767,37.79698,1.0038376,39.578182,34.528984,37.80966,0.9980907,39.645706,34.572884,37.852875,0.9913434,39.65354,34.461132,-4.753563,0.28090003,-4.13918,-5.731526,0.001999508,0.016013274,0.059815697,-0.03733974,-0.1299682,0.007654063,-0.10255464,-0.15424529,0.406422883272171,-10.578926086425781,21000,42,500.0,0.0,500,500,0.003908670573938542,0.007127500956421117,0.06656079811100044,0.00029249819080254805,1.9543352869692705,2.315431810442362,7.412642315586286,0.18907134459908376,0.00090078084,0.58998424,0.99733275,-0.99617404,10,1.9543352869692705,20000,40,500.0,0.0,500,500,0.0020692214537598075,0.002410287244999961,0.011124878371393754,0.00036746904977966736,1.0346107268799036,1.1258253863019558,4.328211072910323,0.24059603769171492,1.0346107268799036,1.1258253863019558,4.328211072910323,0.24059603769171492,0.0010871703,0.012738679,0.03548986,-0.028008703,10,1.0346107268799036,0.031954698730260134,86.88258654996753,91.21169208223,0.028813768178224564,0.009304822888225317,8.919610562734306,187.08396248472854,776.1259949780069,3
26000,0.023049114,0.017967552,-48.451427,43.71903,0.91450715,45.35331,39.866806,43.672665,0.91909945,45.331432,39.730877,43.63239,0.90928733,45.22429,39.93825,-4.7766223,0.30435544,-3.920301,-5.9799156,-0.005836553,0.027924394,0.07050771,-0.111490056,-0.13478956,0.010263135,-0.10740131,-0.17199177,0.30110353231430054,-14.131959915161133,26000,52,500.0,0.0,500,500,0.003241826392026213,0.00800616632798183,0.07562208436492332,0.0003005522573964247,1.6209131960130958,1.9525788371959145,5.399383308079216,0.18427040989640509,-0.0052598203,0.5865059,0.99929744,-0.9991103,10,1.6209131960130958,25000,50,500.0,0.0,500,500,0.004104974114653099,0.004684282369000644,0.01774297460260651,0.0002874390564995166,2.0524870573265486,2.173303279422045,7.001100343864454,0.29135136367470355,2.0524870573265486,2.173303279422045,7.001100343864454,0.29135136367470355,-0.007519057,0.017198507,0.02760944,-0.07112569,10,2.0524870573265486,0.03191897366195917,87.98049432085827,91.50256200507283,0.027591679245233536,0.008582975249737501,8.91464442294091,188.46579437702894,964.5944188991562,4
31000,0.014563369,0.014038898,-51.866013,47.11924,0.80710304,48.630917,43.56966,47.118393,0.80671704,48.72904,43.52461,47.154617,0.8089622,48.78356,43.508183,-4.7636366,0.31723788,-3.8015895,-5.7374954,-0.0014222275,0.04861921,0.23377258,-0.24645737,-0.12541796,0.0088907825,-0.09471292,-0.18315978,0.22307871282100677,-17.644638061523438,31000,62,500.0,0.0,500,500,0.007096805748786877,0.009397867495531315,0.07220025961023273,0.00031127110716526734,3.548402874393433,2.194926774177006,7.194182000575932,0.8842405775923534,-0.0029453977,0.5917644,0.9977766,-0.99864465,10,3.548402874393433,30000,60,500.0,0.0,500,500,0.009321513604480114,0.007441751588200355,0.03560714888591509,0.0002784117254592599,4.660756802240059,2.9032869378564587,12.731709184298545,1.641768816631941,4.660756802240059,2.9032869378564587,12.731709184298545,1.641768816631941,-0.0021309953,0.021696286,0.03955762,-0.07140395,10,4.660756802240059,0.032900319900363684,89.53465773770586,91.09600086603314,0.029131602961570024,0.009198632556945086,8.909956137184054,189.61184529634193,1154.208928624168,5
36000,0.008772254,0.008962605,-53.56686,48.859604,0.85569674,50.579407,45.18459,48.811764,0.85053176,50.509712,45.150253,48.83674,0.84780055,50.472485,45.031902,-4.7580795,0.3550594,-3.9058967,-6.8318167,0.000896148,0.06606964,0.2744312,-0.32914686,-0.12484392,0.009478691,-0.08460353,-0.15634057,0.1652878075838089,-21.16180419921875,36000,72,500.0,0.0,500,500,0.0021167272898398566,0.00366775832817318,0.037019501987893624,0.00030048263195494576,1.0583636449199276,1.1826290545794604,4.3737762551240325,0.23643079915904522,0.0041586817,0.5904738,0.9993861,-0.9974983,10,1.0583636449199276,35000,70,500.0,0.0,500,500,0.007921301932963962,0.0051374834529027,0.027628304738724532,0.0005331219922038777,3.960650966481982,1.991899856196526,9.064885568672867,1.9626724647708433,3.960650966481982,1.991899856196526,9.064885568672867,1.9626724647708433,-0.003286182,0.022345237,0.08421364,-0.1244361,10,3.960650966481982,0.03237371472641826,89.12657618289813,92.00491456594318,0.027802213095128536,0.007967532146722078,8.894385430961847,190.09401963977143,1344.3056194549426,6
41000,0.007606583,0.0071691116,-54.278214,49.542664,0.9045506,51.160446,45.85091,49.54905,0.91195023,51.18489,45.842842,49.560276,0.9072557,51.246094,45.95698,-4.749237,0.49035206,-3.1329803,-6.523564,0.015386288,0.09445902,0.37454262,-0.4695726,-0.11708441,0.011941286,-0.07408719,-0.15189353,0.12247900664806366,-24.667713165283203,41000,82,500.0,0.0,500,500,0.002328595756066359,0.005766084060206579,0.06197650593112525,0.0002210271816183162,1.1642978780331805,1.4251684792752908,4.6459649025196486,0.15835052999944121,0.00906761,0.5936619,0.9990112,-0.9996918,10,1.1642978780331805,40000,80,500.0,0.0,500,500,0.012026580080834359,0.006365564004632889,0.024795313618320117,0.0005117225445809171,6.013290040417177,2.0206408233787947,9.799683435154405,2.6212406762946174,6.013290040417177,2.0206408233787947,9.799683435154405,2.6212406762946174,0.004077886,0.026951833,0.10553806,-0.16245079,10,6.013290040417177,0.032416395377367735,87.52268273429945,91.83293585199863,0.02799708442762494,0.009302823804318905,9.086811819113791,188.51214670902118,1532.820496388711,7
46000,0.006872682,0.006288042,-54.208046,49.464653,0.85255814,53.404823,47.59431,49.48118,0.85713744,53.558086,47.61629,49.493576,0.85107213,53.36926,47.730774,-4.753995,0.4986203,-3.1983755,-6.2461386,0.004636228,0.11092967,0.6561493,-0.4572385,-0.1226178,0.011818505,-0.07181326,-0.19816542,0.09077554196119308,-28.1986083984375,46000,92,500.0,0.0,500,500,0.0036206603631440772,0.00766187360729298,0.06545267796215132,0.00031076274491061975,1.81033018157204,1.343607901116042,4.795119495785724,0.1880394183415647,0.0070102615,0.59465855,0.9980988,-0.9986259,10,1.81033018157204,45000,90,500.0,0.0,500,500,0.011022311792272785,0.007714236980106337,0.028849558526122476,0.00044527584811866473,5.511155896136392,3.3694981366660803,12.776924735526416,1.9874649898486176,5.511155896136392,3.3694981366660803,12.776924735526416,1.9874649898486176,-0.0051169056,0.033702496,0.112989016,-0.17935295,10,5.511155896136392,0.03237941209226847,92.3095747041516,92.5337385199964,0.02817129110917449,0.008181154727935791,8.954985457006842,193.86703053908423,1726.6902037425898,8
51000,0.0069846455,0.00636994,-53.495934,48.80484,0.84644663,52.180458,46.62484,48.794342,0.8472883,52.223534,46.603344,48.758118,0.84886247,52.105915,46.6111,-4.7092867,0.5202318,-2.530853,-5.8856354,0.015595213,0.15196136,0.89711905,-0.7982968,-0.12100172,0.0140732275,-0.072508186,-0.19812864,0.06729709357023239,-31.595626831054688,51000,102,500.0,0.0,500,500,0.0030768719528244956,0.005897439328154531,0.052256375036018154,0.0002472247500166613,1.5384359764122468,1.2838924415735473,3.8014062151932833,0.19828633909531204,0.0047722254,0.597006,0.9977453,-0.9990057,10,1.5384359764122468,50000,100,500.0,0.0,500,500,0.015730882489063833,0.010943155051366317,0.0367497218213896,0.00033228578666038005,7.86544124453192,4.920530689104806,16.440153087314865,1.3863928078813736,7.86544124453192,4.920530689104806,16.440153087314865,1.3863928078813736,-0.0024308376,0.040791478,0.14522976,-0.21741933,10,7.86544124453192,0.03230725834146142,92.87465834897012,92.52560224803165,0.02927241288125515,0.007809596136212349,8.881885154172778,194.35153501853347,1921.0443732040003,9
