replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
6000,22.09888,22.033386,-4.6421413,-0.006155843,0.0011704048,-0.0032242564,-0.009697463,0.00085738656,0.0011314038,0.003976018,-0.0028684027,4.6596704,0.5734368,6.713674,3.1524112,-4.6483088,0.5565723,-2.944844,-6.314581,-3.4818597e-05,0.0008903949,0.0020571286,-0.0028993431,-0.0004512915,0.0010658584,0.0023816691,-0.002785612,0.9997000694274902,-0.0,6000,12,500.0,0.0,500,500,0.005376509146997929,0.012253492933460201,0.09180616877929008,1.216183112551228e-09,2.6882545734989636,3.101191735605207,10.8595573664358,0.04789624980825932,0.001484045,0.62708366,0.9993933,-0.9998709,10,2.6882545734989636,5000,10,500.0,0.0,500,500,0.0037266943021479547,0.0014648126704732741,0.007027898587325665,0.0015586740151082717,1.863347151073977,0.7302856493441131,3.3575924311613394,0.8202653808215229,1.863347151073977,0.7302856493441131,3.3575924311613394,0.8202653808215229,-1.6468726e-05,0.00088400056,0.0015048676,-0.0017182889,10,1.863347151073977,0.03284447221085429,68.55999903706834,71.26315695187077,0.02855129214003682,0.011938166338950396,9.192791942041367,149.08928186167032,169.08953551156446,0
11000,0.0651011,0.06372918,-22.102776,17.329426,0.47872987,18.853268,15.324311,17.343763,0.4698013,18.90965,15.614327,17.309921,0.4372226,18.647072,15.721356,-4.792527,0.3147841,-3.994316,-6.4995937,-0.004582819,0.005843371,0.0106311925,-0.024184227,-0.13934106,0.0063565187,-0.12019366,-0.15622714,0.7405510544776917,-3.538473606109619,11000,22,500.0,0.0,500,500,0.0039028429615103844,0.009973184526359476,0.09511337300861725,4.300184930361439e-09,1.9514214807551913,2.5041307102390253,7.894206384767867,0.15113171313746376,-0.0073583,0.5842709,0.99879926,-0.99720556,10,1.9514214807551913,10000,20,500.0,0.0,500,500,0.0026634805987876538,0.001230146980081402,0.006035731263662844,0.00035524431698606695,1.3317402993938272,0.4711422329266838,2.162927189597814,0.3947442544710833,1.3317402993938272,0.4711422329266838,2.162927189597814,0.3947442544710833,-0.005559892,0.0062586963,0.0042781234,-0.0178424,10,1.3317402993938272,0.03281449805945158,69.91329693002626,71.64826895110309,0.028761107940226793,0.0096066789701581,8.890323949977756,150.52307211607695,319.6154956589453,1
16000,0.02848959,0.029399436,-34.38418,29.615395,0.611013,31.162607,27.111498,29.626265,0.5984083,31.15019,27.287477,29.566088,0.59325284,31.154503,27.264961,-4.7863684,0.2889632,-3.9987726,-6.173692,-0.0008256264,0.009308566,0.019143423,-0.0252302,-0.13161756,0.0065753357,-0.10782197,-0.14882052,0.548617959022522,-7.072446823120117,16000,32,500.0,0.0,500,500,0.00243351909363924,0.006127030397464169,0.052475228625970774,9.379260493269648e-09,1.21675954681962,1.472946698889788,5.09210351966866,0.025737727712194444,0.0021020402,0.5902313,0.99953187,-0.9997109,10,1.21675954681962,15000,30,500.0,0.0,500,500,0.001774166840049428,0.0011968463945087422,0.005885438181869776,0.0003192591594406713,0.8870834200247145,0.4125240753137966,1.8737751140973564,0.40707498480006565,0.8870834200247145,0.4125240753137966,1.8737751140973564,0.40707498480006565,0.00031703146,0.008143841,0.014568102,-0.012777526,10,0.8870834200247145,0.033143369015306234,68.61197772296146,70.69755994109437,0.028871110174804926,0.007684271316975355,8.914673404302448,148.29390981886536,467.91209018277004,2
21000,0.029179662,0.026382782,-42.779182,38.04238,0.88862455,40.03894,31.959507,38.052643,0.88155586,40.05775,31.958525,38.11479,0.8771446,40.17521,32.24413,-4.7504263,0.27657226,-4.0218096,-5.7378235,0.0029171822,0.019114615,0.07181054,-0.036357604,-0.13051677,0.0088676205,-0.10558765,-0.1555158,0.4064241647720337,-10.576065063476562,21000,42,500.0,0.0,500,500,0.002858468424443417,0.008677466981547949,0.08062007578597721,4.653409656218965e-08,1.4292342122217088,2.780262678369154,9.659249468484637,0.11909492374200785,0.0014278071,0.5898181,0.9973432,-0.9963878,10,1.4292342122217088,20000,40,500.0,0.0,500,500,0.0016617676786141527,0.001241930236664428,0.004871940306871936,5.828157077708562e-05,0.8308838393070763,0.4004555922465847,1.9026401968991957,0.3495171957290707,0.8308838393070763,0.4004555922465847,1.9026401968991957,0.3495171957290707,0.002800281,0.019165574,0.058508284,-0.03359179,10,0.8308838393070763,0.03303338913246989,68.55109450593591,70.53432663157582,0.02878554491326213,0.009346032980829477,8.957178881857544,148.11376498639584,616.0285250600427,3
26000,0.013477866,0.013448683,-48.543137,43.780098,0.9085321,46.00125,37.651344,43.7789,0.9127885,45.994198,37.62919,43.808006,0.9034602,46.112602,37.780903,-4.7837305,0.30040005,-4.000439,-6.247441,-0.006774931,0.022928735,0.097513646,-0.11340222,-0.136693,0.00917459,-0.11082938,-0.16964626,0.30110102891921997,-14.140588760375977,26000,52,500.0,0.0,500,500,0.002578372650795767,0.005501898587772709,0.0420107120764681,6.9135290686750395e-09,1.2891863253978837,1.8996637415182651,6.535241710852039,0.09505895456169774,-0.0055020666,0.58552253,0.99926925,-0.9989691,10,1.2891863253978837,25000,50,500.0,0.0,500,500,0.018482772413346085,0.014867302066011891,0.07251777363597342,0.0010493379669245795,9.241386206673043,3.55858771199,15.244937923346729,3.6165973274054615,9.241386206673043,3.55858771199,15.244937923346729,3.6165973274054615,-0.0070113004,0.016676528,0.02647946,-0.03857578,10,9.241386206673043,0.03267161501571536,69.60111205419526,71.2343067242764,0.029134517069905996,0.009379296097904444,8.952082218136638,149.8586864247918,765.889909055084,4
31000,0.010439539,0.010234288,-52.005234,47.25389,0.69520533,49.008762,42.599667,47.265366,0.6968788,49.02976,42.65802,47.25625,0.6991662,48.971775,42.757748,-4.763506,0.30348453,-3.902104,-5.858407,-0.0032429371,0.03595341,0.13875449,-0.10052255,-0.12728739,0.008248558,-0.099636905,-0.15553194,0.22307005524635315,-17.644901275634766,31000,62,500.0,0.0,500,500,0.002881994924509124,0.005109558979380733,0.05927297539118953,1.2578288910436441e-07,1.4409974622545623,1.130976535281294,3.8245046596780035,0.27671723575239604,-0.003492979,0.59078026,0.9978226,-0.9986764,10,1.4409974622545623,30000,60,500.0,0.0,500,500,0.019490151175273605,0.014542957062646562,0.06639086461534288,0.0012059519203913571,9.745075587636801,5.633806939246259,24.074680778867616,2.4995510520814515,9.745075587636801,5.633806939246259,24.074680778867616,2.4995510520814515,-0.007251709,0.021739284,0.030014584,-0.062541336,10,9.745075587636801,0.0326502388343215,69.67096619866788,70.54900098918006,0.028737722896039486,0.007560093887150288,9.524439728818834,149.8133549722843,915.7059699865058,5
36000,0.008809747,0.008455933,-53.76342,49.00106,0.6367991,50.873276,46.48487,48.997833,0.6402712,50.836643,46.42721,49.02002,0.6430123,50.902912,46.403133,-4.790724,0.33397377,-4.032173,-6.8623514,-0.0069210418,0.05250062,0.29432884,-0.27636772,-0.124985404,0.01021311,-0.091284946,-0.16252172,0.16527439653873444,-21.221511840820312,36000,72,500.0,0.0,500,500,0.006019333462515723,0.01231669499499235,0.07504979029806161,7.868184298542857e-10,3.00966673125786,3.605039642367319,9.523682938935863,0.05367939657591107,-0.0011835332,0.5896925,0.9994214,-0.9969433,10,3.00966673125786,35000,70,500.0,0.0,500,500,0.02653190910213554,0.02367921738136014,0.09899271063417125,0.000977704282448158,13.265954551067768,9.276536275189647,35.75688511812862,4.440481382360342,13.265954551067768,9.276536275189647,35.75688511812862,4.440481382360342,-0.011696826,0.024635842,0.044690102,-0.10228746,10,13.265954551067768,0.032169516663998365,70.43463333556429,70.24451725976542,0.030305802822113037,0.009429893922060728,11.722903122194111,152.47395893093199,1068.1826527952217,6
41000,0.007464691,0.0071921013,-54.39051,49.644844,0.725762,51.4439,43.658688,49.649986,0.7284907,51.492203,43.61831,49.648426,0.71373373,51.408855,43.825783,-4.7623773,0.43074068,-3.6707656,-6.6695356,-0.0019779054,0.074673854,0.35142988,-0.3319237,-0.11854547,0.011867024,-0.0791084,-0.16710144,0.12245987355709076,-24.697132110595703,41000,82,500.0,0.0,500,500,0.006412689888595584,0.011251769921765709,0.08844098610957538,2.399130449859399e-09,3.2063449442977934,2.319849953605868,7.434600659656867,0.63034184190559,-0.0022194742,0.59316725,0.99916667,-0.9997268,10,3.2063449442977934,40000,80,500.0,0.0,500,500,0.036904501816560846,0.020110653723834367,0.08341463383996317,0.001360731083346306,18.452250908280426,6.745747705721887,31.47457111818872,9.878251339906774,18.452250908280426,6.745747705721887,31.47457111818872,9.878251339906774,-0.0145971095,0.024920331,0.07429527,-0.14011282,10,18.452250908280426,0.03252090001478791,70.06289454968646,70.50304428813979,0.029482145328074694,0.008810595609247684,10.585635321680456,151.22238780045882,1219.4077717978507,7
46000,0.007002631,0.0054392554,-54.153946,49.38839,0.65858036,51.11092,46.90191,49.420494,0.6582366,51.156063,47.057137,49.4385,0.6565153,51.19066,47.03745,-4.769123,0.48364687,-3.3373785,-6.550253,-0.01061895,0.10591751,0.63932025,-0.39110917,-0.1245196,0.011658007,-0.057688594,-0.17135315,0.09075026959180832,-28.238176345825195,46000,92,500.0,0.0,500,500,0.004998912084732625,0.010119923638711465,0.09823764249288305,2.7795834356414417e-08,2.499456042366312,2.6423141964531016,8.203948030352205,0.32929279686779156,-0.01032386,0.5930166,0.99819267,-0.9984459,10,2.499456042366312,45000,90,500.0,0.0,500,500,0.014405528104264351,0.014474329300951647,0.05465104936307079,2.7498203498482754e-05,7.202764052132174,5.72638012419408,22.664314678787335,1.0533805442593747,7.202764052132174,5.72638012419408,22.664314678787335,1.0533805442593747,-0.01843572,0.033659585,0.13601422,-0.22260405,10,7.202764052132174,0.03329876670613885,70.16622488573194,71.03809374105185,0.028745698742568493,0.009236946702003479,10.611354614142329,151.88695465307683,1371.297453993,8
51000,0.005937659,0.008843612,-53.414062,48.688232,0.67219687,50.11428,43.406425,48.724064,0.6675287,50.15921,43.44409,48.67534,0.68777007,49.987736,43.36385,-4.71908,0.4707569,-2.6583934,-6.0889792,-0.00757007,0.12880264,0.7105053,-0.48998594,-0.119255565,0.011901646,-0.06965682,-0.17914334,0.06726711243391037,-31.627273559570312,51000,102,500.0,0.0,500,500,0.003987799936998389,0.010484295127370915,0.10135428747159483,1.3548162591803248e-11,1.993899968499194,2.229602193180964,6.372686168001909,0.029884477450057775,-0.01420535,0.59832746,0.99793464,-0.99908835,10,1.993899968499194,50000,100,500.0,0.0,500,500,0.017545055771389713,0.013366610778773262,0.0516316605674252,0.0011775033061716816,8.77252788569486,5.751985919738253,23.71601116063952,3.110799377680774,8.77252788569486,5.751985919738253,23.71601116063952,3.110799377680774,-0.018155036,0.039906733,0.17670335,-0.28173703,10,8.77252788569486,0.033265058882534504,70.65898658428341,70.76564494194463,0.02976735169067979,0.009434932842850685,10.148484425153583,151.6455832947977,1522.9457659362815,9
