replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
6000,88.04247,88.12719,-9.289677,-0.0025166832,0.0018597166,0.0023691605,-0.008028174,-0.007054071,0.0014797713,-0.002115063,-0.010568757,9.340379,0.8674997,11.653804,6.0080605,-9.296847,0.81183654,-6.8837214,-12.759033,0.00038719762,0.0011078734,0.003921164,-0.0024162875,0.00046993195,0.0012789185,0.0049484484,-0.0023868068,0.9997000694274902,-0.0,6000,12,500.0,0.0,500,500,0.08526499039567255,0.02647466078230087,0.5416330396330649,0.022962952807908305,42.63249519783626,5.758340580198717,50.38498366079526,31.596830427722427,-0.0014159816,0.6277447,0.9996292,-0.99987257,10,42.63249519783626,5000,10,500.0,0.0,500,500,0.0967622819140961,0.003155123362011808,0.10175197764307464,0.09097451171056323,48.38114095704805,1.574499185089868,50.82027633903475,45.72468785985446,48.38114095704805,1.574499185089868,50.82027633903475,45.72468785985446,0.0004178372,0.0009815706,0.0023655489,-0.0012479543,10,48.38114095704805,0.034607258159667253,142.5654330709949,144.33512733504176,0.028891116846352816,0.012741035781800747,8.739278313703835,295.71607813052833,332.15249772323295,0
11000,0.13139337,0.13321131,-44.03002,34.456364,0.736214,36.149807,31.818237,34.492664,0.7281853,36.220173,32.02955,34.451626,0.69879246,36.10615,32.548813,-9.59182,0.46871755,-8.7538395,-12.3459635,0.0027061307,0.009217959,0.029704217,-0.021297365,-0.13329922,0.0094433315,-0.101797074,-0.15929607,0.7405478358268738,-7.079078674316406,11000,22,500.0,0.0,500,500,0.0912013696954121,0.013598179275189583,0.25,0.0567882935434809,45.600684847706056,3.4086374411548976,51.705650460256315,40.74371445220804,-0.00023562982,0.5882441,0.9988082,-0.9980098,10,45.600684847706056,10000,20,500.0,0.0,500,500,0.09851956547605066,0.002290733015959101,0.10231617874516165,0.09276428373555703,49.25978273802533,1.0476780709866993,50.673451414715274,47.02692204551964,49.25978273802533,1.0476780709866993,50.673451414715274,47.02692204551964,0.00228821,0.0088573685,0.020434441,-0.017108828,10,49.25978273802533,0.03436724282801151,143.56665917113423,144.5421911966987,0.029363092966377735,0.008121815975755453,8.764335756190121,296.9450382757932,629.1003843941726,1
16000,0.07321193,0.066472836,-69.13608,59.561768,1.2729561,63.458694,56.24793,59.58223,1.2539539,63.29038,56.282566,59.568005,1.1980187,62.91578,56.480762,-9.599184,0.4621274,-8.536692,-13.126505,0.006328836,0.0152571015,0.04465916,-0.023830635,-0.12940171,0.007108219,-0.10750906,-0.1508779,0.5486138463020325,-14.160938262939453,16000,32,500.0,0.0,500,500,0.09193443679763325,0.023546551352879395,0.5350806476419614,0.0552106312866939,45.96721839881662,4.689615776937366,52.80471111025667,38.806216212605776,0.005094078,0.5897371,0.99947757,-0.99966127,10,45.96721839881662,15000,30,500.0,0.0,500,500,0.0879283995092853,0.006083655179180276,0.10156889857097581,0.07537345563576106,43.96419975464264,1.124238019963991,45.44558587609403,42.4233420712613,43.96419975464264,1.124238019963991,45.44558587609403,42.4233420712613,0.0036660326,0.012050956,0.024847388,-0.019343114,10,43.96419975464264,0.033845892641693354,138.77264217473567,144.74405548442155,0.029522754717618227,0.007559721823781729,8.75736070703715,292.34498673537746,921.4480943260714,2
21000,0.059494577,0.05776418,-86.853584,77.349396,1.5421046,80.70451,72.38971,77.38296,1.5388339,80.76773,72.39546,77.41081,1.521178,80.86847,72.69924,-9.528599,0.42881393,-8.175199,-10.942081,0.006237889,0.02612919,0.09546567,-0.062368788,-0.13113716,0.009387901,-0.10496482,-0.16103962,0.4064284861087799,-21.17685317993164,21000,42,500.0,0.0,500,500,0.09719221197974676,0.021919652258487545,0.5359992255887979,0.03461691946028496,48.59610598987338,3.9397981119320886,54.42757094566316,40.6984435510573,0.004136493,0.5897309,0.9991013,-0.99874103,10,48.59610598987338,20000,40,500.0,0.0,500,500,0.09045116009302313,0.005906953514646435,0.10185494971578606,0.07676747934882669,45.22558004651155,1.102719992270525,47.253912958031265,43.55157411137477,45.22558004651155,1.102719992270525,47.253912958031265,43.55157411137477,0.0049331924,0.021538539,0.057170894,-0.03597179,10,45.22558004651155,0.03385857259854674,138.71686637634411,144.42844776809216,0.02917715534567833,0.009227709379047155,9.585914834868163,292.8034924166277,1214.2542819292285,3
26000,0.06521088,0.038841616,-98.9276,89.494644,2.0506551,96.62015,83.95651,89.37802,2.0078263,96.25744,83.94754,89.34534,1.9956224,95.97904,83.684715,-9.549961,0.48870766,-8.208531,-11.365675,0.008912166,0.04180423,0.17934084,-0.10619977,-0.13584663,0.00900307,-0.11226485,-0.16388088,0.301110178232193,-28.259456634521484,26000,52,500.0,0.0,500,500,0.08416583662743568,0.02362709574795293,0.522380036538851,0.03573491333188733,42.082918313717826,4.9452393839030435,47.6303425203404,30.34864225584382,0.0026951907,0.5876286,0.99933165,-0.998989,10,42.082918313717826,25000,50,500.0,0.0,500,500,0.09235963593865536,0.00596650648602725,0.10286826163625754,0.07909842595251221,46.17981796932766,1.4220612539982862,48.55110774611749,43.43135592029395,46.17981796932766,1.4220612539982862,48.55110774611749,43.43135592029395,0.005702176,0.033093885,0.0867809,-0.07762565,10,46.17981796932766,0.034274050034582615,143.67480535106733,145.55785641493276,0.029663778841495514,0.008103935979306698,8.76534877717495,298.0700523080304,1512.3269987567328,4
31000,0.05853085,0.07883683,-106.53467,97.01091,2.0836222,105.9244,91.27247,97.09606,2.0774033,105.83774,91.34254,96.914314,2.042066,105.46727,91.764465,-9.529474,0.52988577,-7.984211,-11.719097,0.010612972,0.06690641,0.29658514,-0.20374468,-0.13039671,0.011292826,-0.09216248,-0.18078509,0.22310146689414978,-35.29018783569336,31000,62,500.0,0.0,500,500,0.08837057698871786,0.036106001552466176,0.5373277348377393,0.035650212632657705,44.18528849435893,4.847809532438,52.22277705294959,37.05907419495419,0.0049425736,0.59080595,0.9985136,-0.99927324,10,44.18528849435893,30000,60,500.0,0.0,500,500,0.09566119408982295,0.006304900184120302,0.10601016177208014,0.0755240125678306,47.830597044911464,1.9423486939553936,50.85124111670437,44.728673733497814,47.830597044911464,1.9423486939553936,50.85124111670437,44.728673733497814,0.005143368,0.049341336,0.12996374,-0.10850549,10,47.830597044911464,0.03382877539843321,145.59607729269192,145.89495148696005,0.029642564244568348,0.009319035802036524,8.783718680031598,300.3475378351286,1812.6772523219697,5
36000,0.04887023,0.042485602,-110.60651,101.233635,2.4259484,109.18369,95.503716,101.08737,2.4138598,108.76506,95.27849,101.14674,2.3953297,108.676315,94.89742,-9.501915,0.5079163,-8.154354,-11.506334,0.0011741169,0.0817596,0.29099017,-0.24551143,-0.13051932,0.008820854,-0.0960947,-0.16890255,0.1653275489807129,-42.292327880859375,36000,72,500.0,0.0,500,500,0.08040846176924585,0.024628519624483015,0.5242525299710471,0.02505751150168667,40.20423088462292,6.95896106236169,51.49656942741926,29.890003205087215,0.0020303633,0.589438,0.9993634,-0.99920404,10,40.20423088462292,35000,70,500.0,0.0,500,500,0.07756367039791952,0.01622007490689999,0.10394895539791034,0.04239372426849611,38.78183519895977,1.8569650604827825,41.61822071008296,34.87334375913865,38.78183519895977,1.8569650604827825,41.61822071008296,34.87334375913865,0.011622306,0.061193805,0.1834833,-0.17026274,10,38.78183519895977,0.0339875528588891,140.46647834824398,147.10600727284327,0.02943137101829052,0.008752169087529182,8.78209487721324,296.4267515912652,2109.106723487377,6
41000,0.029178705,0.036685534,-112.06353,102.69589,3.1064806,114.88175,82.050156,102.6703,3.1024134,114.9092,82.1855,102.72789,3.0840178,114.867935,82.4771,-9.3927555,0.6925976,-7.629046,-11.419825,0.009435648,0.12630951,0.47800806,-0.5670694,-0.13321798,0.01215546,-0.09393613,-0.18253663,0.12253955751657486,-49.10190963745117,41000,82,500.0,0.0,500,500,0.07500066155352203,0.023950330795779642,0.25,0.033340975559618374,37.500330776761004,6.407141414484261,48.74863324401651,28.942098386402442,0.0031221018,0.5932093,0.99906015,-0.9997213,10,37.500330776761004,40000,80,500.0,0.0,500,500,0.09007057611330997,0.0324732699294975,0.5226802097450366,0.033914739112343134,45.03528805665497,3.5686602623033683,51.32993927694828,39.19389837121446,45.03528805665497,3.5686602623033683,51.32993927694828,39.19389837121446,0.014618521,0.10649214,0.32563555,-0.24437,10,45.03528805665497,0.03438584599643946,155.41571014467627,148.03254211461172,0.02999695297330618,0.007891606073826551,8.780438248999417,312.300964913331,2421.4103728542104,7
46000,0.030190432,0.027741954,-112.21428,103.01424,2.083856,110.024895,97.018486,102.943405,2.0815377,109.946465,97.033424,102.97165,2.0879061,110.155914,97.00017,-9.254045,0.8751808,-6.65121,-12.107034,-0.00083657715,0.17000276,0.62909853,-0.8457628,-0.13629968,0.014605194,-0.09867066,-0.30027193,0.09086134284734726,-55.76603317260742,46000,92,500.0,0.0,500,500,0.08443771017530835,0.056799225795956365,0.5214540052372045,0.023654120321874597,42.21885508765418,14.13816555368544,80.66919619889775,28.76390720502183,-0.0046389922,0.5933853,0.9986888,-0.9982205,10,42.21885508765418,45000,90,500.0,0.0,500,500,0.07735228275411657,0.018437138851046964,0.10968670931167734,0.028780977657279147,38.67614137705829,2.702262693421585,44.951397733886076,34.5674811471109,38.67614137705829,2.702262693421585,44.951397733886076,34.5674811471109,0.005518715,0.1378766,0.40603992,-0.33109412,10,38.67614137705829,0.03447921993210912,160.83595534414053,150.92146288510412,0.02948195207864046,0.008669316302984953,8.81501563405618,320.64506435161456,2742.058168324176,8
51000,0.043965686,0.03802348,-111.19536,102.011055,2.9473755,110.45535,90.92873,102.01324,2.9719408,110.74424,90.50404,101.96993,2.9858186,110.54814,90.64143,-9.169112,0.9246685,-6.7141623,-12.021591,0.005681502,0.20172289,0.7999676,-1.0286415,-0.13133514,0.020112827,-0.065296605,-0.29685056,0.06739867478609085,-62.483192443847656,51000,102,500.0,0.0,500,500,0.05865900143885285,0.03744252017748058,0.5366252720165708,0.011527363228108184,29.329500719426438,6.8799694221474805,39.252647903334456,18.668835001903943,-0.0031465515,0.59775126,0.99868137,-0.9993479,10,29.329500719426438,50000,100,500.0,0.0,500,500,0.0821902660797448,0.04735196524519258,0.5202421224768458,0.032703396853840425,41.09513303987239,4.591693718548628,50.13169526363634,32.609249173591664,41.09513303987239,4.591693718548628,50.13169526363634,32.609249173591664,0.0034292059,0.15847033,0.42411166,-0.44521353,10,41.09513303987239,0.03415435180068016,151.54158189008012,147.86463980562985,0.030196002684533596,0.008150391280651093,8.804825503379107,308.28354794485494,3050.3444661838003,9
