replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
6000,72.18181,72.24316,-8.000315,-0.0013822864,0.0016308053,0.0037208237,-0.006400104,-0.005013569,0.0022107537,0.0012751785,-0.011988364,8.463821,0.7225041,10.407908,6.1127844,-8.005489,0.73706377,-6.072897,-9.803056,-0.0001219621,0.0013619558,0.0037717805,-0.0038090474,0.00044673006,0.0015049821,0.0034764493,-0.0053823832,0.9997000694274902,-0.0,6000,12,500.0,0.0,500,500,0.43685909443587934,0.08550605231098364,0.6700220552055196,0.22684847288388263,218.42954721793973,23.198102393941802,254.47651101832403,177.68037120609628,-0.002183503,0.62854743,0.9998155,-0.99972075,10,218.42954721793973,5000,10,500.0,0.0,500,500,0.5117774440486028,0.010308559432447071,0.5279028761964708,0.486016286866544,255.88872202430133,4.805305163328619,261.4393195595329,246.65704884275192,255.88872202430133,4.805305163328619,261.4393195595329,246.65704884275192,-3.0496914e-05,0.0013469534,0.0025061069,-0.0020497823,10,255.88872202430133,0.03397455904632807,108.4395766267553,111.53783528506756,0.029095998033881187,0.012039043009281158,9.234231987968087,229.28675349988043,258.97789663402364,0
11000,0.11422302,0.11651131,-39.16193,30.981712,0.8972787,32.97774,26.274927,30.984758,0.8871458,32.91763,26.590889,30.952507,0.8157742,32.678795,26.864902,-8.218445,0.36354694,-7.389401,-9.939401,0.0028415571,0.0123198945,0.0385679,-0.02267185,-0.12856089,0.007450892,-0.1093695,-0.1589452,0.7405496835708618,-6.066798686981201,11000,22,500.0,0.0,500,500,0.45962070600147564,0.07241519775845219,0.6651897028857099,0.2783496179451934,229.81035300073782,18.921331557389518,264.8755864878879,203.3116189596055,0.0015483288,0.59041685,0.9988561,-0.99894243,10,229.81035300073782,10000,20,500.0,0.0,500,500,0.5170821193249061,0.016953791411404972,0.5542879749282421,0.45842608364774257,258.541059662453,3.792151585485397,268.0434859817426,253.6626257338246,258.541059662453,3.792151585485397,268.0434859817426,253.6626257338246,0.0033976573,0.012302662,0.03366149,-0.011611592,10,258.541059662453,0.03399551706388593,111.99948183400556,112.44779725000262,0.029892134945839643,0.009465228766202927,8.920875374693424,233.44150733947754,492.4223078638315,1
16000,0.07897191,0.0709794,-62.28225,54.14347,1.3513144,57.763355,48.463238,54.098877,1.3202122,57.407196,48.368416,54.07946,1.3172246,57.342014,48.684883,-8.214096,0.38601628,-7.237157,-10.041651,0.0068925847,0.020381717,0.041066542,-0.061370216,-0.1263542,0.0066398177,-0.10918907,-0.14678237,0.5486063361167908,-12.129953384399414,16000,32,500.0,0.0,500,500,0.4616997494992136,0.0787579961048821,0.6414024497321158,0.21401689473076582,230.84987474960676,21.115937172452423,258.31650102027623,188.9528878104486,0.005930419,0.59221196,0.99914503,-0.9983632,10,230.84987474960676,15000,30,500.0,0.0,500,500,0.5318163866256096,0.014873432646330308,0.5785524828323702,0.48280729186405025,265.90819331280477,2.7114781544993605,271.4543341695372,261.24146446975374,265.90819331280477,2.7114781544993605,271.4543341695372,261.24146446975374,0.005660323,0.020152144,0.036061864,-0.034095522,10,265.90819331280477,0.03389851935207844,111.90752867795527,111.30271488893777,0.02759079821407795,0.007581247016787529,8.940064209979028,232.219378341455,724.6444405768998,2
21000,0.06265042,0.06384546,-79.068954,70.90928,1.5287528,75.01937,66.12829,70.95182,1.5261226,74.92132,66.36684,70.879395,1.5159179,74.90262,66.006874,-8.186495,0.51069206,-7.0676646,-11.0576935,0.012785472,0.042571444,0.14774787,-0.13225776,-0.12949352,0.009638192,-0.09866361,-0.16850929,0.40644457936286926,-18.16800308227539,21000,42,500.0,0.0,500,500,0.4550250217104996,0.0910763011941193,0.6916068743866196,0.23846958692160358,227.5125108552498,24.712277099901467,273.81706701808196,200.76082737634448,0.00970022,0.59218174,0.9982706,-0.9987928,10,227.5125108552498,20000,40,500.0,0.0,500,500,0.5564116736060233,0.033215456233982234,0.6426576131716815,0.4880884065189851,278.2058368030116,11.024083618259438,306.1293035535289,262.9602051518543,278.2058368030116,11.024083618259438,306.1293035535289,262.9602051518543,0.0023183196,0.036174502,0.08342829,-0.079300396,10,278.2058368030116,0.03404248179867864,114.49667843198404,111.60201932163909,0.029434672091156244,0.009381242096424103,8.942516589071602,235.114072738681,959.7612424818799,3
26000,0.071307175,0.062358662,-90.71653,82.55167,1.848631,86.5679,74.91448,82.53934,1.8310523,86.38673,75.08644,82.46339,1.8251847,86.49032,75.43969,-8.206271,0.53394485,-6.6320167,-10.492777,0.010633173,0.07258326,0.20905413,-0.29419833,-0.1319667,0.008544654,-0.10929954,-0.16250622,0.30115705728530884,-24.243959426879883,26000,52,500.0,0.0,500,500,0.5001493757452862,0.08986580984462553,0.7170150937826705,0.248683557468937,250.074687872643,26.315151163012846,277.67313626639606,189.8609065124954,0.009849624,0.5916777,0.99918634,-0.99931335,10,250.074687872643,25000,50,500.0,0.0,500,500,0.5568752674434435,0.03859262714654509,0.7063384555828142,0.47610095965118443,278.4376337217218,11.877530809284476,308.7643046263266,263.2926656212929,278.4376337217218,11.877530809284476,308.7643046263266,263.2926656212929,0.0008662799,0.055820543,0.13740262,-0.14347924,10,278.4376337217218,0.03466685302555561,115.98812391096726,111.40396958775818,0.028604357969015837,0.009002098813652992,8.969060664065182,236.43342747259885,1196.1973909614608,4
31000,0.11108664,0.08510968,-98.549805,90.49125,2.179131,97.1098,83.97466,90.41199,2.1789365,97.10628,83.862206,90.353096,2.158704,96.10242,84.0877,-8.121565,0.6046471,-6.462035,-11.2583275,0.00582998,0.10394198,0.3162676,-0.42461544,-0.12676126,0.0107531315,-0.09090069,-0.16222447,0.22320611774921417,-30.169479370117188,31000,62,500.0,0.0,500,500,0.4918749859358295,0.09224690474039808,0.7025181727980083,0.2092607450727401,245.93749296791466,29.026225073611176,273.82707040341,191.98133053360195,0.006245871,0.59156823,0.99944305,-0.9998435,10,245.93749296791466,30000,60,500.0,0.0,500,500,0.5686240309569188,0.08017853845619183,0.6602057902752225,0.3341366289393424,284.3120154784595,33.14849592220222,317.9752547150862,205.63775129172402,284.3120154784595,33.14849592220222,317.9752547150862,205.63775129172402,-0.0010773638,0.080917254,0.20558175,-0.21602117,10,284.3120154784595,0.034163798205554485,115.48786586988717,110.78440982010216,0.03132418775931001,0.007582758087664843,9.898894181940705,236.24424061598256,1432.4445582274348,5
36000,0.09321653,0.087631784,-103.81993,95.89083,2.4721754,104.79449,88.94569,95.87923,2.469169,104.3861,88.816154,95.86321,2.4318762,104.011734,88.77053,-7.949342,0.75009847,-4.8607416,-10.399375,0.0107809855,0.16047561,0.44665182,-0.5036646,-0.13325946,0.015612195,-0.0939791,-0.20752722,0.16550889611244202,-35.87752914428711,36000,72,500.0,0.0,500,500,0.46158257825605215,0.09258437109697962,0.9424929316987716,0.18712025415883807,230.79128912802608,20.455217528914847,262.2624182057359,206.61757647117034,0.01897874,0.59293777,0.9988559,-0.99847096,10,230.79128912802608,35000,70,500.0,0.0,500,500,0.5259643421928564,0.10526804812821661,0.6856144278004417,0.13416750019043847,262.9821710964282,23.844222689161093,297.99969900372685,219.81960973301392,262.9821710964282,23.844222689161093,297.99969900372685,219.81960973301392,0.018788064,0.11197409,0.32251573,-0.44339305,10,262.9821710964282,0.033948924858123064,115.18937201006338,112.15454134391621,0.02780984528362751,0.00791736226528883,8.977526426780969,236.3911159131676,1668.8384384894744,6
41000,0.118007846,0.10469123,-106.25981,98.42077,2.703318,105.04648,88.0789,98.52116,2.7025406,105.022705,87.6527,98.492065,2.6905508,105.720795,87.55868,-7.7970943,0.9713863,-3.9952815,-10.07406,0.008571244,0.21526791,0.589656,-0.9369663,-0.12677577,0.018334864,-0.06453715,-0.21814542,0.12281496077775955,-41.5101318359375,41000,82,500.0,0.0,500,500,0.4644867747640437,0.10859570307057007,0.7150515950432065,0.16225727433993084,232.24338738202195,31.21170119900742,270.97309057186476,157.9846429345415,0.022835901,0.59651494,0.9989801,-0.9991397,10,232.24338738202195,40000,80,500.0,0.0,500,500,0.4269688452224544,0.09842441407698808,0.7005587680042132,0.20047399410781847,213.48442261122722,28.4195462186147,259.3936595395369,176.43250293282736,213.48442261122722,28.4195462186147,259.3936595395369,176.43250293282736,0.02648722,0.14950436,0.4249532,-0.56110597,10,213.48442261122722,0.0338865639641881,111.82326469803229,111.53342392109334,0.02808202989399433,0.009131240658462048,9.085174281615764,232.51296273525804,1901.3541595949791,7
46000,0.12360438,0.12565602,-107.793846,100.36571,2.944216,109.078896,91.76623,100.27447,2.9337246,108.82914,91.10008,100.26097,2.9194815,109.66595,91.93946,-7.455387,1.249532,-3.549123,-11.009194,0.025436625,0.291127,0.78571624,-0.949514,-0.13249393,0.030626358,-0.06806202,-0.27826852,0.09123830497264862,-46.57591247558594,46000,92,500.0,0.0,500,500,0.40467658754932057,0.10857496828644936,0.7142675577662412,0.10908729700926123,202.33829377466026,28.457307654683444,266.5581803659608,161.70237159335565,0.02704914,0.60067475,0.99919325,-0.9993675,10,202.33829377466026,45000,90,500.0,0.0,500,500,0.36429489176513996,0.1082362276753881,0.6715991120928126,0.12173515985778612,182.14744588257003,10.361886426429963,204.16713827599153,166.9725679697834,182.14744588257003,10.361886426429963,204.16713827599153,166.9725679697834,0.022030532,0.21653967,0.55371267,-0.7455124,10,182.14744588257003,0.0339773939922452,111.5745620499365,111.08141152607277,0.027834058739244938,0.007712908089160919,9.01517746411264,231.74067540094256,2133.097645036876,8
51000,0.13467091,0.122294396,-107.79887,100.87568,3.1332047,111.06867,92.58924,100.871826,3.1108348,110.51733,92.75077,100.88974,3.1427295,110.39341,92.948616,-6.8421974,1.719817,-1.5219646,-12.232137,0.05960223,0.37688816,1.1817443,-1.4188249,-0.13897271,0.04342547,-0.046268012,-0.37056708,0.06792446970939636,-50.667911529541016,51000,102,500.0,0.0,500,500,0.4384767381730571,0.09584490415141317,0.7125918008982377,0.20141762958654535,219.23836908652856,18.97771126745164,247.5053084918321,187.01704303723437,0.037870243,0.6061734,0.99918455,-0.9990477,10,219.23836908652856,50000,100,500.0,0.0,500,500,0.38798147531395655,0.08185739910629991,0.6703338181764853,0.14040458641096706,193.9907376569783,13.408385709348932,212.03288379678992,175.41266498126444,193.9907376569783,13.408385709348932,212.03288379678992,175.41266498126444,0.051223036,0.25275785,0.7168233,-0.8827616,10,193.9907376569783,0.03405133914202452,113.28662233706564,111.15772160515189,0.03233580198138952,0.010629214812070131,9.001374241895974,233.522734540049,2366.623158806935,9
