replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
6000,15.81901,15.85191,-4.005934,0.0055238865,0.0013479386,0.009009857,0.0003886209,0.0013423273,0.0011953091,0.0038416248,-0.0030392825,3.9078186,0.76901907,5.1919394,-0.28161082,-4.004531,0.536569,-2.0675745,-5.4155717,0.00030901938,0.0013807971,0.004386085,-0.0026161768,-0.00041579767,0.00085488043,0.0014254097,-0.0027633435,0.9997000694274902,-0.0,6000,104,56.81818181818182,53.30413284645382,269,9,0.01383349509564061,0.07530080323187854,2.572172822002943,-0.8301566136139554,0.7859940395250345,1.5056287425779755,6.818836895058484,-1.151767657157387,0.0008326411,0.6275531,0.99940205,-0.9993403,88,0.7859940395250345,5000,10,500.0,0.0,500,500,0.01999669291127803,0.007209062139472168,0.03290897412858071,0.009184332715753989,9.99834645563902,3.603129351014945,16.279083479160263,4.69254568767277,9.99834645563902,3.603129351014945,16.279083479160263,4.69254568767277,0.000204603,0.0013485185,0.0030393573,-0.0012647712,10,9.99834645563902,0.0314999190159142,71.5854469249025,73.25064071174711,0.03057144209742546,0.00885149510577321,9.177017946261913,154.08402843913063,439.1921153194271,0
11000,2.7211716,2.8060813,-18.38744,14.35451,1.0715045,16.562288,10.986894,14.321645,1.0406305,16.507357,10.819233,14.335413,1.9919934,16.498343,-0.28161082,-4.088663,0.32811767,-3.2198274,-5.407015,-0.008585027,0.066047885,0.23610505,-0.12661755,-0.12843059,0.013589043,-0.09781731,-0.18073891,0.7405819892883301,-3.026792287826538,11000,189,58.8235294117647,45.88045244932768,226,5,0.015509500913526566,0.048005563142877135,0.0919591199205258,-0.4437652999834836,0.9123235831486214,1.3599538065556587,7.084429128924988,-0.6932067089084089,-0.009690485,0.5877589,0.9989542,-0.99726486,85,0.9123235831486214,9955,89,62.721518987341774,5.595967600771111,74,49,0.020676619719994294,0.03927160490976332,0.04509568369469704,-0.28161081385525205,1.2968689963616675,0.4612236434896304,2.3118776943757426,0.30106589007302836,1.2968689963616675,0.4612236434896304,2.3118776943757426,0.30106589007302836,-0.026160402,0.06030242,0.08371019,-0.10860194,79,1.2968689963616675,0.03101849276572466,71.46421686001122,72.83546839980409,0.030561241786926985,0.00955459289252758,9.336828128900379,153.70764771616086,592.9025994343683,1
16000,3.3528538,3.758081,-26.696117,22.82818,3.2558837,28.34496,10.539306,22.874762,3.191611,29.329412,10.526719,22.900562,3.7942457,28.751833,-0.28161082,-3.9017243,0.7404003,-1.542098,-6.199647,0.068930715,0.20847562,0.832296,-0.55541784,-0.11398232,0.02481528,-0.0558497,-0.26891038,0.5493127107620239,-5.929060935974121,16000,261,69.44444444444444,46.09105989743711,210,9,0.012785470917491068,0.038660968541053914,0.0782729647386663,-0.346477160184969,0.8878799248257686,0.9126736223402545,4.324867780474209,-0.17394823439921359,0.044231404,0.6016141,0.99943596,-0.99960774,72,0.8878799248257686,14904,168,62.64556962025316,9.482879943208442,94,53,0.014270148251096829,0.038757715697742307,0.044636061955691905,-0.28161081385525205,0.8939615657554205,0.4472714113180273,1.8015379840895307,0.09917219070108557,0.8939615657554205,0.4472714113180273,1.8015379840895307,0.09917219070108557,0.09359496,0.2070181,0.560578,-0.4351876,79,0.8939615657554205,0.031193967908620834,71.81648187991232,72.51117504015565,0.032874088268727064,0.009782169945538044,9.363793820142746,153.7653009663336,746.6709197089076,2
21000,7.8952823,8.210802,-31.444218,27.801205,5.3075795,39.545414,8.998173,27.820173,5.1727138,38.61353,9.243343,27.854107,6.318808,38.151985,-0.28161082,-3.3929224,1.1501043,0.019937158,-7.0238585,0.08842504,0.38211814,1.2085838,-1.2875749,-0.10419645,0.052782338,0.021189721,-0.3014692,0.40912091732025146,-8.392168045043945,21000,300,128.2051282051282,49.920541729052026,224,27,0.005961936658692149,0.027686765533199053,0.06757479805641355,-0.28161081385525205,0.7643508536784805,0.8865217904789945,5.019826439118962,-0.11612552548485552,0.039473325,0.62009764,0.99902,-0.999021,39,0.7643508536784805,19781,205,131.8108108108108,7.79409977062635,149,119,0.0021001378110936998,0.02577282682194474,0.047154919425755996,-0.28161081385525205,0.276820867694702,0.17771166288888848,0.7724846214834065,-0.0021269097340287924,0.276820867694702,0.17771166288888848,0.7724846214834065,-0.0021269097340287924,0.06507854,0.24420437,0.7378123,-0.49116266,37,0.276820867694702,0.03080015815794468,71.38847419293597,72.19706334592775,0.029098191764205694,0.009733561892062426,9.371465739328414,153.02663519000635,899.7006442206912,3
26000,2.6332374,2.7601185,-34.784508,31.828407,6.1729956,43.175,10.864404,31.641165,6.1512566,43.549984,13.24544,32.008797,6.0202775,42.630695,-0.28161082,-2.596572,1.7901754,2.8449578,-8.023384,0.02385143,0.5970339,1.8204827,-2.002211,-0.13427196,0.09049817,0.11093712,-0.6699095,0.3077596127986908,-10.128122329711914,26000,339,128.2051282051282,63.35135215490952,239,29,0.0028816801974745907,0.04325966074714407,0.0512562582312494,-0.9671405374730746,0.36944617916340927,1.3144782384807847,2.2849977199126372,-5.518009487843191,-0.02143731,0.6319215,0.99952185,-0.99958676,39,0.36944617916340927,24774,248,116.11627906976744,2.7636284063946968,122,110,0.0030402549416985573,0.027650115790242215,0.04682290419707543,-0.28161081385525205,0.35302309125350917,0.20715570272428516,0.8648626448564714,0.028407700678235115,0.35302309125350917,0.20715570272428516,0.8648626448564714,0.028407700678235115,-0.04190884,0.289638,0.90459055,-0.7415136,43,0.35302309125350917,0.030711801256984472,71.41306427493691,72.27551692863926,0.030991113279014826,0.01008088095113635,9.362212504725903,153.12257750378922,1052.8262147679925,4
31000,6.36524,6.496693,-37.488213,34.825577,7.6379848,46.707664,1.3129605,34.64416,7.604552,45.281254,0.84307015,34.60241,7.7460065,45.26992,-0.28161082,-2.2518382,1.9362279,2.9889097,-7.603122,0.10539345,0.66179717,2.1036625,-2.378952,-0.123923756,0.11057795,0.16156578,-0.6831586,0.23310676217079163,-12.014535903930664,31000,359,250.0,74.81443710942428,415,60,0.00294379971552797,0.018688781022715865,0.04298406791532798,-0.28161081385525205,0.7359499288819924,0.4062262584222211,1.6265389078600707,0.2315220419185519,0.034889705,0.6427682,0.9997537,-0.9994551,20,0.7359499288819924,29608,273,193.36,16.620180504434963,230,170,0.0023646542532358736,0.02172648875603283,0.04718658118910959,-0.28161081385525205,0.4572295464056884,0.34730702328127777,1.144937346403532,-0.08930965902850069,0.4572295464056884,0.34730702328127777,1.144937346403532,-0.08930965902850069,0.09496086,0.2536194,0.976854,-0.9686123,25,0.4572295464056884,0.03078374918550253,71.31803085189313,71.92750142887235,0.029680553823709488,0.009805737063288689,9.37796432711184,152.69376664794981,1205.5230042948388,5
36000,2.6179934,2.5192957,-38.505405,36.664406,8.5630245,49.682606,1.988626,36.66613,8.527134,51.325504,0.9373173,37.07587,8.540981,50.800518,0.9955283,-1.073957,2.3577032,4.917067,-8.716756,0.23592757,0.8419041,2.3444371,-2.1673293,-0.1685342,0.1423989,0.15742296,-0.64652896,0.17753829061985016,-12.226016998291016,36000,392,151.5151515151515,40.38460643733272,226,2,0.006628600748492806,0.024840202092710213,0.04691165599396687,-0.28161081385525205,1.0043334467413343,0.7256680754622381,3.049140185253479,-0.024900310446367424,0.09454937,0.63453233,0.9995029,-0.9992094,33,1.0043334467413343,34509,316,113.97674418604652,6.9999613689732145,132,105,0.0036734169398347917,0.027824865873605185,0.04085947387697635,-0.28161081385525205,0.41868410284023977,0.2779876117293621,0.8315162691582685,-0.04404100098651406,0.41868410284023977,0.2779876117293621,0.8315162691582685,-0.04404100098651406,0.19602457,0.2914165,0.9857558,-0.89015645,43,0.41868410284023977,0.033776803873479366,71.78677975106984,72.12360104592517,0.02999857161194086,0.010368638671934605,9.381538277026266,153.36606308817863,1358.8920932933688,6
41000,1.7809757,1.8791306,-40.00911,38.230885,9.857332,52.5385,-1.2355292,38.289513,9.927144,52.178276,-4.698771,38.358635,9.599796,51.290287,-4.4894648,-0.93662685,2.7224295,10.776857,-7.374879,-0.056097824,0.8923517,2.6894288,-2.4734771,-0.1990987,0.15162984,0.13062653,-0.90432155,0.13598431646823883,-13.838203430175781,41000,408,312.5,120.177472930662,500,67,0.04576026138064442,0.31213441240321843,9.902149153629383,-0.3951559798773451,14.300081681451381,14.28292360138987,60.20041315680443,0.1655494722451304,-0.0771676,0.62379235,0.9990549,-0.99956787,16,14.300081681451381,39199,328,390.8333333333333,26.175157857955487,433,350,0.03086771227578532,0.13728251069898892,2.937367400354736,-0.28161081385525205,12.064130881119434,6.322399401948413,22.112602723523075,3.0901867799319485,12.064130881119434,6.322399401948413,22.112602723523075,3.0901867799319485,-0.042667,0.28111932,0.8706809,-0.84812284,12,12.064130881119434,0.03375822305679321,75.26245244359598,75.91664450569078,0.027566119097173214,0.009532417170703411,9.385007400996983,160.6349611096084,1519.5301636485383,7
46000,3.4183211,3.758881,-41.239197,40.33871,9.28242,55.232338,-1.5409602,40.193886,9.353653,55.093494,-4.262854,40.341175,9.50606,55.356827,-1.0445681,-0.08879851,2.8678217,9.78864,-6.672163,0.08930192,0.9889492,2.9001503,-2.8266783,-0.30265492,0.21329103,0.10936986,-1.0900054,0.1048908606171608,-13.727629661560059,46000,422,357.14285714285717,97.5271809313084,500,119,0.004800278654730224,0.016844503193934827,0.06118485935812255,-0.28161081385525205,1.7143852338322227,1.429466089315567,5.729288876850428,0.19442024240116473,-0.041502167,0.6034798,0.9980803,-0.99909794,14,1.7143852338322227,44199,338,500.0,0.0,500,500,0.0021736951969412183,0.004862463583992488,0.03768296642350027,2.759730088010707e-05,1.0868475984706092,0.6561917526886925,2.2157760504514754,0.32932545068653196,1.0868475984706092,0.6561917526886925,2.2157760504514754,0.32932545068653196,-0.012102581,0.12067367,0.9266765,-0.9279617,10,1.0868475984706092,0.03370377281680703,71.44344918709248,71.94648786727339,0.030204419046640396,0.009737820830196142,9.37440323876217,152.8379863058217,1672.370951554738,8
51000,7.180451,7.1159897,-41.951405,42.323105,9.088541,58.198254,0.7597298,42.20621,8.941266,59.540627,2.703987,42.15931,9.3633175,56.44775,-0.28161082,1.3487544,3.2742288,15.525985,-6.0993953,0.06333097,1.1337609,2.519341,-2.8628263,-0.37306705,0.25131667,0.15428127,-1.3000154,0.08127143979072571,-11.673277854919434,51000,432,500.0,0.0,500,500,0.0108906245892286,0.01018486191808646,0.05674703690874451,0.0005462858547305569,5.4453122946142996,3.8305494085469127,12.68044577000601,1.400541563969425,-0.012409356,0.59396803,0.9991355,-0.9993745,10,5.4453122946142996,49199,348,500.0,0.0,500,500,0.0029239512857909098,0.0028921933780499016,0.04093409298968689,0.0007058062228717915,1.4619756428954547,0.2829227983948557,1.85170689544101,1.016376750675323,1.4619756428954547,0.2829227983948557,1.85170689544101,1.016376750675323,0.010927073,0.15614976,0.96539587,-0.91844434,10,1.4619756428954547,0.03349299030378461,71.61245416477323,72.13402282586321,0.02847397094592452,0.00959488796070218,10.356132129207253,154.1741709690541,1826.5479935454205,9
