replay_buffer/size,trainer/tdrp Loss,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
6000,[4796.325],22.097466,22.074821,-4.638154,-0.0079844,0.0012429793,-0.0041553047,-0.010615928,-0.0055440203,0.0012168288,-0.0022624335,-0.009124275,4.6572504,0.5771774,6.717355,3.1436732,-4.646298,0.56031436,-2.9311256,-6.3250628,0.0002929784,0.0016609255,0.003562202,-0.00331967,0.00047362462,0.0010081981,0.0024888078,-0.002389784,0.9997000694274902,-0.0,6000,12,500.0,0.0,500,500,0.0041693494933749495,0.0075468937071050705,0.17355258192184903,0.000276250228379361,2.084674746687475,1.8332951973823368,6.232880187920273,0.6955617987936805,0.0016759606,0.6273579,0.9994036,-0.9998713,10,2.084674746687475,5000,10,500.0,0.0,500,500,0.003653834163694545,0.0005888030948224337,0.004918878188843751,0.00239356572051064,1.826917081847272,0.25812728779795563,2.382831355299617,1.5736590310479737,1.826917081847272,0.25812728779795563,2.382831355299617,1.5736590310479737,0.0002038735,0.001776819,0.0030027297,-0.0031200482,10,1.826917081847272,0.032543946988880634,66.17331047914922,65.38890188839287,0.027022474445402622,0.014119785279035568,8.785216546617448,140.42111512087286,160.29288632329553,0
11000,[4794.3105],0.05480074,0.054284707,-22.338589,17.555254,0.24198617,18.213032,16.691414,17.55464,0.23834087,18.191692,16.755337,17.50142,0.32381713,19.035166,16.71382,-4.7924123,0.31772587,-4.045921,-6.6026373,-0.0017302355,0.0056774532,0.009581299,-0.015823415,-0.14245963,0.004829737,-0.12099104,-0.15485004,0.7405484914779663,-3.538480043411255,11000,22,500.0,0.0,500,500,0.0018873353546060095,0.0015920394019521345,0.018881946520214903,0.0003854597428345008,0.9436676773030047,0.29863541378171127,1.5712674005833889,0.7041935599667604,-0.005237991,0.5830588,0.9987237,-0.9971044,10,0.9436676773030047,10000,20,500.0,0.0,500,500,0.004721063120878676,0.001168938408168358,0.007829750672453917,0.0018955308401825716,2.360531560439338,0.4128798947655594,3.1748333975057146,1.7690368395804927,2.360531560439338,0.4128798947655594,3.1748333975057146,1.7690368395804927,-0.0018844513,0.005751723,0.0077068605,-0.013344483,10,2.360531560439338,0.03277553245425224,66.56507819145918,65.69689356442541,0.02817302942276001,0.011015488766133785,8.775495186448097,141.10943099297583,301.40483957435936,1
16000,[4791.2954],0.026039958,0.025392398,-34.48329,29.716562,0.47985354,30.410152,27.14107,29.720636,0.47260058,30.417957,27.18642,29.68209,0.4660019,30.788836,27.841347,-4.7837024,0.29010388,-3.832738,-6.2114615,0.0015010759,0.008273844,0.02622851,-0.020557456,-0.13280319,0.007800351,-0.10974305,-0.15912627,0.5486140251159668,-7.070931434631348,16000,32,500.0,0.0,500,500,0.003339075644185391,0.007632945077175977,0.0773598491930618,0.0003112807713238641,1.6695378220926955,2.5351020312550294,9.264142630754097,0.7103286147244283,0.0033978003,0.5899628,0.9995477,-0.99969196,10,1.6695378220926955,15000,30,500.0,0.0,500,500,0.002755662410034556,0.0006908333653089426,0.006599472230769707,0.0020085539926181176,1.3778312050172778,0.30408370892051545,2.1863311594472163,1.1237595832735763,1.3778312050172778,0.30408370892051545,2.1863311594472163,1.1237595832735763,-0.00038146274,0.0050040963,0.008021409,-0.0065238304,10,1.3778312050172778,0.032870606519281864,62.4641636479646,65.58474833052605,0.027163662016391754,0.028234440833330154,8.910309920087457,137.0474906079471,438.4549958575517,2
21000,[4781.711],0.025704402,0.024434814,-43.05513,38.316162,0.43960226,39.066074,36.851467,38.318653,0.437083,39.062748,36.837185,38.376953,0.4618321,39.389,36.928753,-4.752263,0.27796447,-4.032689,-5.7834854,0.0034281078,0.01971576,0.054814287,-0.043947373,-0.13472651,0.0074938075,-0.11036582,-0.15552066,0.40642249584198,-10.577768325805664,21000,42,500.0,0.0,500,500,0.004590999477909407,0.011947371339666241,0.13144890905811707,0.00021729713745592,2.2954997389547045,3.3436937875511537,11.571265398174582,0.7065020049009492,0.001669071,0.5883577,0.9974324,-0.9962266,10,2.2954997389547045,20000,40,500.0,0.0,500,500,0.0033761834563910747,0.0006453670600014344,0.004996769201496798,0.0020076677003507707,1.6880917281955365,0.24849990272785508,2.0878468066419797,1.4280880798342301,1.6880917281955365,0.24849990272785508,2.0878468066419797,1.4280880798342301,0.0019804859,0.015553509,0.03098592,-0.025232788,10,1.6880917281955365,0.03201975766569376,64.35534588806331,66.77911073621362,0.027914781123399734,0.012407412752509117,8.33372479584068,139.54052337165922,577.9979202495888,3
26000,[4774.8687],0.010740014,0.011120619,-48.818184,44.053932,0.44119063,44.985332,42.428802,44.053707,0.43838295,44.99043,42.494717,44.07544,0.43699184,44.954052,42.287575,-4.771987,0.29417667,-4.073658,-5.9591575,-0.0008677752,0.02113947,0.057715893,-0.09591587,-0.13911553,0.008668479,-0.121867865,-0.17154396,0.30110108852386475,-14.126493453979492,26000,52,500.0,0.0,500,500,0.00200526764209365,0.002163108122704016,0.03375340005440097,0.0002457887169792722,1.0026338210468253,0.4244219282650374,1.9788017508536453,0.7072800676316093,-0.0012771803,0.58497506,0.9992568,-0.99885416,10,1.0026338210468253,25000,50,500.0,0.0,500,500,0.0019526348023548635,0.0003669607298091215,0.00438288175340257,0.001408822661711379,0.9763174011774318,0.08476444937981875,1.1226922184376695,0.8824962346061738,0.9763174011774318,0.08476444937981875,1.1226922184376695,0.8824962346061738,-0.003023349,0.016959287,0.02495841,-0.059037898,10,0.9763174011774318,0.03479897137731314,64.09186239540577,66.6338666882366,0.027644545771181583,0.011976794339716434,8.758749457076192,139.55889885220677,717.559230026789,4
31000,[4769.7373],0.009390473,0.009266684,-52.200676,47.441147,0.44897833,48.354603,45.471516,47.459393,0.45087937,48.38306,45.49653,47.47588,0.4636769,49.10742,45.35406,-4.7674656,0.2973672,-3.9472847,-5.7798576,0.0033708115,0.03522568,0.13796669,-0.1115389,-0.13032852,0.007882655,-0.10492128,-0.14659995,0.22306665778160095,-17.651020050048828,31000,62,500.0,0.0,500,500,0.0023054248133493175,0.0032025912984465503,0.05722354074822721,0.00021703246922247392,1.152712406674659,0.7223164815954544,3.0358783285405804,0.7050021411927925,0.0008717649,0.5894169,0.997835,-0.9984905,10,1.152712406674659,30000,60,500.0,0.0,500,500,0.0020121903683071596,0.0004477053241163527,0.004916902397249188,0.0014026718296652144,1.0060951841535797,0.08935590416861833,1.1541575461664026,0.8953508791199669,1.0060951841535797,0.08935590416861833,1.1541575461664026,0.8953508791199669,-0.00051741075,0.021299683,0.034583554,-0.083196945,10,1.0060951841535797,0.03169343527406454,64.9299046844244,66.15220818202943,0.027725771069526672,0.01243850588798523,8.553064261563122,139.70703484024853,857.2687467848882,5
36000,[4762.549],0.006122832,0.0062744925,-54.066147,49.30385,0.45829415,50.080265,46.87261,49.311142,0.45900652,50.117687,46.85473,49.289562,0.45884126,50.07034,46.78078,-4.765734,0.31269276,-4.0386686,-6.77727,-0.0022846945,0.040893182,0.13406143,-0.14732501,-0.13058637,0.008212635,-0.10854493,-0.16021669,0.1652655452489853,-21.177165985107422,36000,72,500.0,0.0,500,500,0.0018242979487606476,0.0020329665655766734,0.04261299755827389,0.00021438246331126055,0.9121489743803239,0.33123147405908016,1.8353424106807383,0.7026336123060346,0.0026672084,0.5880572,0.99936354,-0.9970797,10,0.9121489743803239,35000,70,500.0,0.0,500,500,0.002428100293175136,0.0007852005773045162,0.004323977014399677,0.0012915899870152756,1.2140501465875677,0.09795908069709548,1.3467898546306505,1.0434760748653258,1.2140501465875677,0.09795908069709548,1.3467898546306505,1.0434760748653258,-0.0028653096,0.02437467,0.050491348,-0.10843076,10,1.2140501465875677,0.032101210206747055,64.96733596455306,66.47254847828299,0.028056569397449493,0.012180620804429054,8.78661972656846,140.29884256981313,997.5700707482174,6
41000,[4780.555],0.005352473,0.0038722265,-54.655228,49.885452,0.52647215,50.628998,47.16501,49.916714,0.5321386,50.668934,47.108402,49.918858,0.5344108,50.657383,46.981167,-4.772993,0.4030146,-3.6511729,-6.549287,0.0021546034,0.061124243,0.25038952,-0.202296,-0.12428431,0.00961312,-0.08972904,-0.14782983,0.12244127690792084,-24.721210479736328,41000,82,500.0,0.0,500,500,0.002562222145699527,0.0027571264929533894,0.04666953861739499,0.0003690563015198274,1.2811110728497634,0.9133068832857364,3.904162216118713,0.7325923935101635,0.004639501,0.59082806,0.99905986,-0.99968565,10,1.2811110728497634,40000,80,500.0,0.0,500,500,0.0028070499035745037,0.000950523721483668,0.006547263923587673,0.001330660635321045,1.403524951787252,0.18038709285898638,1.883356008277576,1.217009524267283,1.403524951787252,0.18038709285898638,1.883356008277576,1.217009524267283,0.0012261024,0.02935935,0.06817652,-0.14535742,10,1.403524951787252,0.0324369827285409,64.6184839354828,66.71267454139888,0.02793687954545021,0.012235690839588642,8.059705362655222,139.46347339265049,1137.0362481651828,7
46000,[4752.491],0.0049089505,0.0037210654,-54.5272,49.73973,0.40313008,50.398247,48.11828,49.77837,0.40947035,50.476044,48.134693,49.768513,0.40265563,50.42899,48.072662,-4.7869496,0.3767581,-3.6946666,-6.5032687,0.0035535407,0.06853996,0.32994923,-0.25119084,-0.13055143,0.009665964,-0.09951066,-0.16066071,0.0907210111618042,-28.284746170043945,46000,92,500.0,0.0,500,500,0.0024093605314201515,0.0038837448271143815,0.06389961502650518,2.7449920561523183e-05,1.204680265710076,0.7364342291372239,3.1016680777338004,0.6926103362002675,0.0054374468,0.59016573,0.99782795,-0.99847144,10,1.204680265710076,45000,90,500.0,0.0,500,500,0.0033247453661365413,0.0008798738385320778,0.007532952619925476,0.0013216411748215267,1.66237268306827,0.26833164654405933,2.062903330253885,1.1914258025255433,1.66237268306827,0.26833164654405933,2.062903330253885,1.1914258025255433,-0.0039498867,0.033027384,0.067831784,-0.1606932,10,1.66237268306827,0.03180814068764448,64.69121816474944,66.71724041830748,0.02764199487864971,0.01189692784100771,8.842044807039201,140.32185045350343,1277.36055123806,8
51000,[4740.405],0.0024462333,0.002488764,-53.774307,49.036198,0.37513775,49.615597,47.664463,49.053474,0.37282938,49.67373,47.73777,49.048283,0.37595215,49.603806,47.696194,-4.743665,0.40336737,-3.5270476,-6.6922197,0.005138814,0.092160724,0.41138923,-0.35055858,-0.12926103,0.010556265,-0.088576734,-0.1672985,0.067220538854599,-31.701753616333008,51000,102,500.0,0.0,500,500,0.003035503352721595,0.006648472538317263,0.11742640198775639,0.00022666218449715766,1.517751676360797,1.2113974738171163,4.079814598754722,0.701082602007377,0.0019703065,0.59274626,0.99766994,-0.99917734,10,1.517751676360797,50000,100,500.0,0.0,500,500,0.004256026702794001,0.001374964096161483,0.007490350648227981,0.0019056530542705375,2.1280133513969997,0.3309201177655447,2.5711559165172573,1.6111283441835538,2.1280133513969997,0.3309201177655447,2.5711559165172573,1.6111283441835538,-0.008432289,0.040548544,0.09263307,-0.23801301,10,2.1280133513969997,0.03285919036716223,65.02793247345835,67.63258297275752,0.02840359415858984,0.012395478785037994,8.581416093744338,141.315589803271,1418.678625552915,9
