replay_buffer/size,trainer/tdrp Loss,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
6000,[4793.6196],21.970755,22.00878,-4.644122,-0.00033775752,0.0016642241,0.0037869755,-0.0042808014,-0.004431666,0.0013994492,-0.0007753611,-0.007872252,4.6516504,0.57423806,6.712872,3.1430407,-4.648654,0.55659664,-2.944376,-6.3152437,-3.5784597e-05,0.0012223192,0.002979197,-0.0030756644,-0.00054527976,0.0006414068,0.001819077,-0.0021398982,0.9997000694274902,-0.0,6000,12,500.0,0.0,500,500,0.0038377298347380103,0.0071828420786241645,0.0679860981215704,0.0003241201849296437,1.918864917369,1.4013879010525976,4.6338211050363425,0.23682558164201137,0.0014790624,0.6270539,0.99940145,-0.99987,10,1.918864917369,5000,10,500.0,0.0,500,500,0.001626357993446596,0.0010296079129192507,0.009264978041874084,0.0003615971081078806,0.8131789967232977,0.49796253173654986,1.7623199214395164,0.2591271627426158,0.8131789967232977,0.49796253173654986,1.7623199214395164,0.2591271627426158,-0.00015102206,0.0012835867,0.0022616906,-0.0021669285,10,0.8131789967232977,0.04657483194023371,132.58589338790625,139.68556680809706,0.0372924841940403,0.023833301849663258,14.878133076243103,287.25729389023036,325.0828535044566,0
11000,[4795.3726],0.15367961,0.13291214,-21.432388,16.652994,1.0575904,18.228138,13.280029,16.676765,1.0354551,18.164562,13.311272,16.821186,0.8278848,18.856544,14.00371,-4.792381,0.3186458,-3.9961338,-6.456339,-0.004742681,0.0066569517,0.014913736,-0.02230699,-0.1384276,0.005741001,-0.115660444,-0.15662831,0.740550696849823,-3.538435220718384,11000,22,500.0,0.0,500,500,0.004193378165566729,0.007944874039268263,0.06469832073486391,0.00027486847181483747,2.0966890827833735,2.1252028257505966,6.336564515621208,0.15434723136021233,-0.0072337943,0.5844093,0.99880934,-0.9972176,10,2.0966890827833735,10000,20,500.0,0.0,500,500,0.001555009938319882,0.0009550412473454867,0.008439248265611909,0.00030623651330958786,0.7775049691599409,0.46910418358630795,1.7497767456926892,0.153635062266149,0.7775049691599409,0.46910418358630795,1.7497767456926892,0.153635062266149,-0.0050732144,0.006885378,0.007978612,-0.02070806,10,0.7775049691599409,0.05263919476419687,135.9723472269252,139.6158378003165,0.04113049805164337,0.017334294505417347,15.615021047182381,291.31431006174535,616.4038830725476,1
16000,[4787.202],0.028474879,0.026405416,-33.96822,29.213017,0.8919616,30.80967,26.078241,29.203709,0.88486207,30.695303,26.09145,29.193954,0.86376673,30.698677,25.9593,-4.786786,0.2918499,-3.90353,-6.1966524,4.049867e-05,0.011912628,0.02132429,-0.024968289,-0.13097359,0.0067226794,-0.10848831,-0.14911965,0.548617422580719,-7.072708606719971,16000,32,500.0,0.0,500,500,0.0021339258197474054,0.0037826677226201403,0.03648961317580958,0.00027848079594812165,1.0669629098737032,1.0272938472968365,3.6708856635052043,0.19887113942814227,0.0023751447,0.59064853,0.9995766,-0.9996908,10,1.0669629098737032,15000,30,500.0,0.0,500,500,0.0007843441092466299,0.0005359634808724051,0.00577859107101888,0.0002964553294014349,0.3921720546233146,0.23260736391649325,0.8047506008897348,0.1500867448782005,0.3921720546233146,0.23260736391649325,0.8047506008897348,0.1500867448782005,-0.00034747893,0.011740032,0.017581863,-0.018848343,10,0.3921720546233146,0.04584700148552656,135.53774163499475,140.30024810973555,0.04774550814181566,0.013034570030868053,19.533115760423243,295.47773258481175,911.8887319173664,2
21000,[4779.623],0.03222202,0.032445796,-42.368816,37.63731,1.0167598,39.301926,32.58566,37.638733,1.0192426,39.231495,32.527943,37.71663,1.0203277,39.400352,32.61075,-4.7562037,0.28347653,-4.0525594,-5.699226,0.002475621,0.018215666,0.04989648,-0.06503011,-0.12895383,0.008031952,-0.10147072,-0.15050247,0.4064265787601471,-10.581195831298828,21000,42,500.0,0.0,500,500,0.00751960865166785,0.027975265040544317,0.3661911536546646,0.00028736046812345424,3.7598043258339215,5.2494214568285,17.44135447992685,0.1845669029170334,0.0008820416,0.5900562,0.99741226,-0.99653906,10,3.7598043258339215,20000,40,500.0,0.0,500,500,0.001892450804311509,0.0016326072710611719,0.0087993596167952,0.0005042468859386195,0.9462254021557543,0.7185982432553858,2.982201752133312,0.4682882906870203,0.9462254021557543,0.7185982432553858,2.982201752133312,0.4682882906870203,0.0026175505,0.016984131,0.033556737,-0.039036646,10,0.9462254021557543,0.03506013937294483,134.49556857068092,140.27547569945455,0.042648445814847946,0.014196646399796009,21.09114257339388,295.95409207511693,1207.845776262693,3
26000,[4777.7456],0.015549701,0.0139854755,-48.083794,43.331245,0.9872434,45.03113,39.764996,43.31684,0.99409914,45.196655,39.721527,43.277016,0.9780063,45.086845,39.764664,-4.780813,0.30658045,-3.8704674,-5.9629498,-0.0049655074,0.0290966,0.06536965,-0.13663307,-0.13469459,0.010218749,-0.108019784,-0.16307697,0.3011052906513214,-14.136920928955078,26000,52,500.0,0.0,500,500,0.003554402958818021,0.007541946841416697,0.0756357618959172,2.0044346754732878e-05,1.77720147940901,2.058608579308462,7.397324486798662,0.18955706779473372,-0.0039187297,0.5864723,0.99924254,-0.99895656,10,1.77720147940901,25000,50,500.0,0.0,500,500,0.0029194929080596814,0.0031461643111507687,0.012468342063900873,0.00028531463240555327,1.459746454029841,1.4338300649795477,4.653002832147612,0.20806608454208128,1.459746454029841,1.4338300649795477,4.653002832147612,0.20806608454208128,-0.003989679,0.019965345,0.031506088,-0.08754194,10,1.459746454029841,0.044775765389204025,134.0088436147198,142.44860625918955,0.03367072902619839,0.021577216684818268,19.920429915189743,296.4779035001993,1504.3273849189281,4
31000,[4772.5913],0.018446242,0.016679673,-51.535934,46.775642,1.0471016,48.435757,42.880173,46.798943,1.038962,48.442486,42.857845,46.839096,1.0227509,48.79827,42.96999,-4.7734575,0.3124048,-3.8478956,-5.8665423,0.00018937704,0.04688696,0.22633907,-0.2198964,-0.12627186,0.009330037,-0.09704773,-0.15846786,0.22307761013507843,-17.659427642822266,31000,62,500.0,0.0,500,500,0.0063013523367936915,0.010692364125665488,0.0689972285594159,0.0002867155546102395,3.1506761683968527,2.3703009274718227,7.9531500003841975,0.19279272862003938,-0.001228352,0.5909695,0.9978824,-0.99862206,10,3.1506761683968527,30000,60,500.0,0.0,500,500,0.004432349878632282,0.006617935075897186,0.03525964404488757,0.00033219947404872213,2.216174939316141,2.4369697717583256,7.453087427091643,0.21242033236436733,2.216174939316141,2.4369697717583256,7.453087427091643,0.21242033236436733,0.00047370442,0.021560322,0.037323616,-0.09196317,10,2.216174939316141,0.0349029004573822,137.23372015263885,140.80296283215284,0.040936089120805264,0.01712152548134327,20.10259956587106,298.2322430657223,1802.5623969202861,5
36000,[4755.5664],0.010920878,0.010464881,-53.343674,48.61785,0.9019155,50.766785,44.698322,48.576256,0.90528744,50.63483,44.57963,48.588852,0.9111053,50.60957,44.63528,-4.7747025,0.34538707,-3.4222727,-6.7662754,-0.0039592166,0.06471607,0.2516964,-0.37121412,-0.12501824,0.008887302,-0.09722739,-0.16166103,0.1652880162000656,-21.191707611083984,36000,72,500.0,0.0,500,500,0.003295520097156736,0.007155751764030121,0.07703510209606451,0.00027528043039044543,1.6477600485783603,1.9402051940396439,6.397303432923396,0.18353519157250955,0.00124987,0.59007674,0.99932456,-0.99726194,10,1.6477600485783603,35000,70,500.0,0.0,500,500,0.0032610053945157347,0.003929241344945748,0.01281793940577094,0.0002958078913252837,1.630502697257866,1.7750627954506846,4.663304968187873,0.2900710003944959,1.630502697257866,1.7750627954506846,4.663304968187873,0.2900710003944959,-0.0016704891,0.024834966,0.07627728,-0.11795066,10,1.630502697257866,0.05603800620883703,135.60733766667545,142.68648602161556,0.033778922632336617,0.027407298795878887,20.47117681708187,298.88222473300993,2101.44970114436,6
41000,[4766.1953],0.006950729,0.007527156,-53.943687,49.194202,1.0212742,51.12859,45.155327,49.201946,1.0277599,51.121704,45.082924,49.204613,1.0317208,51.217075,45.07608,-4.7658176,0.462834,-3.3594167,-7.2495503,0.009223521,0.085611664,0.37928897,-0.4818504,-0.11589686,0.010692421,-0.08121468,-0.15175179,0.12247474491596222,-24.702930450439453,41000,82,500.0,0.0,500,500,0.0035355255488726867,0.0193482382227651,0.3535856754746247,9.127896979261861e-05,1.7677627744363433,2.0279323958458946,6.697028720359335,0.1965741987723694,0.008784295,0.59341234,0.9990634,-0.99969894,10,1.7677627744363433,40000,80,500.0,0.0,500,500,0.0026033899359220055,0.004289363841619773,0.02313761843810296,0.0002975224436627454,1.3016949679610061,1.3559493454798526,3.958580554843244,0.1545933679032302,1.3016949679610061,1.3559493454798526,3.958580554843244,0.1545933679032302,0.007608974,0.036684733,0.118004985,-0.17466775,10,1.3016949679610061,0.03635196294635534,137.4720035456121,141.5917109567672,0.060423243790864944,0.020855708979070187,20.571774687618017,299.7531201057136,2401.205652555451,7
46000,[4747.064],0.010221923,0.010365294,-53.90531,49.17414,0.9181296,52.44452,44.59913,49.16015,0.9138541,52.369774,44.68021,49.212593,0.9163839,52.435402,44.638386,-4.7645483,0.5010636,-3.231903,-6.771339,-0.0038808605,0.10990866,0.46663022,-0.5164099,-0.12039782,0.012310168,-0.06540644,-0.18226802,0.09076660126447678,-28.225086212158203,46000,92,500.0,0.0,500,500,0.004109499677637382,0.008668466152358941,0.07328780398815819,0.00011953591149349571,2.0547498388187004,2.32806495450951,8.326894373403492,0.3096021925803402,0.0008378136,0.5951911,0.998014,-0.99863553,10,2.0547498388187004,45000,90,500.0,0.0,500,500,0.008129473782390524,0.009555420344544954,0.04875557978351019,0.00035900155209411805,4.064736891195261,3.8627781670869568,10.341065004617338,0.3055619998563306,4.064736891195261,3.8627781670869568,10.341065004617338,0.3055619998563306,-0.008203442,0.032162677,0.13043262,-0.2996916,10,4.064736891195261,0.06583370454609394,136.87943383213133,142.46040716487914,0.03687515761703253,0.021669721230864525,20.1668702038005,299.63108978420496,2700.841502575204,8
51000,[4750.5713],0.007863024,0.0061136,-53.000023,48.368042,1.0453774,52.337086,43.61592,48.31621,1.0580835,52.374786,43.22027,48.33248,1.0564417,52.461517,43.280643,-4.6761703,0.5069745,-3.4055958,-6.0098524,0.0012332218,0.14125872,0.59268045,-0.6661832,-0.11770157,0.013334002,-0.049343757,-0.18598978,0.06728758662939072,-31.507923126220703,51000,102,500.0,0.0,500,500,0.0044872499336792255,0.008573562485944031,0.05727502821131186,2.5044500840376566e-05,2.2436249668396067,1.9855890375965835,6.744040480299308,0.21159845246347256,-0.0010017987,0.5977534,0.9976229,-0.9992263,10,2.2436249668396067,50000,100,500.0,0.0,500,500,0.004113796384438935,0.006814356124449567,0.02560468780803904,0.00030899067614487125,2.0568981922194687,3.27232548987308,11.743963773483559,0.18530430169278425,2.0568981922194687,3.27232548987308,11.743963773483559,0.18530430169278425,-0.005400537,0.035936277,0.21194217,-0.27955332,10,2.0568981922194687,0.04525862168520689,137.59165951050818,141.777648312971,0.04403345659375191,0.015497793443500996,17.09675978962332,296.57085748482496,2997.416592568159,9
