replay_buffer/size,trainer/tdrp Loss,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
6000,[4794.3433],22.08181,22.064045,-4.6387625,-0.008073607,0.0013601452,-0.004353745,-0.011690601,-0.0061836476,0.0013727983,-0.002025033,-0.010282399,4.6554985,0.57691383,6.7104597,3.145688,-4.6470766,0.55941725,-2.930903,-6.3203683,0.00035533556,0.0016851319,0.0038198242,-0.0038249763,0.00026350873,0.00092898123,0.002086074,-0.0025758867,0.9997000694274902,-0.0,6000,12,500.0,0.0,500,500,0.00166762828576617,0.002900728071113641,0.04360267040506245,0.00014761507576364072,0.8338141428830841,0.49074573663064947,1.7378623817084489,0.13299797028171997,0.001720522,0.62730503,0.9994035,-0.9998715,10,0.8338141428830841,5000,10,500.0,0.0,500,500,0.0021535293758980297,0.0015959107580302073,0.011502910644236765,0.0005520820804430726,1.076764687949014,0.7943688827442307,2.7757022171640413,0.3483129750888008,1.076764687949014,0.7943688827442307,2.7757022171640413,0.3483129750888008,0.00028961847,0.0016275997,0.003078664,-0.0031763702,10,1.076764687949014,0.058195426128804684,134.41083918884397,136.47419795393944,0.05478226486593485,0.034076835960149765,14.937487003393471,285.96957867313176,322.1542071700096,0
11000,[4796.538],0.059045404,0.063728765,-22.035326,17.281162,0.54450834,18.35311,15.44421,17.255154,0.5722543,18.391794,15.362959,17.289337,0.5229599,18.996807,15.881752,-4.7944565,0.31789762,-3.9861858,-6.475055,-0.003298089,0.006039861,0.009090286,-0.021471716,-0.13941304,0.005382311,-0.123401396,-0.15364186,0.7405490875244141,-3.5390844345092773,11000,22,500.0,0.0,500,500,0.004052548067988451,0.006968994925827055,0.053834164686981524,0.00027486847181483747,2.026274033994229,2.295811747430445,8.0911763062787,0.18604329392752988,-0.0064136335,0.5839471,0.99877363,-0.9971611,10,2.026274033994229,10000,20,500.0,0.0,500,500,0.0009883883730640898,0.0006777030138905379,0.006394705337733286,0.0002692837978428341,0.49419418653204483,0.3243156780285713,1.2466400900358132,0.13484097040677276,0.49419418653204483,0.3243156780285713,1.2466400900358132,0.13484097040677276,-0.0050578923,0.0061258627,0.0051611243,-0.019864324,10,0.49419418653204483,0.057107262313365936,130.85280966758728,136.83783468604088,0.03355436585843563,0.019210913218557835,14.760226505808532,282.56074340082705,604.719722087495,1
16000,[4790.1396],0.025314227,0.024385752,-34.283417,29.532658,0.81194717,31.186441,26.273376,29.51014,0.7980136,31.199472,26.362755,29.501602,0.7965262,31.168913,26.131111,-4.7863097,0.29193768,-3.9337354,-6.1912146,-0.00015414917,0.011457563,0.022022123,-0.026461849,-0.13026258,0.008284664,-0.107011594,-0.1529482,0.5486156940460205,-7.072460174560547,16000,32,500.0,0.0,500,500,0.0022804360819768527,0.005275322720569218,0.06375693453780021,8.330247630177199e-05,1.140218040988423,1.0537855197990211,3.280746442009934,0.17203687625857877,0.0026076895,0.591573,0.99959886,-0.99971,10,1.140218040988423,15000,30,500.0,0.0,500,500,0.0018551354777893718,0.0008671974818963539,0.00604138142594366,0.000451337703505883,0.9275677388946855,0.40648300615492056,1.7900591068924925,0.3485067633077625,0.9275677388946855,0.40648300615492056,1.7900591068924925,0.3485067633077625,4.5500477e-05,0.009921532,0.019693168,-0.016738178,10,0.9275677388946855,0.057224662974476814,127.49601901974529,132.35258666519076,0.038885876536369324,0.024777350947260857,17.759724385105073,277.7292179604992,882.4540718961507,2
21000,[4779.76],0.02979189,0.026829977,-42.622856,37.892883,1.0590714,39.72306,30.933037,37.905453,1.0503858,39.78737,31.016594,37.94587,1.0415174,39.75511,30.942465,-4.748329,0.28734988,-3.9570951,-5.7145605,0.0011499127,0.020718878,0.0628667,-0.048213623,-0.12810625,0.008180739,-0.10295628,-0.14911334,0.40642666816711426,-10.574106216430664,21000,42,500.0,0.0,500,500,0.0028051169881358204,0.0044909286288837185,0.03905322414003644,0.00029249819080254805,1.4025584940679114,1.3704398067631425,3.437458957015184,0.1845117799922414,0.00021247055,0.590551,0.9973198,-0.9963854,10,1.4025584940679114,20000,40,500.0,0.0,500,500,0.001999784054792245,0.0017961241350608972,0.008136970347099948,0.0003898137822617387,0.9998920273961225,0.8577618171226291,3.4102968014713153,0.2575634409105245,0.9998920273961225,0.8577618171226291,3.4102968014713153,0.2575634409105245,-5.0316266e-06,0.015431319,0.03991714,-0.035855033,10,0.9998920273961225,0.05614377465099096,128.61692517623305,134.43705500196666,0.042460679076611996,0.013531949371099472,15.645353029482067,278.8114696107805,1161.2688077837229,3
26000,[4779.131],0.015209264,0.023701929,-48.48822,43.71241,0.9794685,45.782898,39.44279,43.767117,0.9827535,45.97455,39.40758,43.66752,0.9780705,45.70213,39.10359,-4.771741,0.30882898,-3.8808177,-6.0228558,-0.008989255,0.031951573,0.07316753,-0.10468569,-0.13312514,0.010094473,-0.105411634,-0.16565667,0.3011101186275482,-14.125846862792969,26000,52,500.0,0.0,500,500,0.005030022777419093,0.01070010276142989,0.07195143920681361,5.6807088973409586e-05,2.5150113887095484,3.581342490267092,11.092495230232025,0.183687344039358,-0.0077220784,0.58702856,0.9993156,-0.9990216,10,2.5150113887095484,25000,50,500.0,0.0,500,500,0.0027516265060961876,0.0032462379840511634,0.011249353069667635,0.00028531463240555327,1.3758132530480942,1.570054653709224,4.547830951754449,0.1547515931750088,1.3758132530480942,1.570054653709224,4.547830951754449,0.1547515931750088,-0.011502291,0.02301286,0.038540002,-0.07898971,10,1.3758132530480942,0.05128003749996424,127.87530700024217,136.10228876117617,0.042653351090848446,0.012571890838444233,16.30345743149519,280.3875584723428,1441.660146502778,4
31000,[4777.965],0.016526066,0.017263457,-51.830093,47.08848,0.9561033,49.114544,40.45806,47.078854,0.957288,49.1546,40.387753,47.129807,0.9520463,49.19192,40.35669,-4.769035,0.32278976,-4.0393453,-5.843073,0.00038826422,0.05034423,0.15387341,-0.17614107,-0.12490969,0.0082090795,-0.10028711,-0.14690998,0.22308440506458282,-17.652435302734375,31000,62,500.0,0.0,500,500,0.005306596508507333,0.008730693131987963,0.06580449663077324,0.00031127110716526734,2.6532982542536665,2.4549584842455245,8.127136510916229,0.523963923658009,-0.0004998278,0.5913196,0.9978862,-0.99851483,10,2.6532982542536665,30000,60,500.0,0.0,500,500,0.005343468034906472,0.004041499258876544,0.017313839400380004,0.0002784117254592599,2.6717340174532347,1.797658010477507,7.510061540883824,0.710855483234716,2.6717340174532347,1.797658010477507,7.510061540883824,0.710855483234716,-0.002078738,0.023651777,0.049300045,-0.0988287,10,2.6717340174532347,0.03933317121118307,129.40436365362257,133.21986793074757,0.06313163880258799,0.020772142335772514,16.05773263424635,278.80520117096603,1720.4720859462395,5
36000,[4766.817],0.0101895835,0.011735588,-53.632214,48.88365,0.9226144,50.757385,40.97024,48.885384,0.921244,50.73292,41.081066,48.891,0.91411203,50.68732,41.031937,-4.7685966,0.34397832,-3.9103553,-6.8039064,-0.006077177,0.067391254,0.19352849,-0.290195,-0.12289543,0.010823074,-0.09362019,-0.16548984,0.16529326140880585,-21.180347442626953,36000,72,500.0,0.0,500,500,0.0022913807457778266,0.005195934445858523,0.0532684003942689,0.00030048263195481256,1.1456903728889123,1.4409437032748251,4.748821577027271,0.17534956428142942,0.00161551,0.5917527,0.9994087,-0.9970128,10,1.1456903728889123,35000,70,500.0,0.0,500,500,0.002241988215390437,0.001483747775043574,0.006375523560552654,0.000516715694482639,1.1209941076952183,0.661899931423522,2.8575943902284338,0.5087642465816385,1.1209941076952183,0.661899931423522,2.8575943902284338,0.5087642465816385,-0.0062512583,0.020141715,0.09346701,-0.13238534,10,1.1209941076952183,0.045554512180387974,128.7361073968932,135.1977554410696,0.042518697679042816,0.016981419175863266,16.16845630388707,280.20737377088517,2000.6867730738595,6
41000,[4765.3896],0.007989061,0.009137105,-54.347233,49.597366,0.8720557,51.185833,43.5992,49.583313,0.8723094,51.21279,43.56218,49.618256,0.87630975,51.149548,43.582367,-4.777954,0.4550465,-3.3563824,-6.4067783,0.00732834,0.08668617,0.26740158,-0.375533,-0.11663972,0.011666786,-0.0843895,-0.15580265,0.12248469889163971,-24.727455139160156,41000,82,500.0,0.0,500,500,0.0018712766620068845,0.005538852971510087,0.06867443725751764,0.00022717432963311748,0.935638331003443,1.3952181088233229,5.010642056436404,0.18391648558373866,0.0059464443,0.59437865,0.9989907,-0.9997153,10,0.935638331003443,40000,80,500.0,0.0,500,500,0.007531883185038678,0.005888123916191678,0.03251772152186229,0.0004879275816889406,3.7659415925193387,2.3549151240531496,7.0029031384847205,0.6379970754215235,3.7659415925193387,2.3549151240531496,7.0029031384847205,0.6379970754215235,-0.0034090583,0.026023362,0.10915638,-0.16792957,10,3.7659415925193387,0.03572666458785534,131.66303086839616,133.62410520389676,0.042260258458554745,0.01908364985138178,16.59126763883978,281.9754742840305,2282.6683221152052,7
46000,[4754.2183],0.00860843,0.0061158743,-54.169636,49.428154,0.94965214,52.876156,44.31333,49.450195,0.9463698,52.748367,44.376995,49.48009,0.94554454,52.839893,44.32553,-4.7462416,0.50890195,-3.1124773,-6.238556,-0.0014662228,0.121895425,0.4983661,-0.4439754,-0.12043465,0.012925497,-0.073530585,-0.16394329,0.09078417718410492,-28.178890228271484,46000,92,500.0,0.0,500,500,0.001850592576922501,0.004748163977078964,0.055997583949810775,0.00034733326026790127,0.925296288461249,0.8642850645149245,3.2308834749046325,0.18536467592367284,0.0070318324,0.595504,0.998186,-0.9987126,10,0.925296288461249,45000,90,500.0,0.0,500,500,0.004869009592200278,0.0030604952994484776,0.01161639500585403,0.00045501485856505044,2.4345047961001396,1.3704704785923034,5.107814997728298,0.801791656855087,2.4345047961001396,1.3704704785923034,5.107814997728298,0.801791656855087,-0.004627237,0.029911991,0.12801524,-0.21470168,10,2.4345047961001396,0.04668802209198475,133.8268745150417,133.73283571656793,0.03369496762752533,0.015472113154828548,16.195497946813703,283.8510632812977,2566.522321014665,8
51000,[4754.0425],0.00720091,0.005412517,-53.469795,48.822697,0.7653083,51.737663,46.491264,48.790314,0.76422554,51.698456,46.457756,48.775154,0.7620451,51.674973,46.42953,-4.677952,0.5333436,-2.1893682,-5.924224,0.0023215413,0.16026576,0.5829512,-0.6123159,-0.11834069,0.015055718,-0.057012096,-0.17426828,0.0673115998506546,-31.50855827331543,51000,102,500.0,0.0,500,500,0.0033040000652131752,0.009808073957804107,0.08394114346636436,0.0002921065700291824,1.6520000326065774,3.294003619340837,11.471088689738998,0.19709909603201387,-0.0028641655,0.59842163,0.997768,-0.9992613,10,1.6520000326065774,50000,100,500.0,0.0,500,500,0.0037331587205319677,0.0031149838243847232,0.01366833848370176,0.00033228578666038005,1.866579360265984,1.431133241370622,5.161663828501267,0.257436013332764,1.866579360265984,1.431133241370622,5.161663828501267,0.257436013332764,-0.007983718,0.03866792,0.15593022,-0.28499347,10,1.866579360265984,0.046026439405977726,130.5860256953165,134.8903866764158,0.06403038371354342,0.014963766559958458,16.939282849431038,282.5407158108428,2849.0659232186154,9
56000,[4715.6206],0.0047769756,0.005300578,-52.233803,47.65009,0.7196873,49.97298,45.245987,47.638588,0.7118258,49.982304,45.260155,47.660492,0.7189199,50.0066,45.210667,-4.5938764,0.69918114,-2.0658627,-7.0768957,0.0035712451,0.18937397,0.70363814,-0.739774,-0.11667569,0.019066552,-0.027618747,-0.20169398,0.04992383345961571,-34.746368408203125,56000,112,500.0,0.0,500,500,0.0020871692317142553,0.00820539187655108,0.35260645753062647,0.00014379592450628473,1.0435846158571283,1.246433942764542,3.8643607079299733,0.15948876350420738,0.0005459955,0.598798,0.99994683,-0.99891496,10,1.0435846158571283,55000,110,500.0,0.0,500,500,0.0058121856696226725,0.0030088936422282583,0.010641322512237927,0.0005341250167866018,2.9060928348113357,1.3552319539331028,4.356875808253927,0.8880710254743261,2.9060928348113357,1.3552319539331028,4.356875808253927,0.8880710254743261,0.0017712509,0.04645338,0.24134086,-0.3648538,10,2.9060928348113357,0.0466275867074728,135.82797098346055,139.1182786077261,0.05136902816593647,0.018506822176277637,17.176381524652243,292.2391345528886,3141.3118121027946,10
61000,[4678.327],0.0071823495,0.0055026812,-50.713863,46.231426,0.72656965,48.115124,42.802845,46.213005,0.7238317,48.08593,42.868797,46.172825,0.7275355,48.08969,42.65885,-4.4962425,0.81510586,-1.7660086,-6.696097,0.009460358,0.2347943,0.85894585,-1.026402,-0.121231906,0.019535434,-0.03852611,-0.21235877,0.03704158216714859,-37.88490295410156,61000,122,500.0,0.0,500,500,0.003404573281871678,0.008067832907355311,0.06564441741048303,0.0002834756767492452,1.7022866409358315,1.7773943492365463,5.745108399088893,0.2042582820752783,0.0042886897,0.596791,0.99869037,-0.9995714,10,1.7022866409358315,60000,120,500.0,0.0,500,500,0.01658522466905223,0.013697899362110813,0.05769289163890291,0.0007273426323026633,8.292612334526117,6.548056244781214,26.067338022862295,1.9829286728368452,8.292612334526117,6.548056244781214,26.067338022862295,1.9829286728368452,-0.0035987755,0.060671866,0.265943,-0.39277497,10,8.292612334526117,0.04842818062752485,137.16583979781717,133.70822001248598,0.03882215265184641,0.01824221946299076,16.2919760979712,287.2715284610167,3428.5883270399645,11
66000,[4748.18],0.0031101364,0.0035158813,-49.016647,44.558403,0.7834191,47.378666,42.024334,44.583725,0.77997696,47.38999,42.02506,44.57785,0.7799897,47.33655,42.068104,-4.449209,0.89970595,-0.70279664,-7.0069056,0.008584456,0.27857095,1.0877247,-1.0584161,-0.12000673,0.025636252,-0.019503213,-0.27251327,0.02749781496822834,-41.14102554321289,66000,132,500.0,0.0,500,500,0.0021428325418786564,0.004696671104685586,0.054361682747990185,0.0002760154840939499,1.0714162709393242,0.9827349745712796,3.3844242887893996,0.1990895372726375,0.013473326,0.5998168,0.99902564,-0.9982948,10,1.0714162709393242,65000,130,500.0,0.0,500,500,0.028131641902776585,0.061267883608403496,0.35266910275209623,1.579666810818114e-05,14.065820951388293,15.396232654939142,45.975724505672275,0.8893706030334327,14.065820951388293,15.396232654939142,45.975724505672275,0.8893706030334327,0.0015262779,0.07345471,0.35202798,-0.5025754,10,14.065820951388293,0.04451998323202133,141.01805845741183,132.2329317415133,0.04957750719040632,0.012064450420439243,17.604079270735383,290.9612314105034,3719.55308226496,12
71000,[4780.3887],0.004652187,0.0044885147,-47.292465,42.924774,0.7304519,45.397663,40.95667,42.937096,0.73621035,45.348633,41.012157,42.964184,0.73438144,45.40468,41.010296,-4.361028,0.9498078,-0.75482816,-7.283871,0.03568392,0.32718706,1.4763815,-1.3532884,-0.1329343,0.03639088,-0.009082736,-0.35795242,0.020433643832802773,-44.197532653808594,71000,142,500.0,0.0,500,500,0.0015935816587190686,0.0044422677823012045,0.0514886015549123,0.0002778885110968909,0.7967908293595303,0.6803202885376091,2.1449537449798957,0.16880881252411528,0.017819678,0.5995903,0.99910843,-0.9989351,10,0.7967908293595303,70000,140,500.0,0.0,500,500,0.007547472892585915,0.006581815715051301,0.041528276324027995,0.0003050720020710606,3.7737364462929563,2.5704165479608347,9.185397721951071,0.939668495132554,3.7737364462929563,2.5704165479608347,9.185397721951071,0.939668495132554,0.025297586,0.12730816,0.5146946,-0.67555666,10,3.7737364462929563,0.04353950172662735,131.18318671360612,133.83133707661182,0.03940518572926521,0.016395091079175472,15.857428040355444,280.97129160910845,4000.5283053377643,13
76000,[4710.767],0.008495811,0.0035791984,-45.16051,41.362785,0.68161774,43.718052,39.36341,41.316246,0.68150353,43.673523,39.329895,41.289112,0.67917866,43.698196,39.28405,-3.819657,1.3465893,0.7875252,-7.4666767,0.018414408,0.41253567,1.3709491,-1.6339114,-0.13666432,0.055458978,0.05322949,-0.4914663,0.015193438157439232,-45.29755783081055,76000,152,500.0,0.0,500,500,0.009305207708835854,0.03667730021480577,0.5003319183899116,8.861465482630225e-05,4.652603854417913,5.443270360043803,17.613846739470056,0.2563336398719498,0.009324833,0.6140571,0.9988512,-0.99830353,10,4.652603854417913,75000,150,500.0,0.0,500,500,0.031839057147399,0.09601708867922522,0.500388008734142,0.00030907926257981436,15.919528573699505,43.82856168782425,147.39716671150936,0.49347642698159905,15.919528573699505,43.82856168782425,147.39716671150936,0.49347642698159905,0.032049984,0.19585419,0.83164763,-0.8666703,10,15.919528573699505,0.041185458190739155,131.31686303485185,137.15110255219042,0.04319758340716362,0.02073247078806162,16.700076323002577,285.2731574224308,4285.805328320712,14
81000,[4708.565],0.0022950259,0.002321095,-43.513657,39.51853,0.7462367,41.961674,36.72661,39.523224,0.7524773,42.03708,36.67143,39.531643,0.7544802,41.94958,36.608284,-3.9893508,1.5694165,0.087043405,-9.547499,0.04244798,0.4480849,1.2584468,-1.4621093,-0.13080612,0.058811795,0.07259427,-0.422624,0.011320660822093487,-49.24143600463867,81000,162,500.0,0.0,500,500,0.005009201926568391,0.014068350941204294,0.3531206208905164,2.868627358987297e-08,2.504600963284191,4.04108859418002,14.268495457162615,0.2681225025297235,0.020006016,0.619485,0.9993916,-0.9994599,10,2.504600963284191,80000,160,500.0,0.0,500,500,0.013741361621428364,0.04005684138796792,0.5003131612759256,0.0003089561730990952,6.870680810714167,10.429819420438642,35.55361696699266,1.0117298841443834,6.870680810714167,10.429819420438642,35.55361696699266,1.0117298841443834,0.0018584899,0.22555605,0.86371475,-0.8614123,10,6.870680810714167,0.047152187675237656,134.81274480000138,137.14782670140266,0.04001570213586092,0.016292599961161613,18.77779087331146,290.84182286448777,4576.657476409338,15
86000,[4728.435],0.0030312664,0.0025084934,-41.13522,37.817886,0.7922268,39.94765,35.06153,37.848694,0.7922768,40.039043,35.100986,37.84658,0.7932294,39.97712,35.24067,-3.2995372,1.841606,3.0674217,-7.2985716,0.03919633,0.5472233,1.8304439,-1.669966,-0.14433019,0.075451404,0.064208746,-0.52810967,0.008452387526631355,-49.15986633300781,86000,172,500.0,0.0,500,500,0.003773793291467973,0.01790676979694946,0.5002344708990102,1.54999996355043e-05,1.886896645733988,1.1474344009732702,4.2225803828412465,0.25306285999526484,0.019348072,0.62398696,0.9997383,-0.99950606,10,1.886896645733988,85000,170,500.0,0.0,500,500,0.009095041861859648,0.03863067023185718,0.50029464056937,3.557148544164334e-07,4.547520930929829,2.9201900466422326,10.191752488488211,0.8981195780182343,4.547520930929829,2.9201900466422326,10.191752488488211,0.8981195780182343,0.01006244,0.3350676,0.9561394,-0.9636016,10,4.547520930929829,0.044877699576318264,137.79189490992576,138.60243282280862,0.047965907491743565,0.014975990168750286,16.89878010004759,293.4009274300188,4870.062634513713,16
