replay_buffer/size,trainer/tdrp Loss,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
6000,[4791.78],22.089516,22.024328,-4.6425653,-0.006233894,0.0011089426,-0.0031802356,-0.009093521,0.00074414257,0.0011581123,0.004713854,-0.0030274224,4.6584806,0.57432973,6.733648,3.152793,-4.64882,0.55658925,-2.9580646,-6.317437,-0.00087161484,0.001217134,0.0026177901,-0.0031904574,-0.00071748655,0.0011205361,0.0014859629,-0.003978874,0.9997000694274902,-0.0,6000,12,500.0,0.0,500,500,0.0032800309645940667,0.007994504827780927,0.07509500793384202,3.0533606337757035e-09,1.6400154822970336,1.9849272966443212,5.539115649588955,0.04867712333923982,0.0009591866,0.62701285,0.9993953,-0.99986863,10,1.6400154822970336,5000,10,500.0,0.0,500,500,0.003563393440690117,0.0013646020660482542,0.006408064035011499,0.0015585401413913819,1.7816967203450584,0.6822787925161308,3.1945797378196223,0.8090886988266817,1.7816967203450584,0.6822787925161308,3.1945797378196223,0.8090886988266817,-0.00073815853,0.0011259844,0.0019011152,-0.0023713477,10,1.7816967203450584,0.049338954500854015,99.82487331237644,103.46716873534024,0.04602003190666437,0.02669484168291092,14.536309595219791,217.9504054710269,248.02348916139454,0
11000,[4794.8403],0.071311034,0.06814261,-22.080605,17.306139,0.54434556,18.909666,15.3278055,17.320946,0.5312692,18.993103,15.52985,17.315163,0.4733669,18.703318,15.629278,-4.7908773,0.31309208,-4.042669,-6.4934416,-0.0032553694,0.0059371335,0.010728009,-0.018178958,-0.14051358,0.0061841896,-0.11981341,-0.15795988,0.7405507564544678,-3.537982940673828,11000,22,500.0,0.0,500,500,0.004501820759751594,0.019573722452485412,0.7134737115363903,1.3899027345720683e-09,2.2509103798757972,3.3622811052313843,11.435788630605728,0.12185239471533246,-0.0063418793,0.5839141,0.99880534,-0.9971352,10,2.2509103798757972,10000,20,500.0,0.0,500,500,0.0026263492802875922,0.001196361210844454,0.00602210206868041,0.00038333250817639,1.3131746401437965,0.4559721498137057,2.0945789591114976,0.39639984785503507,1.3131746401437965,0.4559721498137057,2.0945789591114976,0.39639984785503507,-0.00321593,0.006520333,0.0069358908,-0.01730488,10,1.3131746401437965,0.046840877272188663,100.11683729756624,103.09432350937277,0.03969019651412964,0.023160266689956188,14.732677687890828,218.0535298353061,466.0805879468098,1
16000,[4790.414],0.030840335,0.032363184,-34.30956,29.536026,0.96619606,31.404423,22.171886,29.563957,0.942245,31.474968,22.431526,29.517181,0.9067037,31.26759,22.923801,-4.7879066,0.2858718,-4.0006285,-6.1757917,-0.0018373103,0.009882316,0.01790222,-0.027701758,-0.13216476,0.0066780024,-0.11055012,-0.14987478,0.5486173033714294,-7.073383331298828,16000,32,500.0,0.0,500,500,0.0027997089302151234,0.010436041323558111,0.21187006005429604,1.675511455967449e-08,1.3998544651075615,2.29236426586122,7.8734012921851635,0.025812283231022692,0.0014760426,0.59038246,0.9995401,-0.99971646,10,1.3998544651075615,15000,30,500.0,0.0,500,500,0.001579452305130963,0.0011484497500047946,0.0058567779478128495,0.0002221097208488232,0.789726152565482,0.36191419646748973,1.7128295558059414,0.3692621870892131,0.789726152565482,0.36191419646748973,1.7128295558059414,0.3692621870892131,-0.0010859709,0.008744592,0.01417175,-0.016467858,10,0.789726152565482,0.055360717698931694,97.12276408076286,102.47355438768864,0.04133465886116028,0.020376889035105705,17.448649164289236,217.16203989833593,683.2455692170188,2
21000,[4774.863],0.031746298,0.026985807,-42.74498,38.006187,1.0581747,40.228855,32.208576,38.02799,1.0551848,40.11292,32.17568,38.083908,1.0465561,40.23654,32.347115,-4.7515,0.27961707,-4.0647492,-5.7429657,0.0018017153,0.018292455,0.045303058,-0.0418915,-0.13129525,0.008290715,-0.101871386,-0.1534419,0.4064238965511322,-10.577040672302246,21000,42,500.0,0.0,500,500,0.002412294310958763,0.0053295812991913626,0.05415041639117836,9.961739814989823e-08,1.2061471554793812,1.1118301440726635,3.975487103113403,0.025052260817526872,0.0008892699,0.5892777,0.9974588,-0.9963915,10,1.2061471554793812,20000,40,500.0,0.0,500,500,0.0012514644444092367,0.00095414897376731,0.004837176089006051,0.0001006331313874731,0.6257322222046183,0.1743832643752554,0.897912539696492,0.3307869619021258,0.6257322222046183,0.1743832643752554,0.897912539696492,0.3307869619021258,0.0008652394,0.018559644,0.036528222,-0.03346421,10,0.6257322222046183,0.049565584398806095,98.18497826252133,101.37753454968333,0.044689848087728024,0.01551489531993866,15.996341791935265,215.6686249319464,898.9192819446325,3
26000,[4764.7554],0.017883455,0.015634991,-48.58995,43.81653,1.0253762,45.76003,37.951206,43.84613,1.0241148,45.831264,38.05599,43.86792,1.0096415,45.766888,38.126408,-4.786887,0.29724333,-4.007759,-6.1226788,-0.009452679,0.0229718,0.07298002,-0.11534992,-0.13661446,0.008949804,-0.11170189,-0.16835353,0.30110132694244385,-14.144365310668945,26000,52,500.0,0.0,500,500,0.0018084970085302722,0.004854692481694578,0.04866854928680585,2.7998439816601106e-08,0.9042485042651359,1.771788340394506,6.011012945169419,0.03308070589645613,-0.0070448187,0.5856742,0.9992334,-0.99898505,10,0.9042485042651359,25000,50,500.0,0.0,500,500,0.005480811169131239,0.002284522172531592,0.009928982442185708,0.0010372756317946208,2.7404055845656208,0.8294733588828793,4.026736809928776,1.3648032887538009,2.7404055845656208,0.8294733588828793,4.026736809928776,1.3648032887538009,-0.0056874487,0.013056767,0.023175769,-0.03342927,10,2.7404055845656208,0.04453485179692507,97.25529149267823,102.2517549553886,0.0527877788990736,0.018605402670800686,16.278553345240653,215.90152782667428,1114.8237845003605,4
31000,[4767.6123],0.01410282,0.011943104,-51.966198,47.235962,1.0136747,49.077995,39.432182,47.20287,1.0199935,49.0175,39.305042,47.190285,1.0219036,49.07041,39.429836,-4.7703896,0.29638544,-3.8753161,-5.76656,-0.002912089,0.03870998,0.22977829,-0.10034104,-0.12744461,0.007994713,-0.08945617,-0.16461757,0.2230713814496994,-17.655155181884766,31000,62,500.0,0.0,500,500,0.00423044978362535,0.00791022377960079,0.0845156644549447,1.2642208393476295e-06,2.1152248918126744,2.4215881993954023,8.542646259443703,0.19164518540296907,-0.0046473327,0.5902959,0.99761176,-0.99854195,10,2.1152248918126744,30000,60,500.0,0.0,500,500,0.01010521735283048,0.005830389052954802,0.025990714649078525,0.001201791745587169,5.052608676415239,2.024980786252086,8.894907584000155,1.9367279604899426,5.052608676415239,2.024980786252086,8.894907584000155,1.9367279604899426,-0.007350361,0.020082273,0.038502924,-0.054319646,10,5.052608676415239,0.04410924017429352,98.05250527523458,101.81621254701167,0.050981526263058186,0.02028001006692648,16.280054058879614,216.26414265763015,1331.0909187076613,5
36000,[4725.9077],0.009128144,0.008768126,-53.824646,49.066822,0.66374785,51.02132,46.342567,49.06163,0.66695535,51.06368,46.350864,49.044365,0.6741727,51.070606,46.33612,-4.7822437,0.31823155,-4.069964,-6.8940144,-0.00785744,0.047498908,0.23041508,-0.21630913,-0.12536864,0.00957266,-0.09492639,-0.1577793,0.16527694463729858,-21.206069946289062,36000,72,500.0,0.0,500,500,0.004139199622752095,0.008721660074113489,0.07420493889216112,7.643226884734844e-10,2.069599811376048,2.4600963644084564,8.71745210866268,0.04281842860009877,-0.0033450536,0.589519,0.9994193,-0.99700844,10,2.069599811376048,35000,70,500.0,0.0,500,500,0.012441524599878974,0.0084860483524059,0.03921232793805399,0.0005711037786757384,6.220762299939487,3.4433526607531006,14.605505390427615,1.4999733318613921,6.220762299939487,3.4433526607531006,14.605505390427615,1.4999733318613921,-0.0123643,0.021298671,0.040317286,-0.06750004,10,6.220762299939487,0.0434629013761878,99.88797370996326,102.19420618191361,0.03838053718209267,0.02953336574137211,16.197323550470173,218.3908802466467,1549.4852141030133,6
41000,[4756.4253],0.012318996,0.008784715,-54.30371,49.561543,0.82628536,51.004646,44.478966,49.585922,0.82771134,51.051147,44.46643,49.634758,0.8339408,51.16686,44.598545,-4.7515187,0.4635625,-2.5820937,-7.6171885,0.0005308304,0.082524695,0.6360078,-0.26371026,-0.12033282,0.011208036,-0.090147465,-0.20625189,0.1224597692489624,-24.67434310913086,41000,82,500.0,0.0,500,500,0.004149606801073715,0.008035354182966454,0.07517288263946764,4.6215037630137346e-09,2.074803400536857,1.5270048459076233,4.494366600601139,0.2537149259947374,-0.0038361873,0.5925472,0.99886936,-0.999708,10,2.074803400536857,40000,80,500.0,0.0,500,500,0.021262474183839152,0.022197038375532066,0.09883850228905135,0.0007161752133508781,10.631237091919575,8.942107272509839,33.97621597674402,2.3786946505724593,10.631237091919575,8.942107272509839,33.97621597674402,2.3786946505724593,-0.013183196,0.024120638,0.06874791,-0.08762261,10,10.631237091919575,0.04146633669734001,98.3534802114591,102.01630328409374,0.0654357885941863,0.024190586060285568,17.23667022958398,217.73754643648863,1767.2291512517259,7
46000,[4683.1753],0.0063168476,0.0064475024,-54.21936,49.46049,0.6860485,51.23783,45.998154,49.464684,0.68578553,51.106262,46.016464,49.46996,0.69089067,51.046867,46.039505,-4.770251,0.44549263,-3.3204947,-6.3871703,-0.013236163,0.094858035,0.6796849,-0.40683267,-0.1235004,0.010966402,-0.07019352,-0.18965098,0.09074915945529938,-28.241025924682617,46000,92,500.0,0.0,500,500,0.0027642370265878904,0.007256280945291686,0.0692917422558679,3.2557468665483924e-09,1.3821185132939446,1.5256352831469848,4.4543610618010065,0.027932171529679556,-0.008247818,0.5941262,0.99821395,-0.9985451,10,1.3821185132939446,45000,90,500.0,0.0,500,500,0.012252386889389446,0.01208159025866257,0.05383285247995202,6.520617898003733e-05,6.1261934446947235,4.291801602460063,14.98077988586953,1.5197734291148512,6.1261934446947235,4.291801602460063,14.98077988586953,1.5197734291148512,-0.01851909,0.03224908,0.07486293,-0.15850204,10,6.1261934446947235,0.05262039974331856,99.93524719029665,100.9787709414959,0.03767504636198282,0.011996256187558174,16.337637380696833,217.35394721478224,1984.5885327439755,8
51000,[4763.0933],0.007389139,0.0051671625,-53.483368,48.738876,0.74149203,51.13139,44.09481,48.723076,0.73807836,51.05077,44.06187,48.692524,0.74303776,50.999336,44.220577,-4.767206,0.45696115,-3.0838318,-6.2798724,-0.008837128,0.12528425,0.9864482,-0.5562618,-0.11888269,0.014709205,-0.037715107,-0.29048285,0.06726617366075516,-31.757320404052734,51000,102,500.0,0.0,500,500,0.003643683408644037,0.008728005701799133,0.09305755304666105,5.85029802380177e-11,1.8218417043220185,1.7900519534731685,4.777467786202838,0.07096149726865908,-0.016540743,0.59794354,0.9979239,-0.99907434,10,1.8218417043220185,50000,100,500.0,0.0,500,500,0.025405381385581103,0.018064807766961146,0.0756989170031519,0.0013792680326661366,12.702690692790547,7.249501953026299,26.39196117481012,5.5458499989667445,12.702690692790547,7.249501953026299,26.39196117481012,5.5458499989667445,-0.02066181,0.041227944,0.12607299,-0.189909,10,12.702690692790547,0.05142634082585573,104.41840809863061,103.27825447544456,0.0444308714941144,0.014179135672748089,16.249336613342166,224.05603553541005,2208.6482367403805,9
