replay_buffer/size,trainer/tdrp Loss,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
6000,[4791.0684],72.219376,72.28337,-8.000929,-0.0013547997,0.0016003018,0.0037402823,-0.0064011402,-0.005132518,0.0021193286,0.0013050989,-0.011479562,8.466261,0.7202864,10.413342,6.0932117,-8.006192,0.73511356,-6.083276,-9.819128,0.00041091166,0.0011987145,0.0037607835,-0.003149306,-0.00021145698,0.00094351365,0.0026460225,-0.0029323886,0.9997000694274902,-0.0,6000,12,500.0,0.0,500,500,0.43135745173926615,0.08796293373276924,0.6705582651051656,0.18701781528381597,215.67872586963304,24.15985421873657,246.32019501362845,175.14528742787692,-0.0018616616,0.6283505,0.99980986,-0.99971867,10,215.67872586963304,5000,10,500.0,0.0,500,500,0.5082743749712627,0.010128786976371243,0.5234277457110493,0.48600323994580574,254.13718748563124,5.017829641071736,261.18657811497025,244.47504017700675,254.13718748563124,5.017829641071736,261.18657811497025,244.47504017700675,0.0002760067,0.0012767304,0.0026042091,-0.0025641825,10,254.13718748563124,0.03463098406791687,107.93239214736968,110.69361831434071,0.0313413767144084,0.017901980318129063,9.71631112974137,228.42619593255222,258.62162541411817,0
11000,[4789.483],0.09905177,0.100026265,-39.235573,31.041218,0.8298982,32.975613,27.581984,31.040527,0.82720846,32.974056,27.824396,31.04816,0.7653662,32.79669,28.004322,-8.220513,0.36505952,-7.386205,-10.022607,0.0023566573,0.0101730805,0.030736808,-0.014392699,-0.12927116,0.007792799,-0.106236175,-0.15945585,0.7405495643615723,-6.067422389984131,11000,22,500.0,0.0,500,500,0.44129563372711855,0.08675101593585662,0.6800115163470591,0.19441933849941936,220.64781686355929,22.628037734092533,247.36410000954456,173.08585814814498,0.001204132,0.5901811,0.99881935,-0.99894196,10,220.64781686355929,10000,20,500.0,0.0,500,500,0.5552856712891339,0.025669574114627294,0.6043920994490495,0.4968556755563621,277.6428356445669,2.2745942310891745,280.85408614857795,274.68872012404665,277.6428356445669,2.2745942310891745,280.85408614857795,274.68872012404665,0.002562021,0.010811372,0.027854992,-0.00788619,10,277.6428356445669,0.03350947890430689,111.71701908484101,111.29017698485404,0.032031127251684666,0.011625884100794792,9.553210048936307,232.63757260888815,491.261913347058,1
16000,[4780.1777],0.09300113,0.088704616,-62.37817,54.20865,1.3375227,57.84509,50.200138,54.205734,1.3215104,57.608387,50.106533,54.14762,1.3073721,57.849674,50.246227,-8.21722,0.3846833,-7.2434077,-10.035196,0.007840636,0.019450622,0.061967075,-0.03711382,-0.12698908,0.007412612,-0.104578845,-0.14902852,0.5486050844192505,-12.131875038146973,16000,32,500.0,0.0,500,500,0.4601385861365142,0.0743014747324379,0.6882028459623689,0.2665165904737287,230.06929306825705,18.112499470107778,260.6536654345744,198.93774297021173,0.0065473677,0.59183383,0.99920404,-0.99829286,10,230.06929306825705,15000,30,500.0,0.0,500,500,0.5179865434823295,0.01382130594475632,0.5483077159736602,0.487912490357167,258.99327174116473,2.1218294311877695,262.3563022872667,256.27598460906455,258.99327174116473,2.1218294311877695,262.3563022872667,256.27598460906455,0.0066660554,0.019888371,0.04710123,-0.030630682,10,258.99327174116473,0.034235441125929356,111.75830268487334,110.4299140535295,0.030375372618436813,0.012009401805698872,9.550834448076785,231.8156714020297,723.0806695697829,2
21000,[4778.761],0.08001613,0.07309218,-79.08648,70.941826,1.6043532,75.91565,66.79019,70.93421,1.5809654,75.55894,66.85321,70.893936,1.5958725,75.45295,66.8963,-8.182057,0.49660355,-7.132777,-11.011673,0.010342651,0.03628325,0.11217039,-0.07598011,-0.13151515,0.0090189865,-0.100819185,-0.16140428,0.4064357876777649,-18.164447784423828,21000,42,500.0,0.0,500,500,0.462047894435641,0.08618005517886053,0.6798342196258302,0.17943719310513312,231.02394721782048,20.367825379075644,266.5431218037846,199.24424590008476,0.0075396094,0.59131527,0.99815613,-0.99882644,10,231.02394721782048,20000,40,500.0,0.0,500,500,0.6192586081535217,0.058265553759431814,0.7270149148923558,0.4487302438949421,309.62930407676083,8.779099190345494,319.76101344938627,294.6544860354194,309.62930407676083,8.779099190345494,319.76101344938627,294.6544860354194,-0.0010705382,0.031289488,0.061946843,-0.070626885,10,309.62930407676083,0.03348137065768242,112.00411965418607,110.39311282802373,0.033459111116826534,0.011893857270479202,9.541340439580381,232.01740726083517,955.1005570152774,3
26000,[4756.0547],0.07568254,0.076838985,-90.88971,82.70687,1.7956966,87.32535,78.17769,82.72928,1.7794597,87.092896,78.287094,82.5815,1.7560416,86.7558,77.65465,-8.206913,0.5333608,-6.601125,-11.00034,0.010106938,0.07042166,0.28451297,-0.18954813,-0.1324907,0.009136354,-0.10252996,-0.18305762,0.3011459410190582,-24.24547576904297,26000,52,500.0,0.0,500,500,0.5013401692536816,0.08548516094485689,0.6917691873815016,0.16420478762138824,250.6700846268408,25.029989597882146,277.0481412453832,195.57477457196126,0.0070535503,0.5915859,0.9991359,-0.9994149,10,250.6700846268408,25000,50,500.0,0.0,500,500,0.5123853897128587,0.07110658844347995,0.6369358644168592,0.33654752523991843,256.1926948564294,22.404466671064434,289.4832377110181,211.70197945981974,256.1926948564294,22.404466671064434,289.4832377110181,211.70197945981974,0.0002420781,0.05747009,0.14349136,-0.15179282,10,256.1926948564294,0.034220634028315544,113.76406692806631,110.44892424158752,0.030475884675979614,0.011158233508467674,8.930289477109909,233.2191353989765,1188.3222565697506,4
31000,[4757.625],0.11107738,0.08396745,-98.277725,90.12019,2.186057,94.90305,84.82646,90.17955,2.1756978,94.94653,85.11306,90.256546,2.1914706,95.044716,85.228775,-8.160603,0.5996945,-6.502818,-11.042866,-0.0042075478,0.10012931,0.31645882,-0.36290872,-0.12769698,0.009883536,-0.095671065,-0.16267234,0.22319748997688293,-30.22878646850586,31000,62,500.0,0.0,500,500,0.47930532424724254,0.10318373787674615,0.7333385713362928,0.17279453037469686,239.6526621236213,31.308345652575433,285.7538458350766,165.804018679515,-0.0014523725,0.5913783,0.9993835,-0.9998843,10,239.6526621236213,30000,60,500.0,0.0,500,500,0.4444733816049062,0.07950702045915463,0.6189403334990051,0.24718109938209537,222.23669080245304,20.991727120312785,256.22774552952933,198.62719865705347,222.23669080245304,20.991727120312785,256.22774552952933,198.62719865705347,-0.0075232484,0.07769944,0.18349592,-0.23635514,10,222.23669080245304,0.03362858481705189,115.85617959778756,110.5813229419291,0.0312228761613369,0.011741193011403084,9.484524625353515,235.99861981905997,1424.323284478858,5
36000,[4763.5234],0.09462373,0.081416965,-103.72319,95.788055,2.5302804,103.6266,89.75765,95.75456,2.5147653,103.77326,89.88297,95.67043,2.5129542,103.6118,89.88592,-7.9716043,0.7329889,-5.4788303,-10.314665,-0.0042139823,0.16346787,0.54739803,-0.5972183,-0.13467185,0.015663194,-0.09501435,-0.21716696,0.16551107168197632,-35.91730880737305,36000,72,500.0,0.0,500,500,0.47991181380478226,0.07480678037995116,0.7110088781190105,0.27868315517214487,239.95590690239118,13.99568708437404,270.79333256949235,221.47900015708137,0.007625193,0.59241515,0.9988142,-0.9987823,10,239.95590690239118,35000,70,500.0,0.0,500,500,0.5221870353390453,0.11599778310261728,0.6934865229502645,0.19177311883603948,261.0935176695226,27.881207970069276,291.53157760403394,203.68545724601253,261.0935176695226,27.881207970069276,291.53157760403394,203.68545724601253,0.0007926379,0.12027481,0.5051248,-0.4319407,10,261.0935176695226,0.033374289982020855,111.46362127736211,110.47327751480043,0.03157186508178711,0.01103272009640932,9.780941815115511,231.79381948243827,1656.1201858911663,6
41000,[4716.4146],0.119256504,0.11534754,-106.03201,98.204926,3.054734,109.37198,86.93141,98.21245,3.060908,109.52702,87.04755,98.30472,3.0856469,109.05461,87.520584,-7.8278522,1.005947,-4.5638423,-10.622152,0.00040775942,0.22500451,0.64843845,-0.9235057,-0.1292879,0.020439392,-0.07619594,-0.25024986,0.1228465586900711,-41.569515228271484,41000,82,500.0,0.0,500,500,0.46579076147993626,0.0883397932018661,0.684932175811657,0.2051345229420022,232.89538073996815,24.62242447640191,280.3956954332745,201.40244406746265,0.011557252,0.59777826,0.9989686,-0.99933344,10,232.89538073996815,40000,80,500.0,0.0,500,500,0.47347917345974894,0.14417443390106668,0.7113561042006781,0.0860372504188382,236.73958672987447,47.12957862973976,307.0162734335233,166.5534351326144,236.73958672987447,47.12957862973976,307.0162734335233,166.5534351326144,0.004931892,0.15237886,0.54710877,-0.66287184,10,236.73958672987447,0.0337942810729146,112.07729691732675,111.54985754750669,0.030676472932100296,0.011631319299340248,9.357445346191525,233.06070188432932,1889.1834071381018,7
46000,[4735.1694],0.12878986,0.1196836,-108.275276,100.749374,3.598932,113.624374,90.825386,100.70749,3.6039698,113.59514,90.852776,100.70102,3.6289742,113.3763,90.30609,-7.5300946,1.194567,-4.1804705,-10.678433,0.011886195,0.28146428,1.0760609,-1.0019423,-0.13349223,0.028644582,-0.06445338,-0.27759296,0.09128685295581818,-46.744354248046875,46000,92,500.0,0.0,500,500,0.43917338628749475,0.0919845090659698,0.690378204288295,0.15765273891164866,219.58669314374728,22.02807368877415,254.791647937538,190.20897887801524,0.017694185,0.6000829,0.99927163,-0.99963194,10,219.58669314374728,45000,90,500.0,0.0,500,500,0.4346706060583377,0.14526684064367576,0.9669159414284079,0.10190487916237437,217.33530302916878,28.446974346413487,259.33799788364786,174.3090456242257,217.33530302916878,28.446974346413487,259.33799788364786,174.3090456242257,0.007432644,0.21635526,0.8526441,-0.83880544,10,217.33530302916878,0.03421211615204811,109.22925217170268,110.7988717444241,0.03125340677797794,0.010680756531655788,9.28870802745223,229.3929782230407,2118.5789049426094,8
51000,[4724.264],0.13013546,0.12914987,-108.19847,101.29854,3.3560977,113.87377,94.57807,101.25775,3.3685622,114.018166,94.26736,101.29094,3.3617737,114.60995,94.39387,-6.840016,1.7560865,-0.72922754,-11.27317,0.0064930134,0.39439994,1.1882896,-1.3506196,-0.14400369,0.045241788,-0.057600163,-0.38225287,0.06796859949827194,-50.649818420410156,51000,102,500.0,0.0,500,500,0.444024210869343,0.07944963091939657,0.6748049787208626,0.20627342569884594,222.0121054346715,12.421387043530501,242.07850069346907,205.33546045315907,0.01344283,0.6090212,0.9990757,-0.99894446,10,222.0121054346715,50000,100,500.0,0.0,500,500,0.37894197404990193,0.10707507126823121,0.6811207245399032,0.11469347946570874,189.47098702495097,14.238890011583486,209.8806648451879,168.24670464551963,189.47098702495097,14.238890011583486,209.8806648451879,168.24670464551963,0.015603302,0.26910374,0.8346216,-0.84361446,10,189.47098702495097,0.033884516917169094,111.08265075646341,110.73232534062117,0.030430124141275883,0.011906834319233894,9.168040471151471,231.05923804361373,2349.640618064441,9
