replay_buffer/size,trainer/tdrp Loss,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
6000,[4793.001],15.886522,15.919659,-4.0057793,0.0054623657,0.0012495168,0.008622142,0.0015613656,0.0012285912,0.0012848306,0.0043908563,-0.0022211284,3.9168763,0.76640856,5.172988,-0.28161082,-4.004467,0.5357821,-2.070929,-5.4154415,3.0197489e-05,0.0012534236,0.0028958789,-0.002463735,-0.0005396845,0.0012141849,0.0020303451,-0.0030778612,0.9997000694274902,-0.0,6000,87,66.66666666666667,78.0789913413902,500,7,0.013060766516737203,0.08577802406554014,3.9591215046717516,-0.63475632399203,0.8707177677824802,1.7248379811825707,7.0405321530591936,-3.5758093666764728,0.00065957924,0.6275114,0.9993945,-0.9993517,75,0.8707177677824802,5000,10,500.0,0.0,500,500,0.01753998477552452,0.0052431031560434965,0.029805591837534586,0.009589399321703662,8.769992387762265,2.598991697117165,13.871380898731237,5.253226741808495,8.769992387762265,2.598991697117165,13.871380898731237,5.253226741808495,8.7239554e-05,0.0011905574,0.0015997869,-0.001848162,10,8.769992387762265,0.04662827495485544,103.60302805621177,107.35261077806354,0.03758769854903221,0.023618637584149837,13.830323252826929,224.89379669819027,255.5789242889732,0
11000,[4779.493],1.8711154,1.8128259,-18.667778,14.597756,0.9956696,16.529385,11.097393,14.583437,1.0097952,16.63615,10.754708,14.498647,1.7647682,16.057772,-0.28161082,-4.1099277,0.34405032,-3.2934084,-6.0345106,-0.0052394657,0.06064904,0.11812059,-0.089655355,-0.14446877,0.010638529,-0.11627227,-0.17258908,0.740586519241333,-3.033108949661255,11000,170,60.24096385542169,56.09857725607059,242,3,0.010955078722135992,0.041184530075501484,0.06088325334108419,-0.36506383444766405,0.6599445013334934,1.0134803373679377,5.439833605505528,-0.15792676553196308,-0.008169752,0.58275145,0.99875677,-0.9973337,83,0.6599445013334934,9985,47,134.72972972972974,40.263086607588804,219,84,0.010634961000853184,0.02637994246529097,0.04426029685629533,-0.28161081385525205,1.4328454213311654,0.58471925675079,2.9711350323038523,0.42646599560219994,1.4328454213311654,0.58471925675079,2.9711350323038523,0.42646599560219994,-0.009249281,0.06265561,0.106537364,-0.08171692,37,1.4328454213311654,0.042717838659882545,105.2914036726579,107.87965994421393,0.04456156026571989,0.014079220592975616,14.001689312048256,227.27411154843867,482.8612582581118,1
16000,[4760.6763],4.4509897,4.191122,-27.81061,23.891321,2.650137,29.666374,15.84649,23.871086,2.6532733,29.673138,15.102796,23.74811,3.4781485,28.755909,-0.28161082,-4.0240355,0.5042291,-2.4359474,-5.1856003,0.030251062,0.1384972,0.38337743,-0.5467113,-0.113175325,0.0145599535,-0.07437972,-0.15367566,0.5490395426750183,-6.007265090942383,16000,229,84.7457627118644,83.23737614275294,450,7,0.010554378673458948,0.03405342084585273,0.0588156829162305,-0.31165514661585936,0.8944388706321144,1.1223677628646769,5.193331111183556,-0.8657327600884239,0.029777195,0.59786046,0.9996787,-0.9996422,59,0.8944388706321144,14985,81,147.05882352941177,68.11579292406968,351,71,0.0063460496402183925,0.02489148609316083,0.04278219376596681,-0.28161081385525205,0.9332425941497635,0.43761358311027615,1.945243667470385,0.3253794733087106,0.9332425941497635,0.43761358311027615,1.945243667470385,0.3253794733087106,0.05053467,0.09677125,0.2612771,-0.23523933,34,0.9332425941497635,0.04788049776107073,104.71988610364497,109.52388631831855,0.03844647016376257,0.017168431542813778,18.4907131716609,232.83798099309206,715.7053712513298,2
21000,[4768.0103],6.256253,5.690052,-32.716408,29.1828,4.84794,36.967857,8.911631,29.135445,4.9162683,37.169685,6.598427,29.040714,5.5821266,36.13692,-0.28161082,-3.3692887,1.257111,0.35095668,-7.9615526,0.12527484,0.40304363,1.5543697,-1.580092,-0.110337965,0.06620214,0.09911448,-0.5055867,0.40896886587142944,-8.374523162841797,21000,287,86.20689655172414,48.072774795881145,224,14,0.008482572046233395,0.033131674540865755,0.06028454375735292,-0.28161081385525205,0.7312562108821891,0.7410987808677136,3.6276054956162986,-0.1693171146916762,0.054174826,0.62085974,0.99956244,-0.9979512,58,0.7312562108821891,19899,133,94.5,2.089350285467857,98,90,0.0031385200018072476,0.030302836728705356,0.04055853069306122,-0.28161081385525205,0.29659014017078483,0.18646921998515978,0.6418891669529123,-0.11091789183404066,0.29659014017078483,0.18646921998515978,0.6418891669529123,-0.11091789183404066,0.05370287,0.31556436,0.8281975,-0.7307464,52,0.29659014017078483,0.05248445272445679,108.26318669784814,110.59735714364797,0.04893277771770954,0.030902079306542873,18.412635115906596,237.40549826715142,953.1150965178385,3
26000,[4773.362],4.223682,3.7819312,-35.324177,31.995098,6.3519144,42.091984,8.391896,31.882494,6.4791155,41.84479,9.519067,32.05149,6.71518,41.14192,-0.28161082,-3.0361748,1.5775163,1.8445276,-8.372688,0.14970641,0.50412565,1.5582714,-1.8105516,-0.09363093,0.09964342,0.21271849,-0.6485096,0.30639827251434326,-10.686046600341797,26000,317,166.66666666666666,84.52941631303403,430,30,0.0045987303622289045,0.02343226919277833,0.050612047418270766,-0.28161081385525205,0.7664550603714844,0.455911317540315,1.9662363586222933,0.18895968576134126,0.03862488,0.6310386,0.9998495,-0.99971163,30,0.7664550603714844,24773,163,162.46666666666667,30.531659342758005,207,126,0.001960101032155126,0.023207047218174553,0.04048538738342524,-0.28161081385525205,0.31845108102413616,0.23514431916022704,0.8287563044766966,-0.07825058071449903,0.31845108102413616,0.23514431916022704,0.8287563044766966,-0.07825058071449903,0.03910601,0.23257825,0.9059502,-0.43886605,30,0.31845108102413616,0.03633731137961149,107.85828912165016,110.18219873402268,0.04097600560635328,0.02140993159264326,17.973302317783237,236.11251342203468,1189.2335214577615,4
31000,[4755.087],3.8140643,4.0515637,-38.851044,35.944824,7.8217406,48.32706,-1.1680958,35.919197,7.810747,48.254715,-0.29198903,35.651184,8.180934,47.75105,-0.28161082,-2.239002,1.9779453,2.6092813,-7.196304,0.15070103,0.66356677,2.1185527,-1.9916836,-0.107378565,0.12832223,0.25658536,-0.7589942,0.23160721361637115,-12.04903793334961,31000,368,98.03921568627452,26.02333853302569,174,56,0.011705704280812903,0.03212175000552482,0.06472214492761796,-0.28161081385525205,1.147618066746363,0.6975899022391993,3.0410691850550085,0.20404214860141623,0.09242899,0.6477468,0.9994124,-0.9996146,51,1.147618066746363,29731,227,77.46875,2.068882171004429,82,74,0.009241782609457305,0.03521579116037087,0.0599678024310013,-0.28161081385525205,0.7159493465263954,0.31450156209192887,1.3136271478462302,0.06821532882336412,0.7159493465263954,0.31450156209192887,1.3136271478462302,0.06821532882336412,0.16312373,0.39192948,0.91415715,-0.8425621,64,0.7159493465263954,0.04422047175467014,109.50242882594466,107.08997133374214,0.046977330930531025,0.01433633454144001,19.72848687041551,236.42642116732895,1425.6627966435626,5
36000,[4726.436],13.280284,13.517279,-40.423943,38.320747,9.304092,52.36151,-0.9825706,38.29567,9.311314,52.071777,-0.11904408,38.370476,10.258297,51.79237,-0.42728338,-1.0587308,2.2041152,5.156463,-6.505622,0.061751857,0.8819911,2.1806905,-2.5181417,-0.15008597,0.15603058,0.3927675,-0.74192446,0.1769980639219284,-12.22116756439209,36000,378,500.0,0.0,500,500,0.014629084818024751,0.0121383364563161,0.06805480833022727,-0.186321085720313,7.314542409012373,3.7342922541386994,13.723167846879297,0.9939156461040718,0.01899141,0.66948116,0.9994815,-0.99985796,10,7.314542409012373,34731,237,500.0,0.0,500,500,0.02223590467318817,0.008611295634669428,0.050950090331328,0.005985609368182332,11.117952336594083,3.6320207723064137,17.077426937603388,5.47428918773479,11.117952336594083,3.6320207723064137,17.077426937603388,5.47428918773479,0.0475388,0.519301,0.9262605,-0.9279666,10,11.117952336594083,0.0455003222450614,110.34310726635158,112.60803979635239,0.03546152915805578,0.013644663617014885,19.67726667225361,242.7230202499777,1668.3888826984912,6
41000,[4686.1787],6.6359315,6.2079377,-42.15974,40.66003,9.474585,57.196205,-8.7626095,40.97239,9.328375,56.660625,-2.4421759,41.16046,9.835491,54.73806,-4.224157,-0.24849644,2.8479664,8.254292,-8.434416,0.018890815,1.0029802,3.0120387,-2.3787456,-0.17632876,0.18300654,0.30717093,-0.7621786,0.13678812980651855,-12.42863655090332,41000,390,416.6666666666667,103.64549623060758,500,223,0.005882884212247119,0.01159867810914426,0.05150122505990986,-0.28161081385525205,2.4512017551029675,1.3197609713131593,5.822411672224274,0.8485822660298115,0.0033465857,0.65236616,0.99959797,-0.9997818,12,2.4512017551029675,39731,247,500.0,0.0,500,500,0.006352701470689478,0.005261103060397634,0.04098546584699251,0.0026276595704632206,3.1763507353447387,0.5171541906320488,4.087585925038839,2.514990172537818,3.1763507353447387,0.5171541906320488,4.087585925038839,2.514990172537818,-0.0053866426,0.10365398,0.9573852,-0.9517743,10,3.1763507353447387,0.04021401796489954,108.59076581615955,111.48221462685615,0.05825304612517357,0.01849418319761753,18.728691565804183,238.91863325610757,1907.31087338645,7
46000,[4527.9263],6.2179546,5.750037,-43.036663,42.511574,10.162991,61.069576,-0.91681045,42.45352,10.304295,61.53581,-0.48345685,42.655296,10.398769,61.38817,-0.75342876,0.5528393,2.8950863,8.223108,-7.4648933,0.12319834,1.0758375,2.4820995,-2.5806231,-0.24006073,0.17109153,0.2549963,-0.8218025,0.10610207915306091,-12.21852970123291,46000,408,277.77777777777777,108.88605438487599,500,16,0.0010834025676471684,0.016678669361124845,0.03412778660311144,-0.28161081385525205,0.30094515767976915,0.1611680643900719,0.6305555279286386,0.10060339926284062,0.026993884,0.6522411,0.9999027,-0.9996615,18,0.30094515767976915,44342,258,419.1818181818182,171.44244630981623,500,54,0.0012460057149676791,0.007257480724119244,0.04062356333844877,-0.28161081385525205,0.5223029410650881,0.23826221820715093,0.8886882276787331,0.19863988426430246,0.5223029410650881,0.23826221820715093,0.8886882276787331,0.19863988426430246,0.031542618,0.30832335,0.9912404,-0.99204284,11,0.5223029410650881,0.04608315322548151,110.03644921258092,112.26837432850152,0.06472407467663288,0.03129094745963812,19.571104013361037,242.01802572980523,2149.3362985104322,8
51000,[4701.439],4.3874636,4.8937736,-45.25933,45.427284,8.172881,58.556942,12.405561,45.65876,8.148298,58.433937,12.288356,45.502556,8.53152,58.444824,-0.28161082,1.4237361,3.5795522,13.663838,-6.5962377,0.07329309,1.193865,3.0698838,-3.5427828,-0.30114135,0.17969808,0.20740421,-0.958061,0.08227138221263885,-11.429161071777344,51000,418,500.0,0.0,500,500,0.0020038316204236965,0.004840707335581443,0.04242128389362206,4.0526034119048323e-05,1.0019158102118486,0.4375310014165551,2.265206426263396,0.6036735745642019,-0.0038424304,0.6297224,0.9998912,-0.9997745,10,1.0019158102118486,49342,268,500.0,0.0,500,500,0.001173075698311355,0.0034891516565920717,0.04383712798900164,0.0002008667193330553,0.5865378491556775,0.13508252261319822,0.8567226165254828,0.437440539208391,0.5865378491556775,0.13508252261319822,0.8567226165254828,0.437440539208391,0.0061668945,0.15492047,0.9689641,-0.94912404,10,0.5865378491556775,0.0362978121265769,108.55417847260833,111.2025419101119,0.04343554563820362,0.01803324557840824,19.23525940068066,239.08974638674408,2388.432281361893,9
