replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
6000,22.08412,22.06292,-4.6392117,-0.007826992,0.0012451577,-0.004048667,-0.0106219435,-0.0055483268,0.0011853144,-0.0022189287,-0.009250085,4.656193,0.5754049,6.7170157,3.1632426,-4.6472187,0.5584517,-2.9549212,-6.319537,-0.00081660785,0.0011226411,0.0018364723,-0.0032298807,-0.00010226863,0.0010883228,0.002095906,-0.002665229,0.9997000694274902,-0.0,6000,12,500.0,0.0,500,500,0.004717332769745886,0.009324295710440297,0.20347775500620155,0.0002815053072325703,2.3586663848729414,2.262533019091131,7.462255632006613,0.6987510948068915,0.0010094517,0.6271912,0.99939686,-0.9998688,10,2.3586663848729414,5000,10,500.0,0.0,500,500,0.006667281209524637,0.0025121687181544313,0.014142663479308032,0.0024010459190402815,3.333640604762318,0.57585223211669,4.4299481887157075,2.7539292334287957,3.333640604762318,0.57585223211669,4.4299481887157075,2.7539292334287957,-0.0008046384,0.0012671094,0.0012475754,-0.0025636256,10,3.333640604762318,0.02950543211773038,64.96627995488234,67.51621066499501,0.024852148024365306,0.015045821201056242,10.437422825954854,142.98931684717536,162.75588966789655,0
11000,0.055883937,0.056506913,-22.324724,17.548197,0.22926936,18.104527,16.651503,17.542955,0.22621778,18.073383,16.670992,17.49114,0.30885014,18.782875,16.617245,-4.791067,0.3168506,-4.0126934,-6.582835,-0.0017476467,0.0065714596,0.0105110835,-0.020096555,-0.14203921,0.005186409,-0.119512714,-0.1578953,0.7405499219894409,-3.5380537509918213,11000,22,500.0,0.0,500,500,0.0019482812154594257,0.0017801810528215605,0.018590473784501897,0.0003936404378564543,0.9741406077297128,0.35668974103357776,1.8392663552796724,0.7041807339401877,-0.0051956987,0.58303946,0.9987476,-0.997164,10,0.9741406077297128,10000,20,500.0,0.0,500,500,0.00464659654768205,0.0010900379853917431,0.007379934038177183,0.001898687240870836,2.323298273841025,0.39723645272942143,3.0995430429929347,1.7594132239085591,2.323298273841025,0.39723645272942143,3.0995430429929347,1.7594132239085591,-0.001959859,0.0062170993,0.007896499,-0.0162947,10,2.323298273841025,0.029422027058899403,61.51048348820768,69.09913884988055,0.024908804101869464,0.06419608485884964,10.779544137883931,141.50769339199178,304.2663988287095,1
16000,0.027596407,0.028920518,-34.499916,29.73013,0.4493902,30.450918,27.98441,29.745312,0.44117874,30.486328,28.083252,29.68336,0.44080746,30.755209,28.143414,-4.782378,0.29016483,-3.8979442,-6.211491,0.00039113048,0.007554657,0.023867065,-0.021873929,-0.13213433,0.0071200226,-0.11061808,-0.15482791,0.5486161112785339,-7.070091247558594,16000,32,500.0,0.0,500,500,0.00341594657186716,0.006727121953927037,0.07386949648382392,0.0003171376221982621,1.7079732859335794,2.6305814568450683,9.587559031043723,0.711044283882881,0.0027488254,0.5902941,0.99955404,-0.9997011,10,1.7079732859335794,15000,30,500.0,0.0,500,500,0.004186481711053932,0.001247621788499546,0.007554943296642412,0.0020245091884307813,2.0932408555269655,0.5816376984906176,3.6630893435533634,1.5801158630836623,2.0932408555269655,0.5816376984906176,3.6630893435533634,1.5801158630836623,-0.00134015,0.0051175966,0.007330548,-0.011377949,10,2.0932408555269655,0.029736355878412724,61.42813126696274,67.71158832288347,0.025151564041152596,0.0654603810980916,10.317344682989642,139.5774125738535,443.84648813470267,2
21000,0.03229093,0.027798656,-43.008465,38.262474,0.47487554,38.978485,36.29999,38.291264,0.46701616,39.022755,36.381844,38.35903,0.48420864,39.37324,36.42136,-4.751404,0.27674317,-4.076044,-5.7887363,0.0023941153,0.020703055,0.056414515,-0.04701188,-0.13512382,0.007230688,-0.11325025,-0.1591874,0.4064244329929352,-10.576937675476074,21000,42,500.0,0.0,500,500,0.004757063087456657,0.012459795046874313,0.17967933559891422,0.0002200898242206501,2.378531543728329,3.1452511869146162,9.944427495277404,0.7120706857435026,0.0011137463,0.5882095,0.99735326,-0.9962866,10,2.378531543728329,20000,40,500.0,0.0,500,500,0.003892232795574184,0.0009534994577323768,0.006373048869494935,0.0020184929439353598,1.946116397787091,0.3223681937480559,2.45123407964395,1.6159852617020842,1.946116397787091,0.3223681937480559,2.45123407964395,1.6159852617020842,0.002271621,0.017621541,0.0368553,-0.033370692,10,1.946116397787091,0.029363947920501232,61.67111282306723,68.60161377908662,0.02510142489336431,0.06972822500392795,10.589356793090701,140.98627699306235,584.835440485971,3
26000,0.011123657,0.011349819,-48.781662,44.013824,0.43394792,44.789406,42.14707,44.033115,0.42716706,44.81361,42.228016,44.040962,0.4261885,44.88587,42.182747,-4.7722244,0.29488286,-4.031553,-5.913886,-0.002818544,0.021403247,0.049535103,-0.10078039,-0.13881211,0.007955994,-0.12073104,-0.16575095,0.3011040687561035,-14.126664161682129,26000,52,500.0,0.0,500,500,0.0021859794974066447,0.002201453545543631,0.03401131636959839,1.036584190144737e-05,1.0929897487033222,0.595915319670972,2.6909329039725876,0.710196391731704,-0.0025072736,0.58509254,0.9992558,-0.99887836,10,1.0929897487033222,25000,50,500.0,0.0,500,500,0.0022210598729855663,0.0004147862234829094,0.0045586812627969875,0.001613198146532612,1.110529936492783,0.11101511626988068,1.2923503175248734,0.9869074018832855,1.110529936492783,0.11101511626988068,1.2923503175248734,0.9869074018832855,-0.0039177327,0.017950928,0.031787124,-0.07344466,10,1.110529936492783,0.029485088074579835,62.11790837603621,68.04845639504492,0.025198454968631268,0.08094191108830273,12.966207747114822,143.26819797232747,728.1063057312276,4
31000,0.007735752,0.008170544,-52.238293,47.49321,0.4391495,48.18301,45.22902,47.478714,0.4372614,48.139557,45.231518,47.48294,0.44877675,48.20636,45.04711,-4.7730656,0.29573068,-3.9803982,-5.753205,0.00049461925,0.036583863,0.11891086,-0.14972702,-0.13055542,0.007897862,-0.11063939,-0.15160331,0.22306931018829346,-17.659278869628906,31000,62,500.0,0.0,500,500,0.0028234658633603696,0.003706692226675547,0.048539521373073706,0.00025196597812787854,1.4117329316801845,1.0705954864766707,4.078376750830698,0.7150184437468546,-0.00023393544,0.58938867,0.9978223,-0.99846107,10,1.4117329316801845,30000,60,500.0,0.0,500,500,0.002349803674830404,0.0005384576317924526,0.005370506828683893,0.0014520567204819668,1.1749018374152016,0.13648287716068816,1.3995542274528772,1.0071120310473567,1.1749018374152016,0.13648287716068816,1.3995542274528772,1.0071120310473567,0.0016615869,0.028344456,0.05325009,-0.1021774,10,1.1749018374152016,0.029265790013596416,61.6021761239972,68.14023815793917,0.02549490798264742,0.07487343810498714,10.987604156835005,140.8596525748726,868.9686922344845,5
36000,0.0059860907,0.0073182946,-54.09069,49.31979,0.39326596,50.028008,47.49652,49.343895,0.39329872,50.155853,47.488102,49.320374,0.3998485,50.06536,47.517864,-4.770629,0.31120515,-4.1271477,-6.780326,-0.0053855875,0.043682534,0.11984834,-0.17838149,-0.13195916,0.008511313,-0.11065325,-0.16120367,0.1652662456035614,-21.18592643737793,36000,72,500.0,0.0,500,500,0.0016540623373660654,0.0010291697042691867,0.018120523173831952,0.00041882422764888367,0.8270311686830327,0.14900268451013612,1.0940668308002381,0.7074327376805075,0.0010008976,0.58760583,0.9994253,-0.9970423,10,0.8270311686830327,35000,70,500.0,0.0,500,500,0.009956822205373356,0.010871818576907603,0.052781339210283794,0.001394009060457767,4.978411102686679,0.9482547359494847,6.392696983392207,3.527856291446857,4.978411102686679,0.9482547359494847,6.392696983392207,3.527856291446857,-0.0026151924,0.033194393,0.06779602,-0.14408047,10,4.978411102686679,0.029627954820171,63.11636770400219,69.22684193379246,0.02515690214931965,0.06454861396923661,10.607752311974764,143.07029542070813,1012.0417603831738,6
41000,0.0053128833,0.0053901905,-54.65923,49.905952,0.4810298,50.722805,47.87161,49.895687,0.47809276,50.665436,47.828686,49.93457,0.47689548,50.74095,47.95389,-4.770811,0.3948534,-3.7078667,-6.589385,0.001157832,0.05835082,0.22103134,-0.21153302,-0.12558831,0.009481838,-0.09303934,-0.15289119,0.12244008481502533,-24.71674346923828,41000,82,500.0,0.0,500,500,0.0026675305473886236,0.0029228938890374164,0.027125741875817073,0.0004157475396828671,1.3337652736943117,0.831772282747399,3.3182907891954057,0.7421657808733231,0.0043574767,0.5907434,0.99910027,-0.9996972,10,1.3337652736943117,40000,80,500.0,0.0,500,500,0.005449300889791668,0.0028505194811391035,0.014208547836248243,0.0015255626080510909,2.7246504448958335,0.5867557418817875,4.243969104417533,2.1555962760966887,2.7246504448958335,0.5867557418817875,4.243969104417533,2.1555962760966887,0.0013451935,0.035164025,0.071097106,-0.16839887,10,2.7246504448958335,0.029988778987899423,62.33099704096094,68.21318976790644,0.025331102078780532,0.0835002448875457,10.986789753194898,141.6697966880165,1153.7144472843502,7
46000,0.0027925367,0.0032897675,-54.542313,49.74877,0.43743,50.393204,47.842655,49.75128,0.43761536,50.386623,47.818386,49.741974,0.43738237,50.37196,47.882725,-4.801,0.3748831,-3.7992988,-6.469539,0.00031321475,0.063105136,0.28762594,-0.18794595,-0.12999459,0.008497655,-0.09610695,-0.1598256,0.09071764349937439,-28.31890106201172,46000,92,500.0,0.0,500,500,0.0022955774322800286,0.0035840603440793635,0.07135041081651422,0.00024845964706102984,1.1477887161400142,0.5543930715211237,2.3356213935160515,0.6939397664106984,0.003790451,0.5904287,0.9984761,-0.9984554,10,1.1477887161400142,45000,90,500.0,0.0,500,500,0.005885264801441813,0.002264258310089531,0.012210305648779354,0.0016828266713589674,2.9426324007209077,0.6363814030155457,4.085692794360363,1.8689370299414898,2.9426324007209077,0.6363814030155457,4.085692794360363,1.8689370299414898,-0.0042245514,0.038293786,0.08377197,-0.16352749,10,2.9426324007209077,0.02979735704138875,62.58022354985587,69.50559151289053,0.025499119190499187,0.06882076617330313,10.433466838207096,142.6433991433587,1296.3606067348737,8
51000,0.002904133,0.0034000347,-53.775845,49.04557,0.3820119,50.037224,47.40352,49.03483,0.37814328,50.03677,47.37933,49.069168,0.38387358,50.06678,47.328503,-4.7465305,0.39186388,-3.3374557,-6.4863663,0.0030125848,0.08663535,0.4377201,-0.23496944,-0.12775917,0.009363244,-0.07626733,-0.15429538,0.06721938401460648,-31.709688186645508,51000,102,500.0,0.0,500,500,0.0033505590917521557,0.005788977782204689,0.1053907646461162,0.0002041860724964203,1.6752795458760776,1.251000895996935,4.503290199430182,0.7429514858361278,0.00087413855,0.5937098,0.99778014,-0.9991597,10,1.6752795458760776,50000,100,500.0,0.0,500,500,0.015955911764426595,0.010200780003908384,0.040677101708114546,0.0022309358381165127,7.9779558822132985,1.9478038619182179,10.464554475884839,5.335505208431128,7.9779558822132985,1.9478038619182179,10.464554475884839,5.335505208431128,-0.009502828,0.042963877,0.1014866,-0.1895264,10,7.9779558822132985,0.029714884934946895,61.88911416078918,70.07262458698824,0.025284114992246032,0.06949401600286365,10.807433125795797,142.89366488950327,1439.2570084517356,9
