replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
6000,22.072401,22.053886,-4.63896,-0.008078726,0.0012730021,-0.004414626,-0.011851488,-0.006106682,0.0013298942,-0.0021741213,-0.010257503,4.6546426,0.5756215,6.7113976,3.1515095,-4.647234,0.55849934,-2.9507008,-6.31839,-0.0007897635,0.0011528103,0.0020057976,-0.00358972,-0.000107062886,0.0009841588,0.0021302653,-0.002505192,0.9997000694274902,-0.0,6000,12,500.0,0.0,500,500,0.0026870070178636705,0.00495202917789283,0.04516605666063327,0.0002484057477794898,1.343503508931835,1.3905673371411236,5.370427772959544,0.3054858855004415,0.001023284,0.62719125,0.9993981,-0.9998703,10,1.343503508931835,5000,10,500.0,0.0,500,500,0.0013885455031912562,0.001217092401062725,0.011480773511777965,0.00026820265814506687,0.6942727515956277,0.5696746679177953,1.9171809357716598,0.21092272514629976,0.6942727515956277,0.5696746679177953,1.9171809357716598,0.21092272514629976,-0.0008936118,0.001171563,0.0014944064,-0.0024175635,10,0.6942727515956277,0.029833995969966054,88.50390481390059,93.72994121978991,0.024522777181118727,0.015577065059915185,12.757591236848384,195.06137110874988,221.80734853073955,0
11000,0.06347638,0.06703547,-21.95708,17.193909,0.5732497,18.139793,15.146271,17.179739,0.5939488,18.202606,15.1022625,17.21782,0.5283492,18.81675,15.585893,-4.7941236,0.31922013,-3.957953,-6.4993143,-0.004129412,0.0062041027,0.012017309,-0.022980493,-0.13862921,0.004996645,-0.12226902,-0.15324049,0.74055016040802,-3.5389676094055176,11000,22,500.0,0.0,500,500,0.004150343634065711,0.007659969774761372,0.06806346303001594,0.00027486847181483747,2.075171817032851,1.841256896962773,6.121863312458697,0.22275408200176103,-0.006882521,0.58426714,0.9988094,-0.99722767,10,2.075171817032851,10000,20,500.0,0.0,500,500,0.0008679307787190115,0.0005898878350454243,0.006390702818877648,0.0002692837978428341,0.43396538935950535,0.2660365525870376,1.0427006525197078,0.13484148924424236,0.43396538935950535,0.2660365525870376,1.0427006525197078,0.13484148924424236,-0.0039496142,0.005175528,0.0051290295,-0.019479679,10,0.43396538935950535,0.03022382385097444,87.2882643151097,94.0737356741447,0.025038406951352954,0.08509773202240467,10.383848143042997,191.88620809512213,413.69623891683295,1
16000,0.027778678,0.02478687,-34.20018,29.450867,0.78951263,31.185213,26.492802,29.432579,0.7822407,31.130413,26.502544,29.401817,0.7669797,31.057184,26.391382,-4.785922,0.29284313,-3.9068131,-6.220724,-0.00055965077,0.010984071,0.02467047,-0.02328283,-0.13056688,0.007618052,-0.110143036,-0.15218504,0.5486167669296265,-7.072203636169434,16000,32,500.0,0.0,500,500,0.003402192361624806,0.0077721839821170546,0.0777546752163465,0.0002648712535016528,1.7010961808124059,1.8797893570254787,6.613031229067954,0.17162908996183734,0.0023750593,0.59090096,0.99959826,-0.9997229,10,1.7010961808124059,15000,30,500.0,0.0,500,500,0.0025304568392890054,0.0014737003097938367,0.006883257978120717,0.0004497376994453517,1.2652284196445025,0.5610201119926314,2.2796016646747557,0.5174719594854661,1.2652284196445025,0.5610201119926314,2.2796016646747557,0.5174719594854661,-0.00056768896,0.009096882,0.01690481,-0.015852658,10,1.2652284196445025,0.03001733194105327,85.74503776198253,93.27119950507767,0.025067701004445553,0.06495751277543604,11.49204682186246,190.6283266346436,604.3272296166979,2
21000,0.031461127,0.028281674,-42.530487,37.7977,0.94053286,39.85695,34.56179,37.81079,0.9375506,39.8531,34.627678,37.86936,0.9208193,39.755047,34.780376,-4.7515936,0.28877917,-4.054364,-5.6884127,0.0007852054,0.020159787,0.05972308,-0.056031693,-0.12770496,0.007850553,-0.10552089,-0.15038724,0.4064275026321411,-10.577021598815918,21000,42,500.0,0.0,500,500,0.005018276807436586,0.014871043985385959,0.35324933717277,7.945592274101186e-05,2.5091384037182967,2.9293342308108636,8.239517823368026,0.18935140178652715,-0.00017004597,0.5904276,0.99734735,-0.99639094,10,2.5091384037182967,20000,40,500.0,0.0,500,500,0.0025527773502270444,0.0024049124747747646,0.011742835121216866,0.0003864446735092231,1.2763886751135225,1.0992121506120154,4.392946482369846,0.2873612387672826,1.2763886751135225,1.0992121506120154,4.392946482369846,0.2873612387672826,6.529495e-06,0.014763561,0.03523301,-0.03271475,10,1.2763886751135225,0.030020867008715868,86.50487166293897,94.29465411603451,0.024794180877506733,0.06811222084797919,10.490009405883029,191.4124624535907,795.7423899022397,3
26000,0.016025245,0.014635181,-48.410812,43.661507,0.8936024,45.420204,40.9884,43.642975,0.8994893,45.427197,40.821033,43.615273,0.8918057,45.477383,40.985294,-4.7772703,0.311503,-3.855671,-6.003416,-0.008341574,0.032977164,0.065676495,-0.1321508,-0.13267931,0.01113962,-0.10553741,-0.17421511,0.30111029744148254,-14.132473945617676,26000,52,500.0,0.0,500,500,0.0027398211726863252,0.007220278843110863,0.07603118281175064,0.0002462861821536543,1.369910586343166,1.4989912538047727,4.810224921191417,0.18322433078316622,-0.0070808325,0.5873885,0.9993324,-0.999036,10,1.369910586343166,25000,50,500.0,0.0,500,500,0.003927297017428344,0.004105763071073174,0.014409443646272847,0.0002860766306142737,1.9636485087141715,1.9523735208316266,5.947585845111815,0.30748509011846276,1.9636485087141715,1.9523735208316266,5.947585845111815,0.30748509011846276,-0.009129398,0.02184799,0.03639097,-0.08548871,10,1.9636485087141715,0.029981998959556222,86.99897214211524,95.64298075507395,0.02507628290913999,0.08623754302971065,13.89540052996017,196.67864925204776,992.4238497782499,4
31000,0.013145439,0.011973219,-51.792603,47.04593,0.8325176,48.82176,44.461216,47.061413,0.8318295,48.8539,44.452766,47.070683,0.8250289,48.807972,44.591827,-4.758134,0.3274911,-3.9589543,-5.814726,-0.0009669261,0.050912503,0.2077683,-0.23192978,-0.12563534,0.009614487,-0.09507767,-0.15960248,0.22308549284934998,-17.636028289794922,31000,62,500.0,0.0,500,500,0.004778152163367599,0.008195813773358925,0.06946488470256454,0.00031127110716526734,2.3890760816837986,2.108756527025058,6.866919349478978,0.3094861038421505,-0.0016114133,0.5911083,0.997772,-0.9985529,10,2.3890760816837986,30000,60,500.0,0.0,500,500,0.007313738221560554,0.005041277807395677,0.02315568846500682,0.00028393859697954936,3.656869110780277,1.9222671915483356,7.78710260515625,1.0480876713381255,3.656869110780277,1.9222671915483356,7.78710260515625,1.0480876713381255,-0.0017182608,0.02598575,0.054068696,-0.10879814,10,3.656869110780277,0.029986274195834994,85.83682542201132,93.9452204881236,0.025579921901226044,0.06359928497113287,13.665808432968333,193.56701982417144,1185.993553263368,5
36000,0.008264888,0.0093955975,-53.50339,48.763004,0.82311374,50.577145,45.41564,48.748344,0.8189387,50.50573,45.367718,48.76574,0.8111936,50.53275,45.362896,-4.7650027,0.35144362,-3.8017247,-6.774635,-0.008802792,0.06943535,0.25869918,-0.33881614,-0.12236149,0.010961558,-0.088369966,-0.1651589,0.16529805958271027,-21.173538208007812,36000,72,500.0,0.0,500,500,0.003661601074956663,0.005633190356841718,0.04176154272237438,0.0003004826319549236,1.830800537478331,1.681500769746839,4.835812280415814,0.18243504020436824,-0.0005079149,0.591619,0.9994716,-0.99713355,10,1.830800537478331,35000,70,500.0,0.0,500,500,0.0071089303743763705,0.004411893776775307,0.018684457473051762,0.000559939053476366,3.5544651871881854,1.9723112892975847,7.762259524724011,1.2161214011687662,3.5544651871881854,1.9723112892975847,7.762259524724011,1.2161214011687662,-0.0065395785,0.026068814,0.09519516,-0.2042011,10,3.5544651871881854,0.030208746204152703,87.76046169712208,94.75098590389825,0.025004899129271507,0.06388591695576906,10.711971323937178,193.3425184872467,1379.3387928267475,6
41000,0.006638226,0.007469351,-54.265118,49.509182,0.79412526,51.21745,46.641834,49.533794,0.7901689,51.245014,46.67511,49.521126,0.7899395,51.172085,46.53047,-4.7640514,0.46292695,-3.3692942,-6.5174026,0.0063984804,0.089741066,0.27578837,-0.42711872,-0.115632534,0.012320937,-0.072535805,-0.15615448,0.12248756736516953,-24.69799041748047,41000,82,500.0,0.0,500,500,0.002319167405876711,0.005359606427552832,0.05203986903540352,0.00023083216316330808,1.159583702938356,1.3533757728399856,4.052231134832958,0.1600562656051166,0.0052183145,0.5941823,0.9990382,-0.999693,10,1.159583702938356,40000,80,500.0,0.0,500,500,0.010164308213640666,0.006933358871345433,0.03471916908882713,0.000527726603655454,5.082154106820331,2.5918753069678675,9.704731757121861,1.1293977191564004,5.082154106820331,2.5918753069678675,9.704731757121861,1.1293977191564004,0.001779139,0.031939678,0.10484269,-0.2591262,10,5.082154106820331,0.03034621919505298,86.25361479306594,93.9038325061556,0.025554829044267535,0.06800483097322285,10.43478869786486,190.71614187629893,1570.05767488922,7
46000,0.0056144716,0.0059657656,-54.17247,49.431957,0.85271645,53.163773,46.765575,49.452713,0.8508655,53.201813,46.79554,49.425827,0.85421216,53.09415,46.63962,-4.746433,0.5006793,-3.100241,-6.4609323,-0.00024303631,0.11292332,0.62351704,-0.46765405,-0.12077905,0.012076205,-0.08133634,-0.16321385,0.09078199416399002,-28.17963409423828,46000,92,500.0,0.0,500,500,0.0038587033344966272,0.00783557199220559,0.06231716813685646,0.00034733326026790127,1.9293516672483129,1.826451503962179,5.173257053977671,0.2007798073494672,0.0072591333,0.59559864,0.9982233,-0.99862903,10,1.9293516672483129,45000,90,500.0,0.0,500,500,0.008923675596510885,0.008575530489052805,0.03305738006625708,0.00048756824047435643,4.461837798255442,3.761313330635237,12.762861765646358,0.9382506006216099,4.461837798255442,3.761313330635237,12.762861765646358,0.9382506006216099,0.0015024798,0.035857957,0.13062435,-0.29230338,10,4.461837798255442,0.030203022994101048,88.43193186586723,93.77698567300104,0.02516291500069201,0.08430646499618888,13.668007898842916,196.01659784070216,1766.077082783915,8
51000,0.0056979833,0.005446422,-53.413162,48.74527,0.7814072,51.863327,46.50419,48.735893,0.7809174,51.85603,46.560703,48.703255,0.7870895,51.816612,46.507195,-4.683902,0.526036,-2.402525,-6.1305566,0.0057810103,0.1522131,0.8591551,-0.7152906,-0.118122466,0.015043478,-0.07377017,-0.19565985,0.06730123609304428,-31.526412963867188,51000,102,500.0,0.0,500,500,0.0032893594619281055,0.006835701410566095,0.057204005444682494,0.0002766045540439243,1.6446797309640502,1.8908250880938917,6.1713884907871455,0.1989700129977686,0.0022364764,0.5978473,0.9979473,-0.99909794,10,1.6446797309640502,50000,100,500.0,0.0,500,500,0.007644708753124337,0.006089498270885337,0.024872850842962403,0.0003322869175911069,3.822354376562168,1.9604141463923255,7.296059567739508,0.8098662581802896,3.822354376562168,1.9604141463923255,7.296059567739508,0.8098662581802896,0.0037426313,0.04075484,0.16378915,-0.37590468,10,3.822354376562168,0.03010197007097304,89.41401039785706,95.0648933770135,0.025546483928337693,0.06713545904494822,13.777939817868173,198.379627505783,1964.459494739771,9
