replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
6000,22.090857,22.025352,-4.6414423,-0.006318325,0.0012551361,-0.0034275744,-0.00979423,0.0007049558,0.0010949583,0.0040589003,-0.0022002792,4.6581516,0.5775603,6.722782,3.1410084,-4.6477695,0.5596411,-2.9454536,-6.325044,-0.0004763722,0.0019018617,0.0031229598,-0.0041254656,0.0004451726,0.0012830518,0.0028655233,-0.0026779636,0.9997000694274902,-0.0,6000,12,500.0,0.0,500,500,0.0038193740465424907,0.007871110776905934,0.08217176448435029,1.1948991518462293e-09,1.9096870232712455,1.414464955920854,4.064704022340142,0.04879051225245436,0.0012053574,0.6273471,0.999405,-0.99987143,10,1.9096870232712455,5000,10,500.0,0.0,500,500,0.003577363639191445,0.001367507615989162,0.006463086103683485,0.001558625179843398,1.7886818195957221,0.6821444640509268,3.2156266860868965,0.8056201725832455,1.7886818195957221,0.6821444640509268,3.2156266860868965,0.8056201725832455,-0.0005884988,0.0019410924,0.002378246,-0.0035758913,10,1.7886818195957221,0.03114689700305462,67.33884341293015,67.34541931189597,0.024854827905073762,0.016087844036519527,9.298984661931172,144.05533695570193,169.64616344682872,0
11000,0.06548971,0.063712165,-22.064259,17.287891,0.5444827,18.273014,14.455765,17.297104,0.53681666,18.362446,14.5575905,17.301693,0.48460364,18.625402,14.940209,-4.7919703,0.3149146,-3.9801018,-6.4769754,-0.0028304416,0.0054209074,0.012994199,-0.016577015,-0.14009444,0.0062351846,-0.11796184,-0.16070372,0.7405493259429932,-3.538334369659424,11000,22,500.0,0.0,500,500,0.004906061898052544,0.010935135496610696,0.09460631176927198,1.4907043491274585e-07,2.4530309490262723,2.5688308109777074,7.472837776457538,0.20251498463562306,-0.005973869,0.5842189,0.9988076,-0.9971405,10,2.4530309490262723,10000,20,500.0,0.0,500,500,0.00246087785337116,0.001145602322380128,0.006007894493641169,0.0003955678247312827,1.2304389266855795,0.41793052541181414,2.0038491607544673,0.3890947226193364,1.2304389266855795,0.41793052541181414,2.0038491607544673,0.3890947226193364,-0.0031758978,0.004699917,0.005702642,-0.013146837,10,1.2304389266855795,0.03132176911458373,64.8378144390881,68.52205808809958,0.024932058062404394,0.06708732107654214,9.910578244831413,143.39379192027263,313.04263118701056,1
16000,0.02925284,0.03126768,-34.441048,29.669754,0.69319063,31.043102,27.279272,29.688383,0.6857426,31.075497,27.490517,29.638233,0.6736189,30.976439,27.339012,-4.786145,0.28830186,-3.987761,-6.228751,-0.0010943128,0.008528609,0.024258232,-0.019045018,-0.13197419,0.006719214,-0.11134432,-0.14984524,0.5486159324645996,-7.0723557472229,16000,32,500.0,0.0,500,500,0.002599411519624203,0.008223169465385427,0.0777652403493169,2.216677859323557e-08,1.2997057598121018,2.0851173735975403,7.262885114709986,0.029308656091083504,0.0018351205,0.5901403,0.9995587,-0.99970007,10,1.2997057598121018,15000,30,500.0,0.0,500,500,0.002036436829473159,0.0011990539799128462,0.005900153121221774,0.0005691770435724136,1.0182184147365798,0.4717596385341966,2.1952516349229407,0.45395478706236464,1.0182184147365798,0.4717596385341966,2.1952516349229407,0.45395478706236464,-0.0004530551,0.00684201,0.017899254,-0.012265375,10,1.0182184147365798,0.03138119098730385,66.65499286004342,71.98300847108476,0.025452467147260904,0.06251403503119946,10.383274367079139,149.14062339137308,462.1860343820881,2
21000,0.02788737,0.026510384,-42.899773,38.1748,0.68790627,40.098095,36.134953,38.168655,0.6884781,39.925285,36.17241,38.220604,0.6690375,39.81573,36.226215,-4.7489862,0.27674863,-4.05931,-5.686121,0.0010083939,0.019829167,0.062032938,-0.044094946,-0.1317201,0.007523753,-0.11235046,-0.15264773,0.4064229130744934,-10.574806213378906,21000,42,500.0,0.0,500,500,0.0027946952575466227,0.005741014991683684,0.08256503808694161,2.466305298876037e-08,1.3973476287733109,1.5540997194868742,4.41240529354614,0.007392954098304955,0.0005863161,0.58933544,0.9973313,-0.9963849,10,1.3973476287733109,20000,40,500.0,0.0,500,500,0.002200151231520151,0.0010159953165487935,0.0049321484379619,0.00044771998930660806,1.1000756157600755,0.2678305498981283,1.500651389027404,0.6859114314069833,1.1000756157600755,0.2678305498981283,1.500651389027404,0.6859114314069833,-0.0002940738,0.01797249,0.031971574,-0.03558904,10,1.1000756157600755,0.03130159294232726,67.16314117796719,72.56337213586085,0.025570824975147843,0.09928052104078233,10.079627128085122,149.96229338087142,612.1510036024265,3
26000,0.018573714,0.017466921,-48.724487,43.95822,0.6880491,45.928303,41.016853,43.964207,0.68472373,45.93243,41.0547,44.031555,0.68261844,45.81188,41.542454,-4.7866817,0.30360442,-3.9838831,-6.180049,-0.007829589,0.028064616,0.09913079,-0.13669108,-0.13654369,0.009412561,-0.11590805,-0.17482409,0.3011021316051483,-14.144085884094238,26000,52,500.0,0.0,500,500,0.0032948430101792914,0.009837315047416102,0.11413918089127176,1.830577245343079e-09,1.6474215050896457,2.506049680467407,7.708641331120999,0.025161889504129384,-0.0053817215,0.58585423,0.9992855,-0.99896926,10,1.6474215050896457,25000,50,500.0,0.0,500,500,0.024783820082451533,0.015882932099724387,0.05723067678545217,0.0010508293883548375,12.391910041225767,3.6748171607657767,18.42335145828636,8.590028613814635,12.391910041225767,3.6748171607657767,18.42335145828636,8.590028613814635,-0.0059827273,0.019418318,0.043313146,-0.051230308,10,12.391910041225767,0.031283698976039886,66.96819896111265,72.94375461200252,0.025726186810061336,0.06374785979278386,10.249782239086926,150.28249355778098,762.4361885860562,4
31000,0.011423639,0.01180956,-52.125977,47.365494,0.7601125,49.499767,44.573963,47.4096,0.7583081,49.58333,44.56872,47.37101,0.76259655,49.57351,44.298393,-4.759237,0.30375108,-3.8105564,-5.922557,-0.0008809947,0.04138467,0.14970368,-0.11122129,-0.12726164,0.0086185485,-0.10087243,-0.1545209,0.22307367622852325,-17.638307571411133,31000,62,500.0,0.0,500,500,0.0034662677199040035,0.00740762457112073,0.07935537803795412,1.9285663968582334e-08,1.733133859952003,1.782424341642665,5.047786696946343,0.22214792800157634,-0.0013422782,0.59033763,0.9976807,-0.99852484,10,1.733133859952003,30000,60,500.0,0.0,500,500,0.02139352939476448,0.013733315705892457,0.050063243773423735,0.0012270181138349379,10.696764697382239,4.964433742268835,18.125139775967963,4.162853527665945,10.696764697382239,4.964433742268835,18.125139775967963,4.162853527665945,-0.0028868685,0.02725916,0.04664676,-0.09582677,10,10.696764697382239,0.03149986616335809,66.59434335399419,71.92813583300449,0.025542580988258123,0.07803057110868394,11.507318428019062,150.16487063327804,912.6037342052441,5
36000,0.008327984,0.010667404,-53.945023,49.17261,0.67963207,50.814865,46.696167,49.219975,0.68407863,50.900723,46.90164,49.169376,0.68377006,50.856403,46.817345,-4.775096,0.3464391,-3.9140038,-7.0011177,-0.0072485167,0.061340064,0.20672697,-0.26401547,-0.12769054,0.009917887,-0.08749142,-0.16070157,0.16528083384037018,-21.192928314208984,36000,72,500.0,0.0,500,500,0.00482448066692326,0.009538217040770795,0.08052853299931384,8.096049247674486e-09,2.412240333461629,3.2488434726236144,10.40800743572795,0.06776798286480021,-0.00012588457,0.5886597,0.99950737,-0.9970273,10,2.412240333461629,35000,70,500.0,0.0,500,500,0.02401220929169641,0.017692951670280694,0.07409406253562265,0.0009356464345237903,12.006104645848202,7.2555567370653895,26.581812375518908,3.3804602718768573,12.006104645848202,7.2555567370653895,26.581812375518908,3.3804602718768573,-0.0062681427,0.028257761,0.06832126,-0.15955582,10,12.006104645848202,0.03152104397304356,67.55458282586187,72.28149235690944,0.02546634105965495,0.0952317020855844,10.606468319892883,150.59476258978248,1063.201196684502,6
41000,0.0075605097,0.006249466,-54.538136,49.83201,0.64993924,51.43006,47.98951,49.78547,0.65303695,51.45833,47.908558,49.78174,0.6538753,51.489403,47.895676,-4.7509394,0.42639217,-3.7934957,-6.475708,-0.0009521278,0.07543672,0.30929434,-0.30543226,-0.12019354,0.010953103,-0.08456725,-0.17057827,0.12246698141098022,-24.672435760498047,41000,82,500.0,0.0,500,500,0.00662783552791323,0.012593356902933697,0.0814124451541298,2.9033476955930837e-08,3.313917763956615,3.2606871772355785,10.36944138916003,0.13458069812163515,0.00061375473,0.5926498,0.9990012,-0.9997036,10,3.313917763956615,40000,80,500.0,0.0,500,500,0.02609828737423138,0.015920208273588365,0.06508707629860971,0.0013355755377818107,13.049143687115691,5.786086741753014,23.328824531319135,5.545424827855707,13.049143687115691,5.786086741753014,23.328824531319135,5.545424827855707,-0.008953745,0.030049982,0.08496101,-0.16855842,10,13.049143687115691,0.03137703100219369,66.81263608206064,71.8195029180497,0.02559300302527845,0.06389678386040032,10.822727191960439,149.57573300995864,1212.7796252304688,7
46000,0.005684088,0.0058547156,-54.38827,49.622856,0.658165,51.08521,47.37934,49.60983,0.6459188,51.01458,47.34532,49.619175,0.6486121,51.04527,47.39806,-4.7872705,0.47121298,-3.3365564,-6.437162,-0.0039074807,0.103197776,0.3291462,-0.46492583,-0.12499952,0.00946042,-0.091314115,-0.15320316,0.09075688570737839,-28.280855178833008,46000,92,500.0,0.0,500,500,0.0029528524423349887,0.007641354616358727,0.06993750783762484,1.2503332952329416e-09,1.4764262211674952,1.3280175568664991,4.085062591554438,0.027801745617892018,0.00093853445,0.5937498,0.99798214,-0.99857485,10,1.4764262211674952,45000,90,500.0,0.0,500,500,0.02280579016334562,0.014254908813867366,0.06563787690163138,0.0013381954026323306,11.402895081672813,4.7217563399964915,19.840578771247113,5.773051687040203,11.402895081672813,4.7217563399964915,19.840578771247113,5.773051687040203,-0.008433634,0.03169889,0.13138536,-0.23191419,10,11.402895081672813,0.03162670088931918,66.58581014093943,72.55176723119803,0.025504822144284844,0.07513227686285973,10.160834272857755,149.43067544489168,1362.2130236385856,8
51000,0.005408871,0.0045918655,-53.67097,48.916977,0.6273895,51.027164,46.955482,48.9458,0.62333846,51.04394,47.041786,48.94644,0.63485074,51.05178,46.92423,-4.757276,0.46237743,-3.2984407,-6.132411,-0.0060272524,0.13093944,0.55259675,-0.6479109,-0.121907175,0.012804055,-0.0807059,-0.17822309,0.06727014482021332,-31.72982406616211,51000,102,500.0,0.0,500,500,0.00510590336494804,0.011873829646792462,0.22225421473219145,1.774045632618737e-09,2.55295168247402,2.4567151925379047,7.17506597385134,0.12941656057736656,-0.008726917,0.596865,0.99785656,-0.99913955,10,2.55295168247402,50000,100,500.0,0.0,500,500,0.02671132543357628,0.018612573837233252,0.08550531322190903,0.0013835294572433904,13.35566271678814,6.557546764932724,27.10791332149498,6.167237259489019,13.35566271678814,6.557546764932724,27.10791332149498,6.167237259489019,-0.008910633,0.035877567,0.16716872,-0.2810095,10,13.35566271678814,0.03167366492561996,67.05390452896245,74.17350707086734,0.02547424496151507,0.07558771688491106,10.067147981142625,151.42729520774446,1513.643049662467,9
