replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
6000,72.04577,72.10669,-7.9998837,-0.0013704337,0.0016239688,0.0037101605,-0.006484112,-0.004983549,0.0021477605,0.0013077203,-0.011895759,8.45583,0.72207063,10.413756,6.0773754,-8.005057,0.73656946,-6.07043,-9.807722,-0.0005000921,0.00091527513,0.0025327224,-0.0031470193,0.00013885029,0.0013607685,0.003996334,-0.0028277957,0.9997000694274902,-0.0,6000,12,500.0,0.0,500,500,0.4274679327669708,0.09080175662546616,0.6693173655006168,0.1808953369461772,213.73396638348535,26.692567107751163,252.811123694306,177.30128051396602,-0.0023992974,0.62845695,0.99980944,-0.9997176,10,213.73396638348535,5000,10,500.0,0.0,500,500,0.5130532913836421,0.010895631517996867,0.5311474700039956,0.4860151707373924,256.52664569182105,4.94362085785531,261.92271711745576,247.3519421892136,256.52664569182105,4.94362085785531,261.92271711745576,247.3519421892136,-0.0005866064,0.0008596478,0.0010795661,-0.002073946,10,256.52664569182105,0.031260624062269926,102.53602921892889,111.76578154903837,0.025257677072659135,0.016384092858061194,8.941637355834246,223.3163505177945,253.0046261837706,0
11000,0.11414662,0.116332695,-39.150536,30.98677,0.8354627,33.04714,28.458738,30.983284,0.8333531,33.056858,28.125395,30.950794,0.7695785,32.940857,28.771704,-8.219564,0.36604282,-7.400852,-10.01063,0.0010650154,0.012876872,0.038013037,-0.019689765,-0.12845968,0.007852325,-0.10535881,-0.1555636,0.7405491471290588,-6.067148685455322,11000,22,500.0,0.0,500,500,0.4598182623837407,0.07649997082383625,0.6795625760835113,0.23654994580953037,229.90913119187036,17.3570059983784,257.39740283770215,191.38613220114317,0.0003388391,0.5904696,0.99886906,-0.99899405,10,229.90913119187036,10000,20,500.0,0.0,500,500,0.5650426617269535,0.03637710199061864,0.6479558941407548,0.497600368541863,282.5213308634767,6.9497919983174885,293.232449583473,268.9601499906671,282.5213308634767,6.9497919983174885,293.232449583473,268.9601499906671,0.0008943927,0.012843084,0.029102914,-0.013899947,10,282.5213308634767,0.03119032201357186,105.02856930997223,110.67731971503235,0.025671519804745913,0.06603872403502464,10.384905820013955,226.21369541087188,479.2211537989788,1
16000,0.09420146,0.08363431,-62.311882,54.175804,1.2073065,57.618862,51.65164,54.149887,1.18945,57.495125,51.6217,54.06788,1.1979644,57.36469,51.454678,-8.212124,0.38545033,-7.233956,-10.030071,0.0044402126,0.023047278,0.054513674,-0.061894406,-0.1264799,0.007640499,-0.105586275,-0.15000157,0.548606812953949,-12.128754615783691,16000,32,500.0,0.0,500,500,0.469334306093361,0.07832821477384512,0.6756549886574668,0.2213155273882162,234.66715304668043,23.22793212741983,275.3668761950229,194.39517442250533,0.00453946,0.59198046,0.99908614,-0.9983545,10,234.66715304668043,15000,30,500.0,0.0,500,500,0.5569534562728391,0.03846542426043882,0.6310157807428073,0.48728378181627224,278.4767281364196,4.685936301698218,289.24522911646153,272.0637936851071,278.4767281364196,4.685936301698218,289.24522911646153,272.0637936851071,0.003063451,0.023859808,0.041961946,-0.052739747,10,278.4767281364196,0.03108377498574555,105.94742966699414,110.6847826950252,0.025615626014769077,0.07892098580487072,10.164681680966169,226.9325144297909,706.1563389778603,2
21000,0.08789405,0.06881296,-78.99894,70.89242,1.4539286,74.66899,66.58822,70.84565,1.4465991,74.59841,66.88402,70.799614,1.4614918,74.42238,66.82388,-8.184813,0.5074502,-7.093223,-11.048968,0.010716453,0.043798327,0.1519407,-0.10021072,-0.13056324,0.009335762,-0.09667163,-0.16610222,0.4064442217350006,-18.166507720947266,21000,42,500.0,0.0,500,500,0.47348882767263806,0.08460998015469881,0.7195559492038663,0.208381566244698,236.744413836319,20.31727362233505,269.2631407300878,200.83919166826928,0.0080269575,0.5917208,0.9982013,-0.9988729,10,236.744413836319,20000,40,500.0,0.0,500,500,0.593370162619426,0.057174094020132946,0.7174920401681281,0.4091419561066628,296.6850813097129,9.716165947523283,311.3159729898455,278.6575525030488,296.6850813097129,9.716165947523283,311.3159729898455,278.6575525030488,0.002212543,0.035630114,0.08503825,-0.08768612,10,296.6850813097129,0.03115831594914198,106.80799676198512,109.96572604286484,0.026285212952643633,0.07328806701116264,10.548927569994703,227.45338197075762,933.6126320115291,3
26000,0.08115312,0.07089341,-90.498505,82.34071,1.8370835,86.235016,76.263306,82.30601,1.8003199,86.25124,76.24048,82.23251,1.8058089,86.1595,76.67912,-8.207916,0.5364165,-6.5114264,-10.671177,0.010102053,0.07358512,0.23078258,-0.19743462,-0.13395993,0.009347617,-0.100800306,-0.16823633,0.3011643588542938,-24.24544334411621,26000,52,500.0,0.0,500,500,0.49384530631781853,0.09431970482300214,0.7341895600127936,0.13164255696669774,246.92265315890918,30.3746027912118,280.2606719429835,166.59648086871138,0.007975407,0.59129936,0.99911535,-0.9994029,10,246.92265315890918,25000,50,500.0,0.0,500,500,0.5969920224054511,0.07390730612681604,0.6974099524489479,0.3417663906751377,298.4960112027255,18.07084890646837,314.3056200627389,255.857579829381,298.4960112027255,18.07084890646837,314.3056200627389,255.857579829381,0.001959236,0.06719667,0.16571626,-0.17864779,10,298.4960112027255,0.031076457118615508,108.56233718781732,110.20275242510252,0.025736319134011865,0.0757445259951055,13.1170541071333,232.01470102230087,1165.6300307188649,4
31000,0.08656585,0.08636284,-98.50812,90.36897,2.2539556,98.27975,84.23252,90.399284,2.2346506,97.87261,84.47034,90.40399,2.2429612,97.40138,84.325554,-8.141989,0.6015286,-6.038025,-10.990925,-0.003331851,0.10416693,0.25700545,-0.28887948,-0.12701537,0.009898231,-0.09314612,-0.15655313,0.22321447730064392,-30.199344635009766,31000,62,500.0,0.0,500,500,0.5159921501171398,0.07939593435858776,0.9204056579392724,0.2694736424789576,257.99607505856994,19.65369887371127,274.50733935680455,207.3020188847065,-0.0019712492,0.59216666,0.99941015,-0.99986255,10,257.99607505856994,30000,60,500.0,0.0,500,500,0.5912734821301858,0.11358286907586802,0.7157586157492991,0.29204599370958917,295.6367410650929,48.12398660818018,341.6473222759085,182.63771576410218,295.6367410650929,48.12398660818018,341.6473222759085,182.63771576410218,-0.008537063,0.09065925,0.23350246,-0.26788187,10,295.6367410650929,0.031126377871260047,111.22010429902002,111.28527802508324,0.025619414867833257,0.07168731605634093,10.000727865146473,232.63454329804517,1398.2673047010321,5
36000,0.09271486,0.103088886,-103.62114,95.642166,2.4116075,103.057144,87.99609,95.66989,2.4319189,103.12043,87.890915,95.569565,2.41935,102.30118,87.67001,-7.9837637,0.76734287,-5.23687,-10.281586,0.014514998,0.1574676,0.39755398,-0.48530218,-0.13597739,0.014497068,-0.087083966,-0.1976705,0.16551685333251953,-35.93846893310547,36000,72,500.0,0.0,500,500,0.480095311265228,0.08843073251993334,0.7024598183296669,0.20635964525337291,240.04765563261398,19.11593039194868,266.27396545219665,205.05584860757196,0.0145853385,0.5920601,0.9989177,-0.9980549,10,240.04765563261398,35000,70,500.0,0.0,500,500,0.4785463390956671,0.12618776860063952,0.6906540278724869,0.058641012896557924,239.27316954783356,24.327227069871995,267.1532047910185,194.28562741741987,239.27316954783356,24.327227069871995,267.1532047910185,194.28562741741987,0.00944909,0.12444577,0.3453065,-0.4214396,10,239.27316954783356,0.03080068016424775,107.81661660200916,110.82903248188086,0.025886748917400837,0.07315005687996745,10.295544025953859,229.0710305958055,1627.3410702385008,6
41000,0.12459357,0.10878557,-106.042435,98.15869,2.444042,104.17889,90.66654,98.25827,2.4457068,104.24728,90.73489,98.22005,2.4557455,103.90565,90.28405,-7.8436604,0.95822644,-4.618541,-10.461824,0.014951919,0.20604123,0.54381675,-0.6728851,-0.1258775,0.018475927,-0.08034922,-0.21194977,0.12282175570726395,-41.606658935546875,41000,82,500.0,0.0,500,500,0.48374404208481026,0.08665389521033963,0.6924877296263396,0.2282488261099855,241.87202104240518,16.598456943616743,267.74581740969654,215.30957255567503,0.020550622,0.5974696,0.9989842,-0.9989701,10,241.87202104240518,40000,80,500.0,0.0,500,500,0.42114024606785094,0.12201764071336324,0.6448863775747526,0.11922965930797727,210.57012303392548,33.70228794476434,292.87851824856483,174.7055445971236,210.57012303392548,33.70228794476434,292.87851824856483,174.7055445971236,0.024316983,0.14567567,0.45939714,-0.58960354,10,210.57012303392548,0.03132042498327792,107.2509025868494,110.4303327780217,0.025688204215839505,0.06804224592633545,10.120946278097108,227.92723251809366,1855.2710201838054,7
46000,0.13776803,0.1099129,-107.69698,100.20322,3.2270918,108.63609,81.233864,100.070404,3.223073,108.26525,80.88804,100.0959,3.2121656,107.64146,81.24675,-7.5694675,1.1523557,-3.9375596,-11.480513,0.019998511,0.26201078,0.8294569,-0.91736203,-0.13341872,0.0277957,-0.0765606,-0.27265945,0.09122119098901749,-46.85265350341797,46000,92,500.0,0.0,500,500,0.44107257480608386,0.093769746745533,0.6731913990425968,0.1514828071695838,220.53628740304197,19.714491927811405,242.5237849108637,188.14715476862958,0.034997683,0.5987337,0.9992806,-0.99924296,10,220.53628740304197,45000,90,500.0,0.0,500,500,0.3826260139176323,0.12182894325718736,0.6229778651304105,0.12157029514754412,191.31300695881615,33.10588604315143,250.30302680252262,133.63394105520902,191.31300695881615,33.10588604315143,250.30302680252262,133.63394105520902,0.03417138,0.19569753,0.6929162,-0.73286474,10,191.31300695881615,0.03137373807840049,107.30796718783677,110.69242440001108,0.02608749596402049,0.07191666308790445,10.86217887699604,228.9919483619742,2084.2656982911285,8
51000,0.11772701,0.11438511,-107.79935,100.56738,3.07927,107.42049,90.142815,100.589745,3.087061,107.39787,89.67642,100.543945,3.0895073,107.285095,89.785324,-7.1643295,1.4600084,-1.7957435,-10.907738,0.012391468,0.3384551,0.8241912,-1.3720336,-0.13147907,0.03840153,-0.0035709888,-0.37207946,0.0678485780954361,-51.5555419921875,51000,102,500.0,0.0,500,500,0.46806524902536295,0.08495759892490286,0.6654881496701769,0.21800581369018338,234.03262451268137,18.835527071378635,258.478736000885,200.24196387297346,0.03738991,0.60639733,0.998884,-0.9988668,10,234.03262451268137,50000,100,500.0,0.0,500,500,0.43893196887227176,0.11689533135484388,0.733981374618147,0.170083877254672,219.4659844361359,28.269090238340677,256.68890930566556,165.72490175393003,219.4659844361359,28.269090238340677,256.68890930566556,165.72490175393003,0.038818106,0.22777689,0.8842857,-0.93348783,10,219.4659844361359,0.031124833039939404,107.01629466912709,111.09969185013324,0.02581791579723358,0.0686375298537314,10.098185101989657,228.3397518999409,2312.608198939357,9
