replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
6000,15.79542,15.827949,-4.005603,0.0054905657,0.0011988727,0.008474935,0.0017006285,0.0013197488,0.0012253551,0.004370337,-0.002904938,3.904284,0.7711328,5.1907067,-0.28161082,-4.004217,0.5375485,-2.0613377,-5.4155397,-0.00013546342,0.00081917946,0.0018448932,-0.0024438428,-0.00012957864,0.0017665402,0.0035450193,-0.003098312,0.9997000694274902,-0.0,6000,106,60.97560975609756,53.56258605246948,286,3,0.013317700463976876,0.05310518383971908,0.11076054916937109,-0.5102345561600332,0.8120549063400533,1.543660727810644,9.576693522153306,-1.583430285671174,0.00055907265,0.6276299,0.99940825,-0.9993409,82,0.8120549063400533,5000,10,500.0,0.0,500,500,0.022873118880301545,0.00883011302932706,0.03770328159684165,0.011608095558887057,11.436559440150768,4.413991604149838,18.53730059596654,5.838406465564899,11.436559440150768,4.413991604149838,18.53730059596654,5.838406465564899,-0.00023734648,0.0007341999,0.0008234844,-0.0015934771,10,11.436559440150768,0.029222094221040606,68.34422435797751,75.0024186540395,0.026016080984845757,0.014929025899618864,12.771938543999568,156.18874875712208,177.7679391950369,0
11000,4.7823477,4.844857,-18.715076,14.628155,0.9993354,17.276993,11.558796,14.631768,1.0055507,17.30734,11.580455,14.154341,2.331345,16.376291,-0.28161082,-4.1105013,0.3235144,-3.3898594,-5.687022,-0.013602279,0.058183186,0.07877518,-0.14456949,-0.13594107,0.008567307,-0.11011004,-0.15708788,0.7406014800071716,-3.0330772399902344,11000,201,52.63157894736842,42.8903258952606,228,9,0.01635481062778806,0.07622839290682216,4.292659435807231,-0.5092941497086799,0.8607795067256869,1.5510024452509863,9.648145932296037,-0.6870024131383985,-0.014456384,0.58525854,0.9988627,-0.99751514,95,0.8607795067256869,9929,105,51.88421052631579,8.475181299591286,76,36,0.014183625424053112,0.042037563194229806,0.044857830095552755,-0.28161081385525205,0.7359062075279769,0.2994818378225327,1.5321872884531467,0.16782732029543007,0.7359062075279769,0.2994818378225327,1.5321872884531467,0.16782732029543007,-0.020051269,0.054846898,0.06579849,-0.14054136,95,0.7359062075279769,0.02937903511337936,68.81988467182964,74.03479826403782,0.026171325938776135,0.06816609483212233,10.17229338712059,153.15069277887233,330.9213787501212,1
16000,2.6374748,2.5484936,-26.319254,22.396212,3.110314,29.033026,9.403202,22.424858,3.1202004,29.15992,10.363484,22.68595,3.3709483,28.366428,-0.28161082,-3.8440368,0.71418697,-2.0609531,-7.352682,0.05346946,0.22753471,0.73824716,-0.62389594,-0.11281896,0.02550924,-0.0574972,-0.22018567,0.5495547652244568,-5.890188217163086,16000,279,64.1025641025641,46.47844544368149,218,15,0.007656195669927448,0.04320260395254104,1.316998383746858,-0.424729953677234,0.4907817737132981,0.601988967948651,3.1453650832817983,-0.1702424313773428,0.05227127,0.6056384,0.99971503,-0.9998505,78,0.4907817737132981,14913,196,54.76923076923077,3.6315979683726582,72,51,0.005274580333694748,0.03998865514957427,0.0394676138224933,-0.28161081385525205,0.2888847075069739,0.20080595371181986,0.6959491670170159,-0.08621969871069218,0.2888847075069739,0.20080595371181986,0.6959491670170159,-0.08621969871069218,0.15674478,0.27069482,0.65213567,-0.42388722,91,0.2888847075069739,0.029049620032310486,68.89589302404784,74.52628334215842,0.026682905852794647,0.06535166292451322,10.193993312073871,153.73725386708975,484.6614976115525,2
21000,9.430389,9.4558325,-31.912071,28.279099,4.632674,36.47084,10.3720875,28.265373,4.68866,36.19305,10.151733,27.898834,5.8860307,36.536137,-0.28161082,-3.4732194,1.0332363,-0.77188635,-6.445809,0.09541589,0.3533419,1.1540174,-1.3062371,-0.09433939,0.05429607,0.025295183,-0.3910877,0.40920689702033997,-8.461893081665039,21000,342,79.36507936507937,42.481107504807014,200,15,0.012819647028297946,0.035201079587817916,0.06373203333580038,-0.28161081385525205,1.0174323038331703,1.0727280929841898,4.52102215917456,-0.15939026257040367,0.06615602,0.6193665,0.9988874,-0.9975732,63,1.0174323038331703,19894,233,134.6216216216216,89.24498664134353,225,35,0.006724289903227756,0.027149798982199103,0.046394927427239614,-0.28161081385525205,0.9052348110264177,0.5635511007169726,1.8308743747235672,0.09713416735983926,0.9052348110264177,0.5635511007169726,1.8308743747235672,0.09713416735983926,0.1264942,0.21039572,0.7107301,-0.848138,37,0.9052348110264177,0.029131474904716015,68.5783093769569,74.39011921617202,0.0258897440508008,0.05936363618820906,12.586849292041734,155.66966274031438,640.3340317388065,3
26000,7.235012,6.852324,-35.788864,32.344418,6.306792,44.203403,10.8806505,32.41223,6.2312765,43.465908,10.922752,32.024483,6.733843,42.489716,-0.28161082,-2.9732313,1.556135,1.6126432,-8.293066,0.11327907,0.52473646,1.8442988,-1.5284917,-0.112048864,0.087659195,0.13824919,-0.6265831,0.30674606561660767,-10.601441383361816,26000,369,185.1851851851852,93.32501432649116,405,36,0.02111536009820791,0.16772403650978937,9.534025005686603,-0.4535803897678302,3.910251870038502,4.91959435604167,25.69384472976697,-1.1118149181890293,0.010781865,0.6226094,0.9994859,-0.9995878,27,3.910251870038502,24872,259,191.46153846153845,10.518228752726124,215,170,0.0066932463603831946,0.022464264989157413,0.04014038632019243,-0.28161081385525205,1.2814992454610588,0.30701572428109053,1.8974070438395378,0.6561343013192091,1.2814992454610588,0.30701572428109053,1.8974070438395378,0.6561343013192091,0.035653472,0.21032068,0.9340143,-0.84496504,26,1.2814992454610588,0.02909558708779514,68.62189444596879,74.6249534029048,0.025309863965958357,0.06286411988548934,10.398973350878805,153.76309077069163,794.0999036515132,4
31000,6.703142,7.151953,-36.100388,33.214264,9.091833,46.60309,1.2961582,33.224438,8.927861,46.60297,2.3988245,33.179924,9.755191,47.12616,-0.28161082,-2.2702563,2.004503,4.625245,-7.401325,0.059504073,0.6868063,2.0500083,-2.0613575,-0.11347079,0.11653668,0.24481837,-0.66016394,0.2319658249616623,-12.081918716430664,31000,393,208.33333333333334,69.09996784048134,306,44,0.0048838823889239494,0.021745206806469103,0.05396275877961795,-0.28161081385525205,1.0174754976924891,0.8084659568880447,3.9947318953615056,0.118662657552914,-0.028881257,0.63842285,0.99947053,-0.9997024,24,1.0174754976924891,29837,284,198.6,25.62654873368632,319,170,0.0013573085372653529,0.020970966345369692,0.041931337992068746,-0.28161081385525205,0.2695614755008992,0.1698156699081383,0.5889678199174415,0.07330605324908462,0.2695614755008992,0.1698156699081383,0.5889678199174415,0.07330605324908462,-0.0050958097,0.285769,0.99409056,-0.9799726,25,0.2695614755008992,0.028746590949594975,68.69727961998433,74.80694348784164,0.024829701986163855,0.06262639188207686,13.90931875584647,157.52974454849027,951.6323784876149,5
36000,5.829424,6.169504,-37.777298,35.45829,9.540722,56.383186,-0.2911579,35.544334,9.575016,56.46474,-1.4511027,35.723812,10.06727,55.312943,-2.9504037,-1.3816123,2.3255413,4.7968693,-7.106841,0.08622623,0.826075,2.4318178,-2.2905462,-0.13218364,0.15027153,0.22856513,-0.83499974,0.17654305696487427,-12.799154281616211,36000,410,294.11764705882354,132.20878423825621,500,133,0.02036804496507727,0.10657253583911562,5.672373817371172,-0.38750450737699943,5.990601460316846,4.727299764276286,17.426086956394403,-0.43878994037166363,0.017484548,0.6456167,0.99986404,-0.9994523,17,5.990601460316846,34807,336,95.57692307692308,11.363480902648275,128,80,0.01055842116043646,0.031231694350895196,0.04684198575396761,-0.28161081385525205,1.0091414070647924,0.30330624268533796,1.6689229176530764,0.4079242839748986,1.0091414070647924,0.30330624268533796,1.6689229176530764,0.4079242839748986,0.07022011,0.28733975,0.9279804,-0.8334476,52,1.0091414070647924,0.02875523897819221,68.81390701094642,74.89142646500841,0.024954804917797446,0.06717705493792892,10.578898756066337,154.4051193308551,1106.0402048993856,6
41000,5.3678875,5.682987,-41.27289,39.506294,9.638503,54.804028,-3.226889,39.474174,9.633168,55.284576,-1.8895985,39.02869,9.802626,56.20543,-2.783034,-0.8046217,2.7902086,7.270521,-6.778347,0.06213699,0.9445331,3.1764846,-2.499498,-0.17592512,0.16360116,0.14841607,-0.73402447,0.13537001609802246,-13.605745315551758,41000,430,250.0,127.92106941391633,500,52,0.005700020996468111,0.01963598357436726,0.06632788437046766,-0.28161081385525205,1.4250052491170275,1.1013913825204034,4.184637616538819,0.3032078019889299,0.027556136,0.6588111,0.99959654,-0.99976045,20,1.4250052491170275,39715,391,89.23636363636363,9.015065443948684,122,76,0.0034401337674455725,0.03157436238838518,0.04669354564181704,-0.28161081385525205,0.3069850278295068,0.19620167294542093,1.0932123005348484,0.01336017974263265,0.3069850278295068,0.19620167294542093,1.0932123005348484,0.01336017974263265,0.15989077,0.3551625,0.9797884,-0.9878116,55,0.3069850278295068,0.028964814031496644,69.41264859889634,72.99258442991413,0.02535438002087176,0.05236432212404907,10.222363936947659,152.73428048193455,1258.7773604465183,7
46000,4.426857,4.1730213,-41.03946,40.560257,9.564079,60.04547,2.9457052,40.60418,9.631793,61.642155,2.943623,40.585087,9.853424,62.78715,-0.28161082,0.79176736,3.2258694,11.797741,-10.859006,0.1109797,1.1276733,2.4948683,-2.9154372,-0.25474143,0.18784057,0.12725306,-0.8746035,0.10480447113513947,-11.74671459197998,46000,447,294.11764705882354,98.48372953284701,500,67,0.006747289582535481,0.019163406616704074,0.0660079268358484,-0.28161081385525205,1.984496936039847,1.2525009034911787,5.860979264284335,0.47811630024772916,0.062051248,0.6435112,0.9996672,-0.9994828,17,1.984496936039847,44648,419,176.17857142857142,10.74727065494362,217,165,0.005796328421709149,0.02384849111588448,0.04909761324449621,-0.28161081385525205,1.0211888608675441,0.3568410985358324,1.6564223071061044,0.3467142600248581,1.0211888608675441,0.3568410985358324,1.6564223071061044,0.3467142600248581,0.1050434,0.3025842,0.9437734,-0.98821366,28,1.0211888608675441,0.028615433955565095,69.15999112208374,74.3450741188135,0.02465609391219914,0.07047574291937053,10.072268831077963,153.70108134276234,1412.481281541055,8
51000,9.020584,9.08588,-43.299126,43.175472,8.572413,61.17131,10.825121,43.162106,8.565441,59.877605,10.297084,43.068787,9.556327,59.5944,-0.28161082,1.2236075,3.3784003,12.745224,-6.5792365,0.05984919,1.1569346,3.2071059,-2.7018776,-0.28460884,0.20455593,0.20841014,-0.8922525,0.08195158839225769,-11.947582244873047,51000,457,500.0,0.0,500,500,0.027597205834669375,0.2069102350289391,8.519821276950653,-0.3342355391348253,13.798602917334694,14.077323852608123,40.324226052739164,-0.3949345614753236,0.01044017,0.643983,0.99965847,-0.99984545,10,13.798602917334694,49648,429,500.0,0.0,500,500,0.001638464027713519,0.005083060440833261,0.054230674340927584,0.00011675696700133425,0.8192320138567594,0.41904669420749885,1.4098296176277174,0.30761702233553095,0.8192320138567594,0.41904669420749885,1.4098296176277174,0.30761702233553095,-0.02123806,0.2505448,0.965761,-0.98410076,10,0.8192320138567594,0.02849030401557684,68.84444045089185,75.31172643206082,0.02473955601453781,0.06331885792315006,10.585277931997553,154.8579935329035,1567.3420236872043,9
